table_name,dataset_name,evaluation_region,mask_type,category,lama_applicability,metric,row_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,negative_improvement_count,zero_improvement_count,positive_improvement_share
overall_by_region,,full_image,,,,mse_improvement,410,1114.0691208153535,702.9845175743103,1266.6159821653787,-783.637451171875,8393.367767333984,310,45,55,0.7560975609756098
overall_by_region,,content_region,,,,mse_improvement,410,1451.4311524482223,930.9530026912689,1591.123299733842,-907.7430419921875,9722.631950378418,310,45,55,0.7560975609756098
overall_by_region,,masked_region,,,,mse_improvement,360,23931.677398934225,25052.02442932129,14431.531202828208,-971.97314453125,54879.52777671814,310,45,5,0.8611111111111112
overall_by_region,,boundary_region,,,,mse_improvement,360,11027.321805394238,11606.010887145996,6647.024599717008,-24.38812017440796,27746.510957717896,310,15,35,0.8611111111111112
overall_by_region,,outside_mask_region,,,,mse_improvement,360,0.0,0.0,0.0,0.0,0.0,0,0,360,0.0
overall_by_region,,mask_bbox_crop,,,,mse_improvement,360,5106.849699111368,2007.510644197464,6786.512608169743,-886.351806640625,29448.972702026367,310,45,5,0.8611111111111112
overall_by_region,,full_image,,,,mae_improvement,410,5.702679482577958,4.058221817016602,6.04250446059439,-6.956502914428711,36.38330852985382,310,45,55,0.7560975609756098
overall_by_region,,content_region,,,,mae_improvement,410,7.4692137355122235,5.148914683610201,7.709086416911217,-8.0582275390625,42.14537465572357,310,45,55,0.7560975609756098
overall_by_region,,masked_region,,,,mae_improvement,360,124.20923622130341,134.86061191558838,63.52367356248837,-10.368043422698975,230.52768993377686,310,45,5,0.8611111111111112
overall_by_region,,boundary_region,,,,mae_improvement,360,58.65558061447033,65.49824965000153,29.895075769193262,-0.9074991345405579,116.67595982551575,310,15,35,0.8611111111111112
overall_by_region,,outside_mask_region,,,,mae_improvement,360,0.0,0.0,0.0,0.0,0.0,0,0,360,0.0
overall_by_region,,mask_bbox_crop,,,,mae_improvement,360,26.465781220801485,10.732690408825874,32.773277436766996,-7.868324279785156,125.24347591400146,310,45,5,0.8611111111111112
overall_by_region,,full_image,,,,psnr_improvement,410,13.37723870704003,16.941908402765236,11.065519326208099,-30.04171168545772,35.43934887211043,310,45,55,0.7560975609756098
overall_by_region,,content_region,,,,psnr_improvement,410,13.377238671620704,16.941907274590612,11.065519375157443,-30.041711545170074,35.43934893476052,310,45,55,0.7560975609756098
overall_by_region,,masked_region,,,,psnr_improvement,360,15.235188569455058,17.8206021040832,10.541080382459926,-30.0417115362351,35.43934820361272,310,45,5,0.8611111111111112
overall_by_region,,boundary_region,,,,psnr_improvement,360,19.393938347693847,22.43978470730937,10.989094689001275,-32.23073321375327,38.93838949557321,310,15,35,0.8611111111111112
overall_by_region,,outside_mask_region,,,,psnr_improvement,360,0.0,0.0,0.0,0.0,0.0,0,0,360,0.0
overall_by_region,,mask_bbox_crop,,,,psnr_improvement,360,15.235188649198005,17.8206019703715,10.541080402153167,-30.041711302023202,35.43934786365048,310,45,5,0.8611111111111112
overall_by_region,,full_image,,,,ssim_improvement,410,0.022017001732813932,0.02071232975377746,0.030781383960094666,-0.17029065016130074,0.10851889037194629,310,45,55,0.7560975609756098
overall_by_region,,content_region,,,,ssim_improvement,410,0.028155018946349582,0.02707802097262163,0.03985667202355292,-0.21448177755853048,0.13256498190689847,310,45,55,0.7560975609756098
overall_by_region,,mask_bbox_crop,,,,ssim_improvement,360,0.07368955920111858,0.06413630218014854,0.08867137763687136,-0.24070206825559293,0.3910685715355549,310,45,5,0.8611111111111112
dataset_by_region,canonical,full_image,,,,mse_improvement,250,1129.005844201207,734.4340972900391,1133.8384589055609,0.0,5660.389976501465,200,0,50,0.8
dataset_by_region,canonical,content_region,,,,mse_improvement,250,1472.340113278985,993.818837761879,1453.7979543651077,0.0,6591.247646331787,200,0,50,0.8
dataset_by_region,canonical,masked_region,,,,mse_improvement,200,26852.89803720951,27161.07144165039,11433.246336046239,3184.1441040039062,54259.773040771484,200,0,0,1.0
dataset_by_region,canonical,boundary_region,,,,mse_improvement,200,12082.73992918253,12674.22061920166,5026.038291107117,1573.23375415802,26222.200209617615,200,0,0,1.0
dataset_by_region,canonical,outside_mask_region,,,,mse_improvement,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0
dataset_by_region,canonical,mask_bbox_crop,,,,mse_improvement,200,4421.290370770544,2117.3094935417175,5710.572143815578,55.60041460394859,26794.820190429688,200,0,0,1.0
dataset_by_region,damage_size,full_image,,,,mse_improvement,35,1954.5404281812055,1414.1417770385742,1834.3634526329247,179.63721323013306,8393.367767333984,35,0,0,1.0
dataset_by_region,damage_size,content_region,,,,mse_improvement,35,2519.8208989858626,1893.7807159423828,2171.2237641053275,244.61231863498688,9722.631950378418,35,0,0,1.0
dataset_by_region,damage_size,masked_region,,,,mse_improvement,35,26667.04751118251,23642.714782714844,12611.081364078884,12202.500091552734,48584.8349609375,35,0,0,1.0
dataset_by_region,damage_size,boundary_region,,,,mse_improvement,35,13799.297495378767,12661.80404663086,6423.1977344957195,5903.557159423828,25581.062441825867,35,0,0,1.0
dataset_by_region,damage_size,outside_mask_region,,,,mse_improvement,35,0.0,0.0,0.0,0.0,0.0,0,0,35,0.0
dataset_by_region,damage_size,mask_bbox_crop,,,,mse_improvement,35,14342.895186451504,11799.982116699219,7092.858423737201,5456.499496459961,27356.119201660156,35,0,0,1.0
dataset_by_region,mask_robustness,full_image,,,,mse_improvement,75,1459.0553007014591,916.6734240055084,1257.9325685292804,181.75601720809937,5389.894889831543,75,0,0,1.0
dataset_by_region,mask_robustness,content_region,,,,mse_improvement,75,1908.689247344335,1307.449625968933,1528.9354146553094,247.49754810333252,6243.49885559082,75,0,0,1.0
dataset_by_region,mask_robustness,masked_region,,,,mse_improvement,75,30922.26896095276,28711.128631591797,10846.379788028325,11830.683288574219,54879.52777671814,75,0,0,1.0
dataset_by_region,mask_robustness,boundary_region,,,,mse_improvement,75,14273.036650664011,12926.803199768066,5284.364610108822,6716.0950927734375,27746.510957717896,75,0,0,1.0
dataset_by_region,mask_robustness,outside_mask_region,,,,mse_improvement,75,0.0,0.0,0.0,0.0,0.0,0,0,75,0.0
dataset_by_region,mask_robustness,mask_bbox_crop,,,,mse_improvement,75,6105.2011565176645,2130.669994354248,7180.29484471643,454.9153890609741,29448.972702026367,75,0,0,1.0
dataset_by_region,synthetic_degradation,full_image,,,,mse_improvement,50,-66.42368109917065,-2.83966326713562,154.2726923769507,-783.637451171875,0.0,0,45,5,0.0
dataset_by_region,synthetic_degradation,content_region,,,,mse_improvement,50,-86.87361662611045,-3.7125496566295624,194.63358934777435,-907.7430419921875,0.0,0,45,5,0.0
dataset_by_region,synthetic_degradation,masked_region,,,,mse_improvement,50,-153.85157576849102,-12.607728958129883,253.94682810826026,-971.97314453125,0.0,0,45,5,0.0
dataset_by_region,synthetic_degradation,boundary_region,,,,mse_improvement,50,-3.305940652755089,0.0,6.026227017829168,-24.38812017440796,0.0,0,15,35,0.0
dataset_by_region,synthetic_degradation,outside_mask_region,,,,mse_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_by_region,synthetic_degradation,mask_bbox_crop,,,,mse_improvement,50,-113.6720147728722,-7.229104518890381,205.5950516204088,-886.351806640625,0.0,0,45,5,0.0
dataset_by_region,canonical,full_image,,,,mae_improvement,250,5.908744726464152,4.344277709722519,5.410238956645886,0.0,24.47186851501465,200,0,50,0.8
dataset_by_region,canonical,content_region,,,,mae_improvement,250,7.721694872766733,5.7038771361112595,6.97167849639289,0.0,29.148914575576782,200,0,50,0.8
dataset_by_region,canonical,masked_region,,,,mae_improvement,200,140.72185443878175,145.36900806427002,42.32093093417681,36.96601915359497,228.08351373672485,200,0,0,1.0
dataset_by_region,canonical,boundary_region,,,,mae_improvement,200,64.71751709729433,66.44803869724274,19.28511885081759,14.826958060264587,110.67459654808044,200,0,0,1.0
dataset_by_region,canonical,outside_mask_region,,,,mae_improvement,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0
dataset_by_region,canonical,mask_bbox_crop,,,,mae_improvement,200,23.27503731077537,11.559035018086433,27.88540461169645,0.524274755269289,115.84346294403076,200,0,0,1.0
dataset_by_region,damage_size,full_image,,,,mae_improvement,35,10.069805905542204,7.880039155483246,8.003454861227759,1.3691829442977905,36.38330852985382,35,0,0,1.0
dataset_by_region,damage_size,content_region,,,,mae_improvement,35,13.164582679952893,10.19222104549408,9.689809922166464,1.8867457956075668,42.14537465572357,35,0,0,1.0
dataset_by_region,damage_size,masked_region,,,,mae_improvement,35,140.8279470716204,128.1334743499756,40.829133990969986,89.72101974487305,210.4577751159668,35,0,0,1.0
dataset_by_region,damage_size,boundary_region,,,,mae_improvement,35,75.14558936868396,71.82702398300171,20.709474778784532,46.6223931312561,111.11152529716492,35,0,0,1.0
dataset_by_region,damage_size,outside_mask_region,,,,mae_improvement,35,0.0,0.0,0.0,0.0,0.0,0,0,35,0.0
dataset_by_region,damage_size,mask_bbox_crop,,,,mae_improvement,35,75.55045106751578,66.8942437171936,24.18921826249439,42.08711862564087,118.58244800567627,35,0,0,1.0
dataset_by_region,mask_robustness,full_image,,,,mae_improvement,75,7.304962599923213,4.8793977200984955,5.664359076292129,1.3273247629404068,22.895330667495728,75,0,0,1.0
