painting_id,base_mask_type,robustness_group_id,variant_count,unique_mask_count,unique_seed_count,centroid_x_std,centroid_y_std,realised_percentage_std,passed
p001,loss_large,p001__loss_large,5,5,5,0.18259778045750935,0.1569407598769663,0.012941367288226077,True
p001,loss_small,p001__loss_small,5,5,5,0.10859891947464874,0.1494318276677461,0.07374584902689546,True
p001,scratch_thin,p001__scratch_thin,5,5,5,0.11300982928635765,0.16847614917194925,0.13499216285824905,True
p018,loss_large,p018__loss_large,5,5,5,0.10417610247547003,0.09133236375712586,0.005271407015192404,True
p018,loss_small,p018__loss_small,5,5,5,0.1122855170812037,0.06661467035070782,0.008219481210122535,True
p018,scratch_thin,p018__scratch_thin,5,5,5,0.07488620393380781,0.1047252678148333,0.011999898758112427,True
p026,loss_large,p026__loss_large,5,5,5,0.14272369926723197,0.032102956773883105,0.015593152291613621,True
p026,loss_small,p026__loss_small,5,5,5,0.1521247216708077,0.12581361419455048,0.0033677204191255306,True
p026,scratch_thin,p026__scratch_thin,5,5,5,0.06886123191256026,0.2501899534320583,0.054730549116248216,True
p039,loss_large,p039__loss_large,5,5,5,0.13001240957086765,0.17159801429208554,0.01138334817467281,True
p039,loss_small,p039__loss_small,5,5,5,0.1728410347540805,0.1587485117638571,0.0020020208507570037,True
p039,scratch_thin,p039__scratch_thin,5,5,5,0.1563331596461278,0.1780621431138214,0.0024519647693838327,True
p043,loss_large,p043__loss_large,5,5,5,0.09505339952575764,0.1022459148588906,0.018482281202028984,True
p043,loss_small,p043__loss_small,5,5,5,0.10023609544526892,0.1204560713880111,0.004814047308975248,True
p043,scratch_thin,p043__scratch_thin,5,5,5,0.10818557949130707,0.1293327151626454,0.1081625260201984,True
