base_mask_type,case_count,target_percentage_content,minimum_realised_percentage,mean_realised_percentage,maximum_realised_percentage,mean_absolute_percentage_error,maximum_absolute_percentage_error
loss_large,25,12.5,12.480308758664146,12.503525538406786,12.525785938352428,0.011010582740974257,0.025785938352427706
loss_small,25,4.5,4.336153531925591,4.491646677036622,4.510293392504931,0.011279021506675306,0.16384646807440895
scratch_thin,25,2.0,1.6958506158873805,1.9768781321251785,2.030166981726528,0.032122201228458866,0.3041493841126195
