dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,restoration_case_id,candidate_id,source_case_key,source_case_id,source_case_id_original,prompt_policy_id,prompt_variant_id,prompt_template_name,prompt_ablation_subset,candidate_index,candidate_seed,effective_candidate_seed,inference_mode,execution_device,cuda_device_name,restoration_generator_version,restored_path,damaged_path,mask_path,clean_path,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue
canonical,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,canonical__p001_loss_small,p001_loss_small,p001_loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,2,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data/processed/clean/p001_clean.png,outside_mask_region,490945,,,,,18239.0,3.582006,3.092278,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,canonical__p001_loss_small,p001_loss_small,p001_loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,2,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data/processed/clean/p001_clean.png,mask_bbox_crop,360325,64.0,23.0,561.0,748.0,18239.0,3.582006,3.092278,2749.7939453125,3.15262508392334,2746.6413202285767,11.76740550994873,0.26198291778564453,11.505422592163086,13.737802094982136,43.14408034162046,29.406278246638323,0.9358750942201516,0.9881681418011367,0.052293047580985075,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,full_image,589824,0.0,0.0,768.0,768.0,45733.0,8.981626,7.753669,3946.83544921875,62.16608810424805,3884.669361114502,17.357261657714844,1.1783950328826904,16.178866624832153,12.168313406254205,30.195268212815,18.026954806560795,0.8883597242637992,0.9595853819100336,0.07122565764623445,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,content_region,509184,52.0,0.0,715.0,768.0,45733.0,8.981626,7.753669,4571.90087890625,72.01138305664062,4499.889495849609,20.106157302856445,1.3650187253952026,18.741138577461243,11.529835547638047,29.55679208770797,18.02695654006992,0.8722184533341556,0.9548374628817046,0.08261900954754897,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,masked_region,45733,,,,,45733.0,8.981626,7.753669,50902.8046875,801.7635498046875,50101.04113769531,223.8587646484375,15.19790267944336,208.66086196899414,1.0633864873258143,19.090340526282912,18.026954038957097,,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,boundary_region,32314,,,,,45733.0,8.981626,7.753669,21586.921875,533.7753295898438,21053.146545410156,94.82862854003906,7.571001052856445,87.25762748718262,4.788896410907458,20.85721863485721,16.068322223949753,,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,outside_mask_region,463451,,,,,45733.0,8.981626,7.753669,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical__p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,3,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/clean/p001_clean.png,mask_bbox_crop,511488,44.0,0.0,710.0,768.0,45733.0,8.981626,7.753669,4551.30517578125,71.68701171875,4479.6181640625,20.01558494567871,1.3588699102401733,18.656715035438538,11.549444039125444,29.576398837195118,18.026954798069674,0.8711062271045686,0.9533394863870389,0.08223325928247027,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,canonical__p001_scratch_thin,p001_scratch_thin,p001_scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,4,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_scratch_thin_damaged.png,data/processed/masks/p001_scratch_thin_mask.png,data/processed/clean/p001_clean.png,full_image,589824,0.0,0.0,768.0,768.0,12058.0,2.368103,2.044339,1018.1134033203125,124.61139678955078,893.5020065307617,4.526925563812256,1.2280250787734985,3.2989004850387573,18.052842059582893,27.17522596743265,9.122383907849756,0.9329194485080515,0.9556637280969967,0.022744279588945204,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,canonical__p001_scratch_thin,p001_scratch_thin,p001_scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,4,2026,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e__restored_stable_diffusion_inpainting.png,data/processed/masked/p001_scratch_thin_damaged.png,data/processed/masks/p001_scratch_thin_mask.png,data/processed/clean/p001_clean.png,content_region,509184,52.0,0.0,715.0,768.0,12058.0,2.368103,2.044339,1179.3538818359375,144.34619140625,1035.0076904296875,5.24385929107666,1.422508716583252,3.821350574493408,17.414362200069036,26.536750314185447,9.122388114116411,0.9228786368066197,0.9491272245830674,0.026248587776447674,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
