metric,label,cases,mean,median,q25,q75,min,max,positive_rate
mse_improvement,MSE improvement,355,24268.743277792455,25316.81506347656,14966.53247833252,34382.659423828125,-971.97314453125,54879.52777671814,0.8732394366197183
psnr_improvement,PSNR improvement,355,15.449768690151608,17.85809607337672,13.552016647624288,21.37723128694188,-30.0417115362351,35.43934820361272,0.8732394366197183
lpips_improvement,LPIPS improvement,355,0.24335413034762457,0.2612746953964233,0.1693253615230787,0.36294253170490265,-0.3429573476314544,0.6018063053488731,0.8732394366197183
clip_similarity_improvement,CLIP similarity improvement,355,0.12169460427593176,0.1204679012298584,0.07057845592498774,0.1782303154468536,-0.3805580735206604,0.3854609727859497,0.8732394366197183
dinov2_similarity_improvement,DINOv2 similarity improvement,355,0.11275553375902309,0.0833217501640319,0.0395202040672302,0.16419970989227295,-0.455814003944397,0.6730470061302185,0.8676056338028169
mean_similarity_improvement,Mean feature similarity improvement,355,0.1172250690174774,0.1068127453327179,0.0662656128406524,0.17473080754280085,-0.4181860387325287,0.4578229784965515,0.8732394366197183
