category,cases,mean_metric_ties,mean_opencv_telea_metric_wins,mean_lama_metric_wins,mean_stable_diffusion_inpainting_metric_wins,mean_opencv_telea_mse_improvement,mean_lama_mse_improvement,mean_stable_diffusion_inpainting_mse_improvement,mean_opencv_telea_psnr_improvement,mean_lama_psnr_improvement,mean_stable_diffusion_inpainting_psnr_improvement,mean_opencv_telea_ssim_improvement,mean_lama_ssim_improvement,mean_stable_diffusion_inpainting_ssim_improvement,mean_opencv_telea_lpips_improvement,mean_lama_lpips_improvement,mean_stable_diffusion_inpainting_lpips_improvement,mean_opencv_telea_clip_improvement,mean_lama_clip_improvement,mean_stable_diffusion_inpainting_clip_improvement,mean_opencv_telea_dinov2_improvement,mean_lama_dinov2_improvement,mean_stable_diffusion_inpainting_dinov2_improvement
abstraction_surrealism,40,0.0,1.25,4.575,0.175,18899.95989923477,19484.23735319376,17876.773131370544,12.66334245562824,15.80406578765745,9.796031622652812,0.0595017935113006,0.0617129974843183,-0.2030837831190536,0.1391290739993564,0.1669601679961487,0.1056435771286487,0.0650877282023429,0.087756349146366,0.063531532883644,0.0266106635332107,0.0911586970090865,0.0144490033388137
architecture_structured,40,0.0,1.4,4.525,0.075,25406.392617225647,25722.20298347473,24537.51464424133,17.02063151759196,18.84835204555177,12.99840261598094,0.0783968723944526,0.0804726464571276,-0.2132319861782686,0.2388202771398937,0.287507217755774,0.1886935731396078,0.1113612920045852,0.1517068326473235,0.0956397920846938,0.0339803479611873,0.1031460344791412,0.0085880756378173
high_texture_brushwork,40,0.0,1.375,4.5,0.125,26778.382583999635,26948.319574451445,25769.689114189143,17.44199947258892,18.98371027296936,12.87343944183064,0.0756296594193612,0.0710734950619262,-0.2548219519777118,0.2365064105673809,0.2766812728586955,0.1737773779779672,0.0913516461849212,0.1406140953302383,0.0997295960783958,0.0931305833160877,0.1751333199441432,0.1034438900649547
landscape_natural,40,0.0,1.55,4.425,0.025,21573.90408668518,21766.124514102936,20384.58374633789,15.243420065948436,16.667878813291075,10.61569621603278,0.0700109694859431,0.0646966574935814,-0.2754941798118557,0.2071908700556377,0.2637045021605445,0.1364618254825472,0.0903486967086791,0.1383408427238464,0.0693640381097793,0.0871830090880393,0.2293417140841483,0.0455227769911289
portrait_figure,40,0.0,0.85,5.075,0.075,38096.48966236114,38278.73150799274,36639.39469642639,20.00023643176385,22.38336144161824,14.679807521175116,0.1091042579980719,0.1139158538125799,-0.1444542532087447,0.2701582489273277,0.3042693055191193,0.2075134757906198,0.0901999339461326,0.1227361977100371,0.0893342852592467,0.0794054590165614,0.1426198117434978,0.0639027781784534
