category,cases,mean_combined_uncertainty_index,median_combined_uncertainty_index,max_combined_uncertainty_index,mean_masked_std,mean_pairwise_lpips,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance
landscape_natural,8,0.3129970636659829,0.2021842190284232,0.9834162335148644,0.0777850341983139,0.1543309368037929,0.068877878288428,0.2092451804007093
portrait_figure,8,0.2321531311591245,0.1505134460915518,0.719251401201778,0.0706774415448308,0.1382515133979419,0.0308261563380559,0.0924538299441337
abstraction_surrealism,8,0.2299008770739143,0.1816010943666258,0.5625869738362576,0.0786502724513411,0.1119505697861313,0.0246024293204148,0.0808565740784009
architecture_structured,8,0.169530710046508,0.1243730955261596,0.4841082828630068,0.0564314760267734,0.1231614340795204,0.0324857334295908,0.0846566185355186
high_texture_brushwork,8,0.1684344798594413,0.1332844996499438,0.4116464237619671,0.0617209398187696,0.1138380851286152,0.0187599038084348,0.0528279493252436
