original_case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,combined_uncertainty_index,uncertainty_rank_high_to_low,masked_std_mean,masked_mad_mean,bbox_std_mean,mean_pairwise_lpips,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance
p043_loss_small,p043,p043_loss_small,loss_small,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,0.1279408688657338,24,0.0636869892477989,0.0551259405910968,0.0152939967811107,0.0629368356118599,0.0163214604059855,0.0426581700642903
p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,0.1256506999483674,25,0.05497707426548,0.0477671697735786,0.014218334108591,0.0647311968108018,0.0303801496823628,0.0905177195866902
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,0.1212553476875463,26,0.0463616624474525,0.0402996093034744,0.0197786167263984,0.099635815868775,0.0195772945880889,0.1015120247999827
p041_loss_small,p041,p041_loss_small,loss_small,high_texture_brushwork,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,0.1200619647212116,27,0.0547199323773384,0.0474286079406738,0.0235169176012277,0.0886024348437786,0.0085930128892262,0.0300832291444142
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.1107607378488904,28,0.0549409501254558,0.0474477671086788,0.017185827717185,0.0781466414531072,0.017470250527064,0.033241182565689
p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,0.1012089483086184,29,0.0602334327995777,0.0523420944809913,0.0116645833477377,0.0462459515159328,0.0174582004547119,0.028263916571935
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,0.0892079981255189,30,0.0517355054616928,0.0449603348970413,0.0153000866994261,0.0595270618796348,0.0094074308872222,0.0479972163836161
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,0.0692666016421072,31,0.0502385534346103,0.0438620597124099,0.0104927327483892,0.0457845566173394,0.0156232913335164,0.0291999081770579
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,0.0681428645759546,32,0.0533835813403129,0.0462599396705627,0.0148391518741846,0.0216552540659904,0.0052569508552551,0.02406707406044
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.0580835210021661,33,0.0493582971394062,0.0428475774824619,0.0134519999846816,0.0250145196914672,0.0062907040119171,0.0314700802167256
p041_scratch_thin,p041,p041_scratch_thin,scratch_thin,high_texture_brushwork,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,0.0540970309560501,34,0.0428085997700691,0.0370223820209503,0.018378647044301,0.045743233213822,0.0075696210066477,0.0168806413809458
p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,0.0532397879571507,35,0.0438420698046684,0.0376864857971668,0.012268466874957,0.0515746319045623,0.0122974912325541,0.0285883843898773
p043_scratch_thin,p043,p043_scratch_thin,scratch_thin,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,0.0484318549584944,36,0.0444263406097888,0.0384331680834293,0.0122618991881608,0.0231445065389076,0.0146988928318023,0.0374959111213684
p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.0403774405942174,37,0.0453743040561676,0.0394123159348964,0.0114621268585324,0.0257736540709932,0.0098357995351155,0.0132355391979217
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,0.0366313102055265,38,0.0353966951370239,0.0305701903998851,0.0137294838204979,0.0608869356413682,0.0106524527072906,0.0349072813987731
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.0234146082349439,39,0.0413382835686206,0.035794548690319,0.0110611785203218,0.0223700987795988,0.0047915379206339,0.0153955419858296
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,0.0043489072746971,40,0.0361536145210266,0.031381320208311,0.0084147956222295,0.026132960182925,0.0049503544966379,0.0134597917397816
