uncertainty_performance_quadrant,cases,mean_combined_uncertainty_index,mean_sd_metric_wins,mean_masked_std,mean_pairwise_lpips,mean_dinov2_uncertainty_distance
middle_region,20,0.15945287709893857,0.0,0.06603556871414185,0.08555091083981096,0.061602200071016945
low_uncertainty_low_reference_performance,10,0.04560339274013085,0.0,0.04423203393816948,0.03480803507069747,0.024470015366872152
high_uncertainty_high_reference_performance,5,0.48937435875507546,2.2,0.09852840304374695,0.29561611910661056,0.20403773486614227
high_uncertainty_low_reference_performance,5,0.5624333662568622,0.0,0.1012895166873932,0.31901623010635377,0.33267767777045565
