relative_path,project_relative_path,file_type,size_bytes,size_mb
selected_figures/08_stable_diffusion_uncertainty_p037_loss_small.png,outputs/supervisor_package/selected_figures/08_stable_diffusion_uncertainty_p037_loss_small.png,png,4566230,4.354696273803711
selected_figures/09_stable_diffusion_uncertainty_p037_mixed_damage.png,outputs/supervisor_package/selected_figures/09_stable_diffusion_uncertainty_p037_mixed_damage.png,png,4780728,4.559257507324219
selected_figures/10_stable_diffusion_uncertainty_p037_scratch_thin.png,outputs/supervisor_package/selected_figures/10_stable_diffusion_uncertainty_p037_scratch_thin.png,png,4796946,4.574724197387695
selected_figures/11_stable_diffusion_uncertainty_p026_loss_large.png,outputs/supervisor_package/selected_figures/11_stable_diffusion_uncertainty_p026_loss_large.png,png,5002172,4.770442962646484
selected_figures/12_stable_diffusion_uncertainty_p026_loss_small.png,outputs/supervisor_package/selected_figures/12_stable_diffusion_uncertainty_p026_loss_small.png,png,5126856,4.889350891113281
selected_figures/13_uncertainty_trustworthiness_quadrant_p011_loss_large.png,outputs/supervisor_package/selected_figures/13_uncertainty_trustworthiness_quadrant_p011_loss_large.png,png,4176251,3.982783317565918
selected_figures/14_uncertainty_trustworthiness_quadrant_p009_loss_large.png,outputs/supervisor_package/selected_figures/14_uncertainty_trustworthiness_quadrant_p009_loss_large.png,png,5983064,5.705894470214844
selected_figures/15_uncertainty_trustworthiness_quadrant_p018_loss_large.png,outputs/supervisor_package/selected_figures/15_uncertainty_trustworthiness_quadrant_p018_loss_large.png,png,3935875,3.753542900085449
selected_figures/16_uncertainty_trustworthiness_quadrant_p037_loss_large.png,outputs/supervisor_package/selected_figures/16_uncertainty_trustworthiness_quadrant_p037_loss_large.png,png,4504361,4.295693397521973
selected_figures/17_uncertainty_trustworthiness_quadrant_p010_loss_large.png,outputs/supervisor_package/selected_figures/17_uncertainty_trustworthiness_quadrant_p010_loss_large.png,png,6104051,5.821276664733887
selected_figures/18_uncertainty_trustworthiness_quadrant_p043_loss_large.png,outputs/supervisor_package/selected_figures/18_uncertainty_trustworthiness_quadrant_p043_loss_large.png,png,5126828,4.889324188232422
supervisor_questions.md,outputs/supervisor_package/supervisor_questions.md,md,3176,0.00302886962890625
