mask_type,cases,mean_combined_uncertainty_index,median_combined_uncertainty_index,max_combined_uncertainty_index,mean_masked_std,mean_pairwise_lpips,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance
loss_large,10,0.5174509468965468,0.4565851773085925,0.9834162335148644,0.09655909612774849,0.3164114015797774,0.08530346552530924,0.24804133996367456
mixed_damage,10,0.17480975180917407,0.14818723344200843,0.35618716155507874,0.06936805099248886,0.08453616301218668,0.02230640947818756,0.08059672216574351
loss_small,10,0.14120809843468582,0.13533430711721856,0.27168527702583817,0.06293315626680851,0.07555918932581941,0.022997358441352846,0.0601122130950292
scratch_thin,10,0.0569442123035702,0.05609027597910814,0.10120894830861848,0.04735182784497738,0.03671927743901809,0.009834447503089904,0.02728184660275777
