,masked_std_mean,masked_mad_mean,bbox_std_mean,mean_pairwise_lpips,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance,combined_uncertainty_index
masked_std_mean,1.0,0.9998081200173756,0.8148705262862691,0.7588629914148528,0.7109879231993882,0.6957627393168303,0.9103883306176451
masked_mad_mean,0.9998081200173756,1.0,0.8148071058523874,0.7579849977730105,0.7159055152518314,0.6998521888996436,0.9115920294408859
bbox_std_mean,0.8148705262862691,0.8148071058523874,1.0,0.9440409996844081,0.7526401377868466,0.7116601217213591,0.93002359876087
mean_pairwise_lpips,0.7588629914148528,0.7579849977730105,0.9440409996844081,1.0,0.8402284592012108,0.8270787336104111,0.9430270646814553
mean_clip_uncertainty_distance,0.7109879231993882,0.7159055152518314,0.7526401377868466,0.8402284592012108,1.0,0.9424136745850915,0.8965254052824313
mean_dinov2_uncertainty_distance,0.6957627393168303,0.6998521888996436,0.7116601217213591,0.8270787336104111,0.9424136745850915,1.0,0.880835245706977
combined_uncertainty_index,0.9103883306176451,0.9115920294408859,0.93002359876087,0.9430270646814553,0.8965254052824313,0.880835245706977,1.0
