case_id,painting_id,mask_id,mask_type,evaluation_region,clip_damaged_similarity_opencv,clip_restored_similarity_opencv,clip_similarity_improvement_opencv,dinov2_damaged_similarity_opencv,dinov2_restored_similarity_opencv,dinov2_similarity_improvement_opencv,clip_damaged_similarity_lama,clip_restored_similarity_lama,clip_similarity_improvement_lama,dinov2_damaged_similarity_lama,dinov2_restored_similarity_lama,dinov2_similarity_improvement_lama,clip_damaged_similarity_delta_lama_minus_opencv,clip_restored_similarity_delta_lama_minus_opencv,clip_similarity_improvement_delta_lama_minus_opencv,dinov2_damaged_similarity_delta_lama_minus_opencv,dinov2_restored_similarity_delta_lama_minus_opencv,dinov2_similarity_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_clip_restored_similarity,winner_clip_similarity_improvement,winner_dinov2_restored_similarity,winner_dinov2_similarity_improvement
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,content_region,0.8042035698890686,0.9995360374450684,0.1953324675559997,0.9101991057395936,0.998798131942749,0.0885990262031555,0.8042036890983582,0.9994970560073853,0.1952933669090271,0.9101991057395936,0.9993930459022522,0.0891939401626586,1.1920928955078125e-07,-3.898143768310547e-05,-3.910064697260074e-05,0.0,0.0005949139595031738,0.0005949139595030906,feature_similarity,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,opencv,lama,lama
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,mask_bbox_crop,0.857966423034668,0.9996324777603148,0.1416660547256469,0.9249415397644044,0.998967945575714,0.0740264058113098,0.8579663038253784,0.9996943473815918,0.1417280435562133,0.9249415397644044,0.9995376467704772,0.074596107006073,-1.1920928955078125e-07,6.186962127696649e-05,6.198883056640625e-05,0.0,0.0005697011947631836,0.0005697011947631975,feature_similarity,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama
p001_zero_control,p001,p001_zero_control,zero_control,full_image,1.000000238418579,1.000000238418579,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,0.0,0.0,feature_similarity,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,tie,tie,tie
p001_zero_control,p001,p001_zero_control,zero_control,content_region,1.0000001192092896,1.0000001192092896,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.0,0.0,0.0,feature_similarity,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,tie,tie,tie
p002_loss_large,p002,p002_loss_large,loss_large,full_image,0.945154070854187,0.9778038263320924,0.0326497554779052,0.7999658584594727,0.8072736859321594,0.0073078274726867,0.9451541304588318,0.9936509132385254,0.0484967827796936,0.7999658584594727,0.9750599265098572,0.1750940680503845,5.960464477539063e-08,0.015847086906432994,0.0158470273017884,0.0,0.16778624057769775,0.16778624057769778,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,content_region,0.9122564196586608,0.9636478424072266,0.0513914227485656,0.9100712537765504,0.9199342727661132,0.0098630189895629,0.9122564792633056,0.9934732913970948,0.081216812133789,0.9100712537765504,0.9833176136016846,0.0732463598251342,5.960464477539063e-08,0.029825448989868275,0.029825389385223396,0.0,0.0633833408355714,0.06338334083557129,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,mask_bbox_crop,0.724332869052887,0.8238481283187866,0.0995152592658996,0.7628775835037231,0.774365246295929,0.0114876627922058,0.7243326306343079,0.9698851108551024,0.2455524802207946,0.7628775835037231,0.9351863265037536,0.1723087430000305,-2.384185791015625e-07,0.1460369825363158,0.146037220954895,0.0,0.1608210802078246,0.16082108020782468,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,full_image,0.935543417930603,0.9975484013557434,0.0620049834251403,0.9404239058494568,0.9952942132949828,0.0548703074455261,0.9355433583259584,0.999267876148224,0.0637245178222656,0.9404239058494568,0.997004508972168,0.0565806031227111,-5.960464466436832e-08,0.0017194747924805798,0.0017195343971252997,0.0,0.0017102956771851696,0.0017102956771849961,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,content_region,0.932153582572937,0.996252417564392,0.064098834991455,0.9605841636657716,0.9943678975105286,0.033783733844757,0.9321537613868712,0.9992754459381104,0.067121684551239,0.9605841636657716,0.9989678263664246,0.038383662700653,1.7881393421514957e-07,0.0030230283737183727,0.003022849559784005,0.0,0.004599928855895996,0.004599928855896003,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,mask_bbox_crop,0.939056158065796,0.9977714419364928,0.058715283870697,0.942081093788147,0.99410080909729,0.052019715309143,0.9390560388565063,0.999289095401764,0.0602330565452575,0.942081093788147,0.9970705509185792,0.0549894571304321,-1.1920928966180355e-07,0.0015176534652712181,0.0015177726745604983,0.0,0.0029697418212891735,0.002969741821289104,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
