category,selected_cases,mean_mse_improvement,median_mse_improvement,mean_psnr_improvement,median_psnr_improvement,mean_ssim_improvement,median_ssim_improvement
abstraction_surrealism,13,11918.921369699332,7215.788330078125,9.040121864869864,12.690334278090209,,
architecture_structured,7,29767.49982561384,29672.559326171875,14.681326597976694,14.128106604973604,,
high_texture_brushwork,9,27563.84723154704,24533.02899169922,14.238744367529737,14.39387861989368,,
landscape_natural,13,18823.97160926232,8670.136962890625,9.831832434683777,8.12647074695624,,
portrait_figure,11,45857.30400085449,47805.2099609375,17.968735089944897,17.444243467566327,,
