case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,67242,13.2058,11.4003,5585.921875,111.93475341796875,5473.987121582031,25.058494567871094,2.1663966178894043,22.89209794998169,10.659855035261367,27.641154139790316,16.98129910452895,0.8971780498447482,0.961985475100338,0.0648074252555898,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,67242,13.2058,11.4003,6470.5703125,129.66197204589844,6340.908340454102,29.027034759521484,2.509490966796875,26.51754379272461,10.021378000359885,27.002677383091942,16.981299382732058,0.8807453180847769,0.9559100944086117,0.07516477632383489,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,masked_region,67242,,,,,67242,13.2058,11.4003,48997.8046875,981.8536376953125,48015.95104980469,219.8046112060547,19.00289535522461,200.80171585083008,1.229037386651714,18.210336073770222,16.981298687118507,,,,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,opencv_telea,mask_bbox_crop,126750,221.0,356.0,596.0,694.0,67242,13.2058,11.4003,25993.7734375,520.882080078125,25472.891357421875,116.60829162597656,10.081204414367676,106.52708721160889,3.9821103157352695,20.963409442243396,16.981299126508127,0.5126608186735168,0.819824780456469,0.30716396178295224,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,24198,4.7523,4.1026,1928.0279541015625,1.3411017656326294,1926.6868523359299,8.864421844482422,0.14584463834762573,8.718577206134796,15.279670345043947,46.85618626583945,31.5765159207955,0.953799774354965,0.9945746108161494,0.040774836461184405,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,24198,4.7523,4.1026,2233.371826171875,1.5534933805465698,2231.8183327913284,10.268289566040039,0.16894219815731049,10.099347367882729,14.64119327625564,46.21770953806832,31.576516261812678,0.9464161766491378,0.993707539485397,0.04729136283625923,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,masked_region,24198,,,,,24198,4.7523,4.1026,46995.5,32.689231872558594,46962.81076812744,216.0694580078125,3.5549495220184326,212.51450848579407,1.4102408630948342,32.986756451645235,31.5765155885504,,,,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,opencv_telea,mask_bbox_crop,306081,72.0,105.0,711.0,584.0,24198,4.7523,4.1026,3715.3466796875,2.5843288898468018,3712.762350797653,17.081911087036133,0.28104543685913086,16.800865650177002,12.43081016781919,44.00732578341917,31.57651561559998,0.9104038829178961,0.9894785404671609,0.07907465754926479,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,44392,8.7183,7.5263,3818.904296875,16.540428161621094,3802.363868713379,16.894119262695312,0.5904297828674316,16.30368947982788,12.311415859352524,35.94533613461378,23.63392027526126,0.9062294725936529,0.9813925061269823,0.07516303353332932,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,44392,8.7183,7.5263,4423.7080078125,19.15995216369629,4404.548055648804,19.569658279418945,0.6839367747306824,18.885721504688263,11.672939077568111,35.30685940419157,23.63392032662346,0.8932741602462745,0.9795422425765746,0.08626808233030014,ok,
