model,cases,mean_glcm_texture_distance,median_glcm_texture_distance,mean_gabor_texture_distance,median_gabor_texture_distance,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_brushstroke_orientation_histogram_l1_distance,mean_brushstroke_orientation_coherence_difference,mean_combined_texture_distance,median_combined_texture_distance
lama,250,0.0527772760333075,0.00715984390984699,6.316701217324455e-05,9.366430040382881e-06,0.006404720460743642,0.001644907887461298,0.00871912972517559,0.00746980669084093,0.058097471586657096,0.009780646716520215
opencv_telea,250,0.09712818441488501,0.033361222866984674,0.00011812604984614791,4.0967707277695926e-05,0.011016290475749336,0.004183814695191395,0.014872996885722365,0.012220261354567611,0.10564175195185624,0.038776987591645176
stable_diffusion_inpainting,250,0.12669504942629664,0.08897632332614809,0.00012883559254816868,8.68819131309577e-05,0.01853921642640612,0.01530259588472263,0.029881523688094914,0.031497385463290554,0.13902944932555297,0.11278785765238965
