case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,opencv_telea,mixed_damage_category_example;strongest_mse_improvement,p001_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\mixed_damage_category_example_strongest_mse_improvement\p001_mixed_damage_opencv_telea_error_maps.png,589824,44392,16.894119262695312,0.5904297828674316,16.30368995666504,255.0,96.66666412353516,0.0,255.0,224.4674072265625,7.844874382019043,216.62254333496094,0,44392,0,0.0,100.0,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,opencv_telea,strongest_mse_improvement,p002_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\strongest_mse_improvement\p002_loss_large_opencv_telea_error_maps.png,589824,49705,19.01308822631836,1.0010874271392822,18.012001037597656,255.0,100.0,0.0,255.0,225.61866760253906,11.879395484924316,213.73928833007812,0,49705,0,0.0,100.0,ok,
p006_loss_large,p006,portrait_figure,Boy with a Sword,p006_loss_large,loss_large,opencv_telea,strongest_mse_improvement,p006_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\strongest_mse_improvement\p006_loss_large_opencv_telea_error_maps.png,589824,51891,20.052406311035156,1.0384441614151,19.013961791992188,253.6666717529297,91.0,0.0,239.33334350585938,227.92758178710938,11.803576469421387,216.12399291992188,0,51891,0,0.0,100.0,ok,
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,p006_mixed_damage,mixed_damage,opencv_telea,strongest_mse_improvement,p006_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\strongest_mse_improvement\p006_mixed_damage_opencv_telea_error_maps.png,589824,44236,17.033329010009766,0.4039040803909302,16.629423141479492,255.0,155.0,-58.0,255.0,227.11512756347656,5.385485649108887,221.72962951660156,10,44226,0,0.02260602224432589,99.97739397775567,ok,
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,opencv_telea,strongest_mse_improvement,p006_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\strongest_mse_improvement\p006_scratch_thin_opencv_telea_error_maps.png,589824,13053,4.960737228393555,0.07977069169282913,4.880967140197754,255.0,97.0,0.0,255.0,224.1601104736328,3.604586124420166,220.55552673339844,0,13053,0,0.0,100.0,ok,
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_mixed_damage,mixed_damage,opencv_telea,mixed_damage_category_example,p011_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\mixed_damage_category_example\p011_mixed_damage_opencv_telea_error_maps.png,589824,44361,11.319889068603516,0.8116285800933838,10.508259773254395,255.0,120.33333587646484,0.0,253.0,150.50927734375,10.79141616821289,139.71786499023438,0,44361,0,0.0,100.0,ok,
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_mixed_damage,mixed_damage,opencv_telea,mixed_damage_category_example,p021_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\mixed_damage_category_example\p021_mixed_damage_opencv_telea_error_maps.png,589824,50041,12.726652145385742,1.1816061735153198,11.545047760009766,248.3333282470703,156.6666717529297,-95.33332824707031,246.0,150.00669860839844,13.927371978759766,136.07933044433594,114,49926,1,0.2278131931815911,99.7701884454747,ok,
p031_mixed_damage,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),p031_mixed_damage,mixed_damage,opencv_telea,mixed_damage_category_example,p031_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\mixed_damage_category_example\p031_mixed_damage_opencv_telea_error_maps.png,589824,48010,10.43867301940918,1.313175916671753,9.12549877166748,212.3333282470703,115.0,-4.666664123535156,201.33334350585938,128.24371337890625,16.132944107055664,112.11075592041016,1,48009,0,0.002082899395959175,99.99791710060404,ok,
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,opencv_telea,weakest_mse_improvement,p032_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\weakest_mse_improvement\p032_loss_large_opencv_telea_error_maps.png,589824,88089,9.137642860412598,4.901853561401367,4.2357892990112305,241.6666717529297,221.6666717529297,-166.66665649414062,234.6666717529297,61.18358612060547,32.82170486450195,28.361888885498047,9640,78408,41,10.943477619226009,89.00997854442666,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,opencv_telea,weakest_mse_improvement,p032_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\selected_cases\weakest_mse_improvement\p032_mixed_damage_opencv_telea_error_maps.png,589824,51647,3.56558895111084,0.6507529020309448,2.9148359298706055,244.0,214.3333282470703,-196.3333282470703,234.3333282470703,40.7200813293457,7.431790351867676,33.28828811645508,915,50730,2,1.7716421089317869,98.22448544930006,ok,
