case_id,painting_id,mask_type,model,region,bbox_margin,crop_height,crop_width,crop_area_pixels,masked_pixels_in_crop,mask_fraction_in_crop,clean_image_path,restored_image_path,mask_path,texture_metric_status,category,title,artist,date,medium,glcm_contrast_mean_clean,glcm_contrast_mean_restored,glcm_contrast_mean_abs_diff,glcm_contrast_std_clean,glcm_contrast_std_restored,glcm_contrast_std_abs_diff,glcm_homogeneity_mean_clean,glcm_homogeneity_mean_restored,glcm_homogeneity_mean_abs_diff,glcm_homogeneity_std_clean,glcm_homogeneity_std_restored,glcm_homogeneity_std_abs_diff,glcm_energy_mean_clean,glcm_energy_mean_restored,glcm_energy_mean_abs_diff,glcm_energy_std_clean,glcm_energy_std_restored,glcm_energy_std_abs_diff,glcm_correlation_mean_clean,glcm_correlation_mean_restored,glcm_correlation_mean_abs_diff,glcm_correlation_std_clean,glcm_correlation_std_restored,glcm_correlation_std_abs_diff,glcm_texture_distance_mean,glcm_texture_distance_sum,gabor_response_mean_clean,gabor_response_mean_restored,gabor_response_mean_abs_diff,gabor_response_std_clean,gabor_response_std_restored,gabor_response_std_abs_diff,gabor_response_energy_clean,gabor_response_energy_restored,gabor_response_energy_abs_diff,gabor_response_mean_std_across_filters_clean,gabor_response_mean_std_across_filters_restored,gabor_response_mean_std_across_filters_abs_diff,gabor_response_energy_std_across_filters_clean,gabor_response_energy_std_across_filters_restored,gabor_response_energy_std_across_filters_abs_diff,gabor_texture_distance_mean,gabor_texture_distance_sum,brushstroke_gradient_magnitude_mean_clean,brushstroke_gradient_magnitude_mean_restored,brushstroke_gradient_magnitude_mean_abs_diff,brushstroke_gradient_magnitude_std_clean,brushstroke_gradient_magnitude_std_restored,brushstroke_gradient_magnitude_std_abs_diff,brushstroke_gradient_magnitude_p90_clean,brushstroke_gradient_magnitude_p90_restored,brushstroke_gradient_magnitude_p90_abs_diff,brushstroke_edge_density_clean,brushstroke_edge_density_restored,brushstroke_edge_density_abs_diff,brushstroke_orientation_coherence_clean,brushstroke_orientation_coherence_restored,brushstroke_orientation_coherence_abs_diff,brushstroke_orientation_histogram_l1_distance,brushstroke_orientation_histogram_bin_0_clean,brushstroke_orientation_histogram_bin_1_clean,brushstroke_orientation_histogram_bin_2_clean,brushstroke_orientation_histogram_bin_3_clean,brushstroke_orientation_histogram_bin_4_clean,brushstroke_orientation_histogram_bin_5_clean,brushstroke_orientation_histogram_bin_6_clean,brushstroke_orientation_histogram_bin_7_clean,brushstroke_orientation_histogram_bin_0_restored,brushstroke_orientation_histogram_bin_1_restored,brushstroke_orientation_histogram_bin_2_restored,brushstroke_orientation_histogram_bin_3_restored,brushstroke_orientation_histogram_bin_4_restored,brushstroke_orientation_histogram_bin_5_restored,brushstroke_orientation_histogram_bin_6_restored,brushstroke_orientation_histogram_bin_7_restored,brushstroke_proxy_distance_mean,brushstroke_proxy_distance_sum,texture_distance_combined_raw,texture_distance_combined_norm,glcm_texture_distance_norm,gabor_texture_distance_norm,brushstroke_proxy_distance_norm
p001_loss_large,p001,loss_large,opencv_telea,mask_bbox_crop,16,354,391,138414,67242,0.48580345918765444,data/processed/clean/p001_clean.png,data/processed/restored/opencv_telea/p001_loss_large_restored_opencv_telea.png,data/processed/masks/p001_loss_large_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.5395983280112864,1.0291995424391696,0.5103987855721168,0.7751710223032418,0.5231340199929713,0.2520370023102705,0.7600863018488923,0.821179636694931,0.06109333484603874,0.040450134227985345,0.0376099087890988,0.002840225438886547,0.24406484665503833,0.2440371233115555,2.7723343482832785e-05,0.015007790368322652,0.012723830458903546,0.0022839599094191063,0.9583852897101014,0.9738434143394232,0.015458124629321834,0.02089401747197558,0.01325730981869573,0.007636707653279852,0.10647198296285203,0.8517758637028162,0.0015180391492322087,0.0010678703838493675,0.00045016876538284123,0.002498575437736387,0.002042131071599821,0.0004564443661365658,9.478190330961903e-06,5.737465888463096e-06,3.7407244424988067e-06,0.00045096638343653623,0.00028503626364812586,0.00016593011978841037,6.957265156767535e-06,3.4672852344887196e-06,3.4899799222788156e-06,0.00021595479113451903,0.0010797739556725951,0.043869178742170334,0.03215878829360008,0.011710390448570251,0.06314236670732498,0.05363987758755684,0.009502489119768143,0.08922591060400009,0.07505349814891815,0.01417241245508194,0.04267631886947852,0.030842255841172134,0.011834063028306387,0.2037227545753974,0.20434068258209692,0.0006179280066995196,0.043102629204451556,0.11626418657577296,0.07994951828813954,0.08861890298367328,0.08884182471907066,0.13282921257242913,0.1529058367196978,0.19024466531672438,0.1503458528237248,0.10119423795653176,0.07374432245470683,0.10220148405779217,0.08810982376832235,0.14093098897718212,0.14132126654640448,0.21166293704215688,0.1408349391958416,0.015156652043812967,0.0909399122628778,0.12184458979779952,0.15629335613148854,0.10785770570155793,0.24393817042637206,0.1170841922665356
p001_loss_small,p001,loss_small,opencv_telea,mask_bbox_crop,16,495,655,324225,24198,0.07463335646541754,data/processed/clean/p001_clean.png,data/processed/restored/opencv_telea/p001_loss_small_restored_opencv_telea.png,data/processed/masks/p001_loss_small_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.096013163362117,1.0761879015817069,0.01982526178041022,0.4640693966528158,0.4612784060828758,0.002790990569940033,0.7968053779785834,0.8041988045190283,0.007393426540444836,0.028684698531272684,0.02839773444500225,0.00028696408627043243,0.2502154431397247,0.2542546832605936,0.00403924012086887,0.011582647751579783,0.011553368029789181,2.9279721790601357e-05,0.9509711700657436,0.9519490610824004,0.0009778910166567956,0.0206702394579942,0.020508659448033293,0.00016158000996090854,0.004438079230792837,0.0355046338463427,0.0011762764625018463,0.0011495249394405012,2.6751523061345093e-05,0.0021249205262089768,0.002123399191380789,1.5213348281877329e-06,6.327273789944836e-06,6.26055475549947e-06,6.671903444536563e-08,0.00022634034729989712,0.0002284244580581794,2.0841107582822817e-06,3.4484862629569685e-06,3.4569915246533198e-06,8.505261696351215e-09,6.086438588791365e-06,3.0432192943956825e-05,0.03591572493314743,0.03479788079857826,0.001117844134569168,0.05330035462975502,0.05348583683371544,0.0001854822039604187,0.06822902709245682,0.06739184260368347,0.000837184488773346,0.0334921736448454,0.03311897601973938,0.0003731976251060212,0.12734599173919298,0.12610026429441906,0.0012457274447739142,0.0029574873069568713,0.16190373281627535,0.10009468916119686,0.10909516163001677,0.09127565214567145,0.11835818842395843,0.11726938030765571,0.15155393003000306,0.15044926548482215,0.16181429263738017,0.0987205534080287,0.1084225687912718,0.09201999350204357,0.11981231865770886,0.11802839602448362,0.1510443558559597,0.15013752112271053,0.0011194872006899566,0.0067169232041397395,0.005563652870071586,0.006672975785227418,0.00449584041016745,0.006875118102091105,0.008647968843423696
p001_mixed_damage,p001,mixed_damage,opencv_telea,mask_bbox_crop,16,768,695,533760,44392,0.08316846522781775,data/processed/clean/p001_clean.png,data/processed/restored/opencv_telea/p001_mixed_damage_restored_opencv_telea.png,data/processed/masks/p001_mixed_damage_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.2218958943315728,1.1516042872681889,0.07029160706338389,0.3540216270883169,0.34061308693558295,0.013408540152733961,0.8019178856078198,0.8121873481294268,0.010269462521606987,0.028618001706015705,0.027691005141833144,0.0009269965641825612,0.26866267021261353,0.2753316708183921,0.0066690006057785745,0.01274268349993155,0.012813500803264778,7.081730333322739e-05,0.9313815567973434,0.9342188130627164,0.0028372562653730116,0.019890089085392294,0.01945667074372278,0.0004334183416695135,0.013113387352257715,0.10490709881806172,0.0012093872792320326,0.0011468205678587158,6.256671137331682e-05,0.0025375247156868377,0.0024493575717012086,8.816714398562908e-05,8.78561189665561e-06,8.033279641495028e-06,7.523322551605816e-07,0.00026043557430726705,0.00024731067135529567,1.3124902951971377e-05,5.044759302781889e-06,4.3043316695202654e-06,7.404276332616234e-07,3.3070303639867895e-05,0.00016535151819933947,0.03776455298066139,0.03550548851490021,0.0022590644657611847,0.0650225430727005,0.06261104345321655,0.0024114996194839478,0.06996884942054749,0.06624230742454529,0.0037265419960021973,0.04072804256594724,0.03852105815347722,0.0022069844124700186,0.07029424682539137,0.07372285090143968,0.0034286040760483083,0.008133830621480237,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.17736959097696214,0.08641109882231947,0.09675796655577501,0.12306836965825364,0.14732785758271183,0.09467228135325202,0.12437391444222498,0.15001892060825509,0.003694420865207649,0.022166525191245894,0.016840878521105232,0.026392924936438234,0.013284056842294563,0.03735554707063172,0.028539170896388428
p001_scratch_thin,p001,scratch_thin,opencv_telea,mask_bbox_crop,16,768,695,533760,8012,0.015010491606714629,data/processed/clean/p001_clean.png,data/processed/restored/opencv_telea/p001_scratch_thin_restored_opencv_telea.png,data/processed/masks/p001_scratch_thin_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.2218958943315728,1.1841620341312795,0.037733860200293234,0.3540216270883169,0.3515013488824639,0.0025202782058529882,0.8019178856078198,0.8034245449082338,0.0015066593004139373,0.028618001706015705,0.028598993930331416,1.9007775684289074e-05,0.26866267021261353,0.2693436599905439,0.000680989777930352,0.01274268349993155,0.01281170900251602,6.902550258446917e-05,0.9313815567973434,0.9332686432735998,0.001887086476256461,0.019890089085392294,0.0198050820983055,8.500698708679283e-05,0.005562739278262815,0.04450191422610252,0.0012093872792320326,0.0011920934630325064,1.729381619952619e-05,0.0025375247156868377,0.002487367756354312,5.015695933252573e-05,8.78561189665561e-06,8.402708829180483e-06,3.829030674751266e-07,0.00026043557430726705,0.00024572373440054,1.4711839906727056e-05,5.044759302781889e-06,4.6694884374955806e-06,3.7527086528630827e-07,1.658415787430808e-05,8.292078937154041e-05,0.03776455298066139,0.03705257177352905,0.0007119812071323395,0.0650225430727005,0.06340568512678146,0.0016168579459190369,0.06996884942054749,0.06895928829908371,0.0010095611214637756,0.04072804256594724,0.03860349220623501,0.002124550359712228,0.07029424682539137,0.06781402739151474,0.002480219433876635,0.006696262378288839,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.17077466107337955,0.0860719250045653,0.09567899278019194,0.12525451613809907,0.1504271874311256,0.09710230085612374,0.1252396172676624,0.14945079944861686,0.0024399054077321423,0.014639432446392854,0.008019228843869266,0.014405461590648922,0.005635137801262718,0.01873312978456154,0.018848117186122514
p001_zero_control,p001,zero_control,opencv_telea,mask_bbox_crop,16,768,768,589824,0,0.0,data/processed/clean/p001_clean.png,data/processed/restored/opencv_telea/p001_zero_control_restored_opencv_telea.png,data/processed/masks/p001_zero_control_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.1054996989467376,1.1054996989467376,0.0,0.3201537871125026,0.3201537871125026,0.0,0.8207842483368322,0.8207842483368322,0.0,0.025867506065669888,0.025867506065669888,0.0,0.3014303653507288,0.3014303653507288,0.0,0.012132227945969347,0.012132227945969347,0.0,0.9317587399701739,0.9317587399701739,0.0,0.019781289543575952,0.019781289543575952,0.0,0.0,0.0,0.0011063552083214745,0.0011063552083214745,0.0,0.0024359059849909195,0.0024359059849909195,0.0,7.952345640660496e-06,7.952345640660496e-06,0.0,0.0002376489828869043,0.0002376489828869043,0.0,4.566081726330253e-06,4.566081726330253e-06,0.0,0.0,0.0,0.03417495638132095,0.03417495638132095,0.0,0.06283892691135406,0.06283892691135406,0.0,0.06460898369550705,0.06460898369550705,0.0,0.036856757269965276,0.036856757269965276,0.0,0.07029424682539137,0.07029424682539137,0.0,0.0,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002_loss_large,p002,loss_large,opencv_telea,mask_bbox_crop,16,310,328,101680,49705,0.4888375295043273,data/processed/clean/p002_clean.png,data/processed/restored/opencv_telea/p002_loss_large_restored_opencv_telea.png,data/processed/masks/p002_loss_large_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.1600882503994374,1.0065428891731079,0.15354536122632956,0.5444233277714576,0.46192108623184913,0.0825022415396085,0.8468342872551436,0.8790909175323355,0.03225663027719183,0.041555223891468145,0.0313696809832238,0.010185542908244347,0.25426384238034033,0.26554626917826685,0.011282426797926515,0.01688755811244295,0.013477491660560746,0.003410066451882205,0.9213257606859978,0.9340486821423354,0.012722921456337577,0.03715022010082807,0.030575780881520426,0.006574439219307646,0.039059953734603525,0.3124796298768282,0.0012083526332086574,0.0009518660663161427,0.0002564865668925147,0.0025693286928193024,0.002433753053386075,0.00013557563943322748,1.0641128658524698e-05,9.136893955504396e-06,1.5042347030203018e-06,0.0005622968043214151,0.00046867572375916815,9.362108056224698e-05,9.759112750660524e-06,8.31922418788736e-06,1.4398885627731642e-06,9.772548203075653e-05,0.0004886274101537826,0.03273344784975052,0.024923507124185562,0.007809940725564957,0.06863049417734146,0.06612386554479599,0.002506628632545471,0.06640328466892242,0.050583694130182266,0.015819590538740158,0.031923682140047205,0.025295043273013375,0.006628638867033829,0.15429652989051115,0.06116093208818644,0.09313559780232472,0.06729583558419472,0.23269161881371447,0.1010287342281147,0.08976290365605669,0.14287870822260995,0.14129596071325656,0.05622526940593475,0.06644147087020405,0.16967533408867444,0.1949601459882402,0.07146437146916951,0.09671619917248617,0.15901241756289983,0.16400767058754218,0.06010798750885094,0.0754586031208691,0.17827260458805821,0.032199372025067306,0.19319623215040385,0.07135705124170158,0.13289839594809824,0.039568315320033236,0.1103887307402625,0.24873814178399903
p002_loss_small,p002,loss_small,opencv_telea,mask_bbox_crop,16,729,372,271188,19520,0.07197958611737983,data/processed/clean/p002_clean.png,data/processed/restored/opencv_telea/p002_loss_small_restored_opencv_telea.png,data/processed/masks/p002_loss_small_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.5569059269698802,1.5406964813736888,0.01620944559619142,0.9685141073610375,0.9627193221422741,0.005794785218763421,0.8479584391565332,0.8492397015517277,0.001281262395194438,0.03947974837139883,0.039336618260291945,0.00014313011110688584,0.2825067679735395,0.28176746766766664,0.0007393003058728809,0.011599545015982335,0.011603875742722312,4.330726739977531e-06,0.9509701508844522,0.9512696054351929,0.0002994545507406521,0.03055624995376442,0.030507297789900138,4.8952163864281195e-05,0.0030650826335592444,0.024520661068473955,0.001360074762487784,0.0013364813009199377,2.3593461567846365e-05,0.003041699092136696,0.003020374026770393,2.1325065366303072e-05,1.3442050468862968e-05,1.327069395529179e-05,1.713565135711779e-07,0.0006336926763010844,0.000638443031609852,4.750355308767631e-06,1.233901033921499e-05,1.2362325168818295e-05,2.331482960330489e-08,9.97271071721831e-06,4.986355358609155e-05,0.029634736478328705,0.028956333175301552,0.000678403303027153,0.06559876352548599,0.06535615026950836,0.00024261325597763062,0.06205611303448677,0.060645561665296555,0.001410551369190216,0.03542192132395239,0.034363614909214274,0.0010583064147381138,0.22186165713020473,0.2378827815752722,0.01602112444506748,0.012049476591453646,0.22296776097244606,0.09790834639943681,0.08910640806381402,0.11036988013621281,0.11108119155514723,0.0660413930543305,0.0905437437965936,0.211981276021527,0.22743957296551423,0.09832058712027762,0.08399216097924074,0.10403197584112463,0.11048386634334927,0.06675879906987904,0.09258569011370638,0.21638734756640457,0.005243412563242373,0.03146047537945424,0.008318467907518836,0.018291660736394297,0.0031049743927163698,0.011264972607319252,0.04050503520914728
p002_mixed_damage,p002,mixed_damage,opencv_telea,mask_bbox_crop,16,768,481,369408,42027,0.11376851611226611,data/processed/clean/p002_clean.png,data/processed/restored/opencv_telea/p002_mixed_damage_restored_opencv_telea.png,data/processed/masks/p002_mixed_damage_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.66385473061018,1.5059096541589383,0.15794507645124178,1.039031850574739,0.9538296940316311,0.08520215654310781,0.8682341906313572,0.8727861640515142,0.004551973420157007,0.037200452467576764,0.03634687524743178,0.0008535772201449868,0.30619445359795794,0.3047482234891989,0.0014462301087590501,0.011290003047910661,0.011163985879091797,0.00012601716881886424,0.9504511522781228,0.955326751573062,0.004875599294939192,0.030813959946178252,0.028179575976712345,0.0026343839694659074,0.032204376772079324,0.2576350141766346,0.0014040679185806464,0.0013037161212802555,0.0001003517973003909,0.003179883361250783,0.0029863459155118712,0.00019353744573891163,1.609709920558089e-05,1.400265591655625e-05,2.094443289024639e-06,0.0009524097749588504,0.0008584254189491318,9.398435600971864e-05,1.7802242013158672e-05,1.5467142896027763e-05,2.335099117130909e-06,7.846062829103535e-05,0.0003923031414551767,0.028431536629796028,0.026689326390624046,0.0017422102391719818,0.0715610459446907,0.06726327538490295,0.00429777055978775,0.05956573784351349,0.05755431950092316,0.002011418342590332,0.04301476957726958,0.038039241164241164,0.004975528413028417,0.31026622845269936,0.29714343310413643,0.013122795348562921,0.019505244978267177,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.2928248544705714,0.08027481827229196,0.0814545858219928,0.09608858187262852,0.1092455518906596,0.05679355195703831,0.0755623857987269,0.20775566991568947,0.007609161313568096,0.045654967881408576,0.039891998713938455,0.06001045052078192,0.03262351367492533,0.08862754104814799,0.058780296839272446
p002_scratch_thin,p002,scratch_thin,opencv_telea,mask_bbox_crop,16,768,423,324864,8436,0.025967789598108748,data/processed/clean/p002_clean.png,data/processed/restored/opencv_telea/p002_scratch_thin_restored_opencv_telea.png,data/processed/masks/p002_scratch_thin_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.7246954875760678,1.6989899016441254,0.025705585931942387,1.0460133995345757,1.0347757334169636,0.011237666117612122,0.8565724954877569,0.8568617424540518,0.0002892469662948427,0.03759135974762769,0.037433229683172295,0.0001581300644553918,0.29402329494454443,0.2938927812672612,0.00013051367728322827,0.011425263553020351,0.01136562248086612,5.964107215423141e-05,0.9502751210403743,0.9509537950025441,0.0006786739621698068,0.030268911409170405,0.029981685619935815,0.00028722578923458947,0.004818335447643325,0.0385466835811466,0.0013967874062169965,0.0013916994406220813,5.087965594915197e-06,0.0032615977785705277,0.00322974282122838,3.185495734214783e-05,1.6094973261715495e-05,1.573399655778e-05,3.609767039354957e-07,0.0007740598027077046,0.0007625716162203529,1.1488186487351639e-05,1.6201951638326256e-05,1.579525453539828e-05,4.066971029279768e-07,9.839756646255627e-06,4.919878323127813e-05,0.029690910130739212,0.029488977044820786,0.00020193308591842651,0.07158417254686356,0.0708368644118309,0.0007473081350326538,0.06209484115242958,0.06201738864183426,7.745251059532166e-05,0.039456511032308905,0.039268740149724195,0.00018777088258471047,0.2493775153369256,0.24693368658980955,0.0024438287471160447,0.006119476797843453,0.24019569852922298,0.08582626935597469,0.07694222744136252,0.11066695413069635,0.11796939824530699,0.05715435973726947,0.08004922314421563,0.23119586941554143,0.23908794255929083,0.08758077369218392,0.0783424020564927,0.11035030018273749,0.11687492644154515,0.05823401607119246,0.08193436465679527,0.22759527433934942,0.001629628359848435,0.00977777015909061,0.006457803564138016,0.009528204499483847,0.0048810456255390594,0.011114790374033338,0.012588777498879144
p002_zero_control,p002,zero_control,opencv_telea,mask_bbox_crop,16,768,768,589824,0,0.0,data/processed/clean/p002_clean.png,data/processed/restored/opencv_telea/p002_zero_control_restored_opencv_telea.png,data/processed/masks/p002_zero_control_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.040335146765606,1.040335146765606,0.0,0.648587191140807,0.648587191140807,0.0,0.9175853621434714,0.9175853621434714,0.0,0.023190730386406556,0.023190730386406556,0.0,0.4705463263323216,0.4705463263323216,0.0,0.006563368247402475,0.006563368247402475,0.0,0.950452151308991,0.950452151308991,0.0,0.030813451838608237,0.030813451838608237,0.0,0.0,0.0,0.000953485565939142,0.000953485565939142,0.0,0.002587771334219724,0.002587771334219724,0.0,1.0097384299948923e-05,1.0097384299948923e-05,0.0,0.0006005845719860809,0.0006005845719860809,0.0,1.1149812679445558e-05,1.1149812679445558e-05,0.0,0.0,0.0,0.017806733027100563,0.017806733027100563,0.0,0.05827929079532623,0.05827929079532623,0.0,0.0333973728120327,0.0333973728120327,0.0,0.026940239800347224,0.026940239800347224,0.0,0.31026622845269936,0.31026622845269936,0.0,0.0,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
