evaluation_region,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
content_region,250,250,0.20812,0.0391,0.16902,0.2035,0.01939,0.1436,0.8,454656.0
full_image,250,250,0.17717,0.03044,0.14673,0.17143,0.01496,0.12762,0.8,589824.0
mask_bbox_crop,200,200,0.31303,0.09467,0.21836,0.29492,0.03579,0.21146,1.0,434875.19
