original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,clip_model_name,dinov2_model_name,feature_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_clip_similarity,pairwise_dinov2_similarity,pairwise_clip_uncertainty_distance,pairwise_dinov2_uncertainty_distance
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.993839681148529,0.9680774807929993,0.006160318851470947,0.03192251920700073
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.9933652281761169,0.9677838087081909,0.006634771823883057,0.03221619129180908
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.9954481720924377,0.9882379770278931,0.004551827907562256,0.011762022972106934
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.9939858913421631,0.9729413390159607,0.006014108657836914,0.027058660984039307
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.9970545172691345,0.9790530204772949,0.0029454827308654785,0.020946979522705078
p009_scratch_thin,p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,59,43,708,751,649,708,0.9947648048400879,0.9795039296150208,0.005235195159912109,0.020496070384979248
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.917978823184967,0.7608047723770142,0.08202117681503296,0.23919522762298584
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.9401825666427612,0.7146900296211243,0.05981743335723877,0.28530997037887573
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.8876439332962036,0.5766807794570923,0.11235606670379639,0.4233192205429077
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.8791693449020386,0.8491916060447693,0.12083065509796143,0.1508083939552307
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.9097350239753723,0.7169220447540283,0.09026497602462769,0.2830779552459717
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,167,142,527,683,360,541,0.8826170563697815,0.7010214328765869,0.1173829436302185,0.2989785671234131
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9913417100906372,0.976762056350708,0.008658289909362793,0.023237943649291992
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9846932888031006,0.9628174901008606,0.015306711196899414,0.037182509899139404
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9886817932128906,0.9568229913711548,0.011318206787109375,0.043177008628845215
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9908199310302734,0.9693145751953125,0.009180068969726562,0.0306854248046875
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9908753037452698,0.967515230178833,0.009124696254730225,0.03248476982116699
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,18,92,738,691,720,599,0.9896732568740845,0.9573239684104919,0.010326743125915527,0.04267603158950806
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.9718972444534302,0.9423362612724304,0.028102755546569824,0.05766373872756958
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.9775170087814331,0.8642849326133728,0.022482991218566895,0.1357150673866272
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.9781045913696289,0.9224600791931152,0.021895408630371094,0.07753992080688477
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.983845055103302,0.8520992994308472,0.016154944896697998,0.14790070056915283
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.9852997660636902,0.9161521196365356,0.014700233936309814,0.08384788036346436
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,20,768,747,768,727,0.9858725666999817,0.8935951590538025,0.01412743330001831,0.10640484094619751
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.9895161986351013,0.928970992565155,0.010483801364898682,0.07102900743484497
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.992363691329956,0.9699937105178833,0.007636308670043945,0.0300062894821167
