evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
content_region,250,250,1572.525,237.1863,1335.3386,8.9654,7.7177,1.2477,16.6442,24.1639,7.5198,0.9367,0.7271,-0.2096,454656.0
full_image,250,250,1203.4601,186.6272,1016.8329,6.8572,6.3777,0.4795,17.8125,25.2516,7.4391,0.9506,0.7871,-0.1635,589824.0
mask_bbox_crop,200,200,4835.2005,545.3732,4289.8273,27.8695,12.5755,15.294,14.4229,22.8108,8.3879,0.8288,0.6106,-0.2182,318789.815
masked_region,200,200,26995.7325,1954.1414,25041.5911,152.7505,29.1041,123.6465,4.3305,16.5232,12.1927,,,,33543.27
