dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,,,,4571.90087890625,53.1569709777832,4518.743907928467,20.106157302856445,1.1973563432693481,18.908800959587097,11.529835547638047,30.875201351192917,19.34536580355487,0.8722184533341556,0.9706691027526823,0.09845064941852666,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,45733,,,,,,,,50902.8046875,591.841552734375,50310.963134765625,223.8587646484375,13.331175804138184,210.52758884429932,1.0633864873258143,20.40874907495594,19.345362587630124,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,boundary_region,32314,,,,,,,,21586.921875,91.42401885986328,21495.497856140137,94.82862854003906,2.773833751678467,92.0547947883606,4.788896410907458,28.52020052574632,23.73130411483886,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,outside_mask_region,463451,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_mixed_damage,p001,portrait_figure,Juan de Pareja,,,opencv_telea,mask_bbox_crop,511488,44.0,0.0,710.0,768.0,,,,4551.30517578125,52.91752243041992,4498.38765335083,20.01558494567871,1.1919628381729126,18.8236221075058,11.549444039125444,30.894808583075775,19.345364543950332,0.8711062271045686,0.9698353200357662,0.09872909293119758,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,1018.1134033203125,2.0758073329925537,1016.03759598732,4.526925563812256,0.0869733989238739,4.439952164888382,18.052842059582893,44.95893319062005,26.906091131037158,0.9329194485080515,0.9969317715633169,0.06401232305526539,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,,,,1179.3538818359375,2.404555082321167,1176.9493267536163,5.24385929107666,0.1007474735379219,5.143111817538738,17.414362200069036,44.32045630747693,26.906094107407895,0.9228786368066197,0.996721059934791,0.07384242312817124,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,12058,,,,,,,,49801.60546875,101.539306640625,49700.066162109375,221.43716430664062,4.254354000091553,217.18281030654907,1.1583701740577899,28.064461673614538,26.906091499556748,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,boundary_region,32898,,,,,,,,18232.29296875,37.21332550048828,18195.07964324951,81.07090759277344,1.5583723783493042,79.51253521442413,5.522390701035968,32.42381879183423,26.901428090798262,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,outside_mask_region,497126,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_scratch_thin,p001,portrait_figure,Juan de Pareja,,,opencv_telea,mask_bbox_crop,521472,44.0,0.0,723.0,768.0,,,,1151.562744140625,2.3478939533233643,1149.2148501873016,5.120292663574219,0.09837345033884048,5.021919213235378,17.5179275491879,44.424018835080744,26.906091285892845,0.9240484691874222,0.9965260177284513,0.07247754854102906,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_zero_control,p001,portrait_figure,Juan de Pareja,,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,1.0,1.0,0.0,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p001_zero_control,p001,portrait_figure,Juan de Pareja,,,opencv_telea,content_region,509184,52.0,0.0,715.0,768.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,1.0,1.0,0.0,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,2207.907470703125,98.1419448852539,2109.765525817871,11.45635986328125,1.3658978939056396,10.09046196937561,14.69099491903627,28.212257006959668,13.521262087923398,0.9496685649719613,0.9793764948017253,0.029707929829764,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,content_region,344832,159.0,0.0,608.0,768.0,,,,3776.55419921875,167.8685760498047,3608.6856231689453,19.59573745727539,2.3363242149353027,17.259413242340088,12.359846390126084,25.881109543393286,13.521263153267203,0.9134253871526729,0.9645257088914558,0.05110032173878298,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,masked_region,37439,,,,,,,,34783.96875,1546.1539306640625,33237.81481933594,180.48655700683594,21.518718719482422,158.96783828735352,2.717012286327269,16.238276320164395,13.521264033837127,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,boundary_region,5793,,,,,,,,19396.607421875,52.01887512207031,19344.58854675293,96.80551147460938,2.0325679779052734,94.7729434967041,5.253545848965885,30.9691940427218,25.715648193755914,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,outside_mask_region,307393,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,mask_bbox_crop,70970,207.0,61.0,442.0,363.0,,,,18349.681640625,815.64697265625,17534.03466796875,95.21258544921875,11.351829528808594,83.86075592041016,5.4945182704379185,19.015781322635405,13.521263052197487,0.5688562823022963,0.8233371510629848,0.25448086876068843,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,full_image,589824,0.0,0.0,768.0,768.0,,,,1396.8109130859375,4.607850074768066,1392.2030630111694,6.632436752319336,0.17778071761131287,6.454656034708023,16.679427414118507,41.49582020826058,24.816392794142075,0.9638633203911745,0.9936494741863147,0.029786153795140158,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,content_region,344832,159.0,0.0,608.0,768.0,,,,2389.2001953125,7.8815789222717285,2381.3186163902283,11.344569206237793,0.30408817529678345,11.04048103094101,14.348278192901398,39.1646713214228,24.816393128521405,0.937841648167212,0.9890765221895522,0.05123487402234017,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,masked_region,18776,,,,,,,,43879.03125,144.7497100830078,43734.28153991699,208.34950256347656,5.584753513336182,202.76474905014038,1.7082333010159987,26.524626583093763,24.816393282077765,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,boundary_region,9307,,,,,,,,21221.81640625,23.22710418701172,21198.58930206299,100.64263153076172,1.4298198223114014,99.21281170845032,4.8629780781292435,34.47085292866871,29.607874850539467,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
canonical,p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),,,opencv_telea,outside_mask_region,326056,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,
