refined_overall_metric_vote,cases,mean_combined_uncertainty_index,median_combined_uncertainty_index,max_combined_uncertainty_index,mean_masked_std,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,mean_stable_diffusion_metric_wins
stable_diffusion_inpainting,1,0.4290620717541782,0.4290620717541782,0.4290620717541782,0.09862791001796722,0.264517975350221,0.13146554430325827,4.0
lama,27,0.2561412498371649,0.1560691781826365,0.9834162335148644,0.07518411000017766,0.13669462323786666,0.12125717094283045,0.25925925925925924
tie_lama_opencv_telea,7,0.1794892101355299,0.13798545320342892,0.42586817951510375,0.056270190115485876,0.14103075932888756,0.08924371004104614,0.0
opencv_telea,5,0.0605659612266858,0.058083521002166155,0.06926660164210727,0.04792622029781342,0.037954439098636314,0.026041217645009357,0.0
