category,rows,cases,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,clip_improvement_rate,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,dinov2_improvement_rate,mean_region_pixel_count
abstraction_surrealism,140,50,0.92535,0.99441,0.06906,0.06335,0.85714,0.91287,0.98171,0.06884,0.05589,0.85714,524982.7
architecture_structured,140,50,0.87098,0.99311,0.12212,0.12796,0.85714,0.89525,0.98193,0.08668,0.0533,0.85,482446.84286
high_texture_brushwork,140,50,0.8856,0.99259,0.10699,0.10924,0.85714,0.83053,0.97813,0.14761,0.10455,0.83571,496638.98571
landscape_natural,140,50,0.885,0.99469,0.10969,0.11678,0.85714,0.78932,0.98314,0.19381,0.15684,0.85714,480574.62143
portrait_figure,140,50,0.88942,0.99262,0.1032,0.10175,0.85714,0.86389,0.98111,0.11722,0.09043,0.85714,501749.97857
