category,cases,mean_global_uncertainty,mean_masked_uncertainty,median_masked_uncertainty,mean_bbox_uncertainty,mean_boundary_uncertainty,mean_outside_mask_uncertainty,mean_masked_vs_global_ratio,mean_boundary_vs_global_ratio
abstraction_surrealism,8,3.7111347913742065,20.055819272994995,21.057584762573242,6.663922309875488,5.623687207698822,2.446154937148094,5.68290990719318,1.5943313962588934
landscape_natural,8,3.00508388876915,19.835182905197144,17.513558387756348,6.691588342189789,4.645025610923767,1.8450333774089813,6.4421902089293495,1.6563020267511694
portrait_figure,8,4.619064480066299,18.022746086120605,15.380099773406982,7.5949269235134125,7.170385539531708,3.5378298163414,3.8358111442632996,1.6326197683853878
high_texture_brushwork,8,3.856591910123825,15.738839507102966,16.21989345550537,6.582486867904663,7.371399462223053,3.0113594233989716,4.160744025135715,1.9014016543220222
architecture_structured,8,3.117040693759918,14.390025854110718,13.334216594696045,5.791147947311401,5.489701688289642,2.4470987021923065,4.621283576673156,1.7956314198587726
