mask_type,cases,mean_global_uncertainty,mean_masked_uncertainty,median_masked_uncertainty,mean_bbox_uncertainty,mean_boundary_uncertainty,mean_outside_mask_uncertainty,mean_masked_vs_global_ratio,mean_boundary_vs_global_ratio
loss_large,10,4.750953722000122,24.622568130493164,22.084580421447754,14.70220069885254,6.614203262329101,2.5469935536384583,5.362492239101655,1.41911193215172
mixed_damage,10,4.050491309165954,17.688852882385255,17.553786277770996,4.718453526496887,6.0241361379623415,2.8964453101158143,4.499372065070934,1.461297348910916
loss_small,10,2.985344409942627,16.047954654693605,15.56232213973999,3.9711985111236574,6.301782464981079,2.49419219493866,5.500481212753523,2.095952237442849
scratch_thin,10,2.860343170166016,12.07471523284912,11.957540512084961,3.2674051761627196,5.300037741661072,2.692349946498871,4.432005572829649,1.8878674939555116
