category,mask_type,cases,mean_masked_pixel_count,mean_damaged_error_masked,mean_restored_error_masked,mean_improvement_masked,mean_positive_improvement_percentage_masked,mean_negative_improvement_percentage_masked
abstraction_surrealism,loss_large,10,66243.5,124.14252510070801,27.020970249176024,97.12155780792236,95.5688230637484,4.3966493850043475
abstraction_surrealism,loss_small,10,20043.8,125.8514232635498,13.269318151474,112.58210639953613,98.66084909846172,1.3217272032772107
abstraction_surrealism,mixed_damage,10,47457.5,127.52064514160156,17.096558141708375,110.4240894317627,98.25126594306963,1.7370213612353829
abstraction_surrealism,scratch_thin,10,12182.6,124.66317882537842,8.282002997398376,116.38117618560791,99.92997511237029,0.06784857254538582
abstraction_surrealism,zero_control,10,0.0,,,,,
architecture_structured,loss_large,10,56136.8,146.25634765625,17.42848777770996,128.82785568237304,99.50009060771782,0.49057418488492016
architecture_structured,loss_small,10,17848.4,153.80323944091796,10.207994985580445,143.59523849487306,99.76791115959146,0.23141774450893599
architecture_structured,mixed_damage,10,45626.0,155.07398376464843,12.62646198272705,142.4475212097168,99.91288797558708,0.0861859964691315
architecture_structured,scratch_thin,10,9072.5,156.3597671508789,8.894815969467164,147.4649528503418,99.89349361268175,0.10650638731825017
architecture_structured,zero_control,10,0.0,,,,,
high_texture_brushwork,loss_large,10,60630.3,146.41467361450196,18.36134362220764,128.0533317565918,99.37466621305889,0.6148391186062934
high_texture_brushwork,loss_small,10,21790.9,155.10561904907226,11.825404071807862,143.28021163940429,99.8556184625442,0.14385698856784462
high_texture_brushwork,mixed_damage,10,45280.9,160.50041809082032,13.444967985153198,147.05545043945312,99.73645460171397,0.2596694565735259
high_texture_brushwork,scratch_thin,10,10255.3,170.34359130859374,9.539722871780395,160.80386657714843,99.97710506232511,0.02204697702026626
high_texture_brushwork,zero_control,10,0.0,,,,,
landscape_natural,loss_large,10,54411.0,132.68162155151367,19.794527530670166,112.88709373474121,98.2105614380473,1.7586367450149603
landscape_natural,loss_small,10,18816.7,136.9500534057617,11.69228949546814,125.25776863098145,99.31007025455469,0.6813442679840753
landscape_natural,mixed_damage,10,44707.0,134.60048141479493,14.458969116210938,120.14151535034179,98.44064718263384,1.5416738303254294
landscape_natural,scratch_thin,10,9057.9,142.71042861938477,11.185090970993041,131.52533493041992,98.33528584348463,1.6591424422047383
landscape_natural,zero_control,10,0.0,,,,,
portrait_figure,loss_large,10,56425.8,191.08754653930663,15.509873580932616,175.57767868041992,99.09960675228464,0.8915138069448629
portrait_figure,loss_small,10,21259.4,188.6442428588867,8.332592225074768,180.31165084838867,99.94064660636273,0.058876180561625656
portrait_figure,mixed_damage,10,44183.2,191.0267318725586,11.685526657104493,179.34120025634766,99.7938509232736,0.20255738071119814
portrait_figure,scratch_thin,10,9435.9,191.2736022949219,7.717709422111511,183.55588912963867,99.97354242291519,0.026457577084802352
portrait_figure,zero_control,10,0.0,,,,,
