dataset_name,category,evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
damage_size,landscape_natural,full_image,7,7,1554.2554,70.114,1484.1414,9.2448,1.3089,7.9359,17.3654,30.406,13.0406,0.956,0.9746,0.0186,589824.0
damage_size,landscape_natural,mask_bbox_crop,7,7,12165.7518,617.26,11548.4918,73.4864,10.9924,62.494,7.3007,20.3413,13.0406,0.6118,0.7758,0.164,71359.1429
damage_size,landscape_natural,masked_region,7,7,24631.0332,1269.6613,23361.3719,148.9926,22.4869,126.5057,4.2207,17.2613,13.0406,,,,36163.0
damage_size,landscape_natural,outside_mask_region,7,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,353213.0
damage_size,portrait_figure,boundary_region,7,7,24275.2062,13.8388,24261.3674,109.0424,1.585,107.4574,4.2845,37.2377,32.9531,,,,6086.2857
damage_size,portrait_figure,content_region,7,7,4451.0826,51.3136,4399.769,20.2003,1.2065,18.9938,12.7536,32.4592,19.7055,0.9154,0.9732,0.0578,509184.0
damage_size,portrait_figure,full_image,7,7,3842.5363,44.2981,3798.2382,17.4385,1.0415,16.397,13.3921,33.0976,19.7055,0.9271,0.9769,0.0498,589824.0
damage_size,portrait_figure,mask_bbox_crop,7,7,25051.3605,283.9986,24767.3619,114.5995,6.7426,107.8569,4.1564,23.8619,19.7055,0.4864,0.8355,0.3491,86559.0
damage_size,portrait_figure,masked_region,7,7,47011.0815,529.4242,46481.6573,215.1864,12.6141,202.5724,1.4112,21.1168,19.7055,,,,47293.4286
damage_size,portrait_figure,outside_mask_region,7,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,461890.5714
mask_robustness,abstraction_surrealism,boundary_region,15,15,9832.7465,215.6001,9617.1464,63.4075,5.6369,57.7706,8.2986,26.1627,17.8642,,,,10359.8
mask_robustness,abstraction_surrealism,content_region,15,15,1378.6843,122.8195,1255.8648,8.6515,1.8197,6.8318,18.1675,31.1553,12.9878,0.9425,0.9674,0.025,433152.0
mask_robustness,abstraction_surrealism,full_image,15,15,1012.4712,90.1955,922.2757,6.3535,1.3363,5.0171,19.5083,32.4961,12.9878,0.9574,0.9757,0.0183,589824.0
mask_robustness,abstraction_surrealism,mask_bbox_crop,15,15,5951.1656,585.9659,5365.1998,37.4547,8.5179,28.9368,13.4622,26.45,12.9878,0.7745,0.8456,0.0712,188475.9333
mask_robustness,abstraction_surrealism,masked_region,15,15,21235.626,1451.4095,19784.2165,134.9431,23.8919,111.0512,5.0046,17.9924,12.9878,,,,27447.9333
mask_robustness,abstraction_surrealism,outside_mask_region,15,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,405704.0667
mask_robustness,architecture_structured,boundary_region,15,15,12309.0606,136.3852,12172.6755,73.2932,4.686,68.6071,7.3952,29.5618,22.1666,,,,11839.2667
mask_robustness,architecture_structured,content_region,15,15,1721.5772,28.0696,1693.5076,10.1729,0.9015,9.2714,17.2098,36.7371,19.5273,0.9309,0.966,0.0351,406272.0
mask_robustness,architecture_structured,full_image,15,15,1185.826,19.3344,1166.4916,7.0071,0.621,6.3862,18.8288,38.3561,19.5273,0.9514,0.9761,0.0247,589824.0
mask_robustness,architecture_structured,mask_bbox_crop,15,15,5371.7142,93.8383,5277.8759,31.3488,2.9268,28.422,14.0415,33.5687,19.5273,0.8067,0.8863,0.0796,217135.8
mask_robustness,architecture_structured,masked_region,15,15,26140.4564,422.1942,25718.2622,156.5762,13.0679,143.5083,4.0346,23.5619,19.5273,,,,25706.1333
mask_robustness,architecture_structured,outside_mask_region,15,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,380565.8667
mask_robustness,high_texture_brushwork,boundary_region,15,15,12567.4917,79.2035,12488.2882,72.1875,3.5285,68.659,7.2033,29.5879,22.3846,,,,14609.6667
mask_robustness,high_texture_brushwork,content_region,15,15,1773.0337,77.9777,1695.0559,10.2203,1.473,8.7473,16.7814,34.2427,17.4613,0.9288,0.9665,0.0377,469248.0
mask_robustness,high_texture_brushwork,full_image,15,15,1410.5775,62.037,1348.5406,8.131,1.1719,6.9591,17.7746,35.2359,17.4613,0.943,0.9732,0.0302,589824.0
mask_robustness,high_texture_brushwork,mask_bbox_crop,15,15,4897.4808,258.1392,4639.3415,28.3247,4.6665,23.6581,14.1056,31.5669,17.4613,0.8258,0.8977,0.0719,282450.2667
mask_robustness,high_texture_brushwork,masked_region,15,15,28641.5783,797.3282,27844.2501,163.5754,17.1027,146.4727,3.5836,21.0449,17.4613,,,,29644.6
mask_robustness,high_texture_brushwork,outside_mask_region,15,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,439603.4
mask_robustness,landscape_natural,boundary_region,15,15,13968.5426,48.93,13919.6126,75.5976,2.5345,73.0631,6.7512,31.9733,25.2221,,,,12721.6667
mask_robustness,landscape_natural,content_region,15,15,1803.6561,47.065,1756.5911,10.1945,1.028,9.1665,16.4398,36.1489,19.7091,0.9318,0.9755,0.0436,389376.0
mask_robustness,landscape_natural,full_image,15,15,1190.6949,31.0703,1159.6246,6.73,0.6786,6.0513,18.2433,37.9524,19.7091,0.9547,0.9838,0.029,589824.0
mask_robustness,landscape_natural,mask_bbox_crop,15,15,4927.8512,153.2495,4774.6018,28.3277,3.2402,25.0876,13.6653,33.3744,19.7091,0.8355,0.9266,0.0912,228566.6667
