case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_lpips_improvement,lama_lpips_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.3590654730796814,0.5336503386497498,0.0501744747161865,lama
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.2701017372310161,0.2792714866809547,0.1337623745203018,lama
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.2965318113565445,0.3298119995743036,0.1531517803668975,lama
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,0.3348236014135182,0.3391595582943409,0.190950408577919,lama
p012_loss_large,p012,p012_loss_large,loss_large,landscape_natural,An Extensive Wooded Landscape,0.1817728728055954,0.3329782634973526,0.0173544883728027,lama
p012_loss_small,p012,p012_loss_small,loss_small,landscape_natural,An Extensive Wooded Landscape,0.1603695256635546,0.1703360108658671,0.0399166196584701,lama
p012_mixed_damage,p012,p012_mixed_damage,mixed_damage,landscape_natural,An Extensive Wooded Landscape,0.2430631704628467,0.2760225608944893,0.1814938113093376,lama
p012_scratch_thin,p012,p012_scratch_thin,scratch_thin,landscape_natural,An Extensive Wooded Landscape,0.2772136237472296,0.2928924355655908,0.2050558626651764,lama
p013_loss_large,p013,p013_loss_large,loss_large,landscape_natural,Landscape with a Village in the Distance,0.2195289731025695,0.4188872873783111,0.2949917912483215,lama
p013_loss_small,p013,p013_loss_small,loss_small,landscape_natural,Landscape with a Village in the Distance,0.2145170513540506,0.2274408200755715,0.1240322440862655,lama
p013_mixed_damage,p013,p013_mixed_damage,mixed_damage,landscape_natural,Landscape with a Village in the Distance,0.3257877081632614,0.3802478648722172,0.2318646013736724,lama
p013_scratch_thin,p013,p013_scratch_thin,scratch_thin,landscape_natural,Landscape with a Village in the Distance,0.3745400886982679,0.3798619443550706,0.2413711994886398,lama
p014_loss_large,p014,p014_loss_large,loss_large,landscape_natural,Landscape on a River,0.2232939302921295,0.4130358397960663,0.3364683389663696,lama
p014_loss_small,p014,p014_loss_small,loss_small,landscape_natural,Landscape on a River,0.2742894701659679,0.2916019442491233,0.1165874898433685,lama
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,landscape_natural,Landscape on a River,0.3723422586917877,0.4164317436516285,0.2389728873968124,lama
p014_scratch_thin,p014,p014_scratch_thin,scratch_thin,landscape_natural,Landscape on a River,0.415477305650711,0.4169335691258311,0.1565363407135009,lama
p015_loss_large,p015,p015_loss_large,loss_large,landscape_natural,Landscape,0.1683862507343292,0.4214644581079483,0.2557416558265686,lama
p015_loss_small,p015,p015_loss_small,loss_small,landscape_natural,Landscape,0.1188669875264167,0.1230125571601092,0.0558198243379592,lama
p015_mixed_damage,p015,p015_mixed_damage,mixed_damage,landscape_natural,Landscape,0.2279270440340042,0.2668400108814239,0.1744287461042404,lama
p015_scratch_thin,p015,p015_scratch_thin,scratch_thin,landscape_natural,Landscape,0.1567876647459343,0.1572647686116397,0.0767566040158271,lama
p016_loss_large,p016,p016_loss_large,loss_large,landscape_natural,Wooded Landscape with a House beside a River,0.0915433168411254,0.3084403723478317,0.2160878777503967,lama
p016_loss_small,p016,p016_loss_small,loss_small,landscape_natural,Wooded Landscape with a House beside a River,0.1125744841992855,0.1276129130274057,0.0541728213429451,lama
p016_mixed_damage,p016,p016_mixed_damage,mixed_damage,landscape_natural,Wooded Landscape with a House beside a River,0.1310184895992279,0.1691376492381096,0.1151655092835426,lama
p016_scratch_thin,p016,p016_scratch_thin,scratch_thin,landscape_natural,Wooded Landscape with a House beside a River,0.094211452640593,0.0964444885030388,-0.0061971694231033,lama
p017_loss_large,p017,p017_loss_large,loss_large,landscape_natural,Picturesque Landscape,0.0329016149044036,0.207484945654869,0.155702531337738,lama
p017_loss_small,p017,p017_loss_small,loss_small,landscape_natural,Picturesque Landscape,0.0988711379468441,0.1289530396461486,0.0157363265752792,lama
p017_mixed_damage,p017,p017_mixed_damage,mixed_damage,landscape_natural,Picturesque Landscape,0.1354818306863308,0.168268758803606,0.0704725682735443,lama
p017_scratch_thin,p017,p017_scratch_thin,scratch_thin,landscape_natural,Picturesque Landscape,0.0914434971055015,0.0907072348054498,-0.021345242857933,opencv_telea
p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,0.2041938006877899,0.3454868197441101,0.251799464225769,lama
p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,0.1652987748384475,0.1891403696499765,0.1324931234121322,lama
p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,0.2843162752687931,0.3042363412678242,0.2255993708968162,lama
p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,0.3065440993523225,0.3075588585343212,0.1852278709411621,lama
p019_loss_large,p019,p019_loss_large,loss_large,landscape_natural,Evening: Landscape with an Aqueduct,0.1277337372303009,0.23399518430233,0.1839820742607116,lama
