case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue,distance_from_median_dinov2_improvement,clip_improved,dinov2_improved,feature_disagreement_magnitude,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,154449,213,230,606,623,60196,14.7609,10.2058,0.8268417119979858,0.8435401320457458,0.01669842004776001,0.881481409072876,0.6112333536148071,-0.27024805545806885,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,clip_dinov2_metric_disagreement; weakest_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p028_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p028_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p028_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p028_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p028_loss_large_stable_diffusion_feature_similarity.png
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",p029_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,112896,323,240,659,576,39135,10.2118,6.635,0.8195840120315552,0.8927005529403687,0.07311654090881348,0.9326847195625305,0.7685543298721313,-0.16413038969039917,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,clip_dinov2_metric_disagreement; weakest_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p029_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p029_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p029_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p029_loss_large_stable_diffusion_feature_similarity.png
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,342225,111,105,696,690,24273,5.2852,4.1153,0.7598941326141357,0.8778204917907715,0.11792635917663574,0.9314420223236084,0.9685883522033691,0.03714632987976074,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p022_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p022_loss_small_stable_diffusion_feature_similarity.png
p026_loss_small,p026,architecture_structured,View of a Village along a River,p026_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,251001,228,129,729,630,13631,3.3551,2.311,0.8205560445785522,0.9403855800628662,0.11982953548431396,0.9594663977622986,0.8985605239868164,-0.06090587377548218,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,True,False,0.18073540925979614,clip_dinov2_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p026_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p026_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p026_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p026_loss_small_stable_diffusion_feature_similarity.png
p025_mixed_damage,p025,architecture_structured,The Quay de Paris in Rouen,p025_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,48712,9.9105,8.2587,0.8007146716117859,0.9553664922714233,0.15465182065963745,0.8974457383155823,0.9251898527145386,0.0277441143989563,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,0.00047028064727783203,,,,median_representative_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p025_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p025_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p025_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p025_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p025_mixed_damage_stable_diffusion_feature_similarity.png
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,p030_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,46497,11.9887,7.8832,0.7783498167991638,0.9608058929443359,0.18245607614517212,0.745064377784729,0.9146738648414612,0.16960948705673218,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p030_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p030_mixed_damage_stable_diffusion_feature_similarity.png
p026_scratch_thin,p026,architecture_structured,View of a Village along a River,p026_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,474721,79,0,768,689,6537,1.609,1.1083,0.8981181979179382,0.9479047060012817,0.049786508083343506,0.8507537841796875,0.8775573372840881,0.026803553104400635,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,0.00047028064727783203,,,,median_representative_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p026_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p026_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p026_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p026_scratch_thin_stable_diffusion_feature_similarity.png
p027_scratch_thin,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,p027_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,9175,1.9878,1.5555,0.8972569108009338,0.9639614820480347,0.06670457124710083,0.7529802322387695,0.7815283536911011,0.028548121452331543,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,0.0012742877006530762,,,,median_representative_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p027_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p027_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p027_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p027_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p027_scratch_thin_stable_diffusion_feature_similarity.png
p028_scratch_thin,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,9493,2.3278,1.6095,0.886816680431366,0.8498215079307556,-0.03699517250061035,0.7584649920463562,0.865454912185669,0.10698992013931274,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,category_mask_representative_best_dinov2_improvement; weakest_mask_bbox_clip_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p028_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p028_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p028_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p028_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p028_scratch_thin_stable_diffusion_feature_similarity.png
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,103684,378,134,700,456,44565,11.7464,7.5556,0.8143808245658875,0.8096807599067688,-0.004700064659118652,0.9508149027824402,0.6430395841598511,-0.3077753186225891,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,,,,,,weakest_mask_bbox_dinov2_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p042_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p042_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p042_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p042_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_feature_similarity_cases\p042_loss_large_stable_diffusion_feature_similarity.png
