case_id,painting_id,mask_id,mask_type,evaluation_region,damaged_mse_opencv,restored_mse_opencv,mse_improvement_opencv,damaged_mae_opencv,restored_mae_opencv,mae_improvement_opencv,damaged_psnr_opencv,restored_psnr_opencv,psnr_improvement_opencv,damaged_ssim_opencv,restored_ssim_opencv,ssim_improvement_opencv,damaged_mse_lama,restored_mse_lama,mse_improvement_lama,damaged_mae_lama,restored_mae_lama,mae_improvement_lama,damaged_psnr_lama,restored_psnr_lama,psnr_improvement_lama,damaged_ssim_lama,restored_ssim_lama,ssim_improvement_lama,damaged_mse_delta_lama_minus_opencv,restored_mse_delta_lama_minus_opencv,mse_improvement_delta_lama_minus_opencv,damaged_mae_delta_lama_minus_opencv,restored_mae_delta_lama_minus_opencv,mae_improvement_delta_lama_minus_opencv,damaged_psnr_delta_lama_minus_opencv,restored_psnr_delta_lama_minus_opencv,psnr_improvement_delta_lama_minus_opencv,damaged_ssim_delta_lama_minus_opencv,restored_ssim_delta_lama_minus_opencv,ssim_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_restored_mse,winner_mse_improvement,winner_restored_mae,winner_mae_improvement,winner_restored_psnr,winner_psnr_improvement,winner_restored_ssim,winner_ssim_improvement
p001_loss_large,p001,p001_loss_large,loss_large,full_image,5585.921875,111.93475341796876,5473.987121582031,25.058494567871094,2.1663966178894043,22.89209794998169,10.659855035261367,27.64115413979032,16.98129910452895,0.8971780498447482,0.961985475100338,0.0648074252555898,5585.92138671875,33.536746978759766,5552.38463973999,25.05849838256836,1.1159249544143677,23.94257342815399,10.659855414890488,32.87559426559988,22.215738850709396,0.8971780498447481,0.9646560069861352,0.0674779571413869,-0.00048828125,-78.398006439209,78.39751815795898,3.814697265625e-06,-1.0504716634750366,1.0504754781723022,3.7962912102784685e-07,5.234440125809559,5.2344397461804455,-1.1102230246251565e-16,0.002670531885797134,0.0026705318857970922,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,lama,lama
p001_loss_large,p001,p001_loss_large,loss_large,content_region,6470.5703125,129.66197204589844,6340.908340454102,29.027034759521484,2.509490966796875,26.51754379272461,10.021378000359883,27.002677383091942,16.981299382732058,0.8807453180847769,0.9559100944086116,0.0751647763238348,6470.57080078125,38.84798812866211,6431.722812652588,29.02703857421875,1.2926552295684814,27.73438334465027,10.021377672633216,32.2371182852235,22.215740612590288,0.880745318084777,0.9590074236277548,0.0782621055429778,0.00048828125,-90.81398391723633,90.81447219848633,3.814697265625e-06,-1.2168357372283936,1.2168395519256592,-3.2772666713754006e-07,5.23444090213156,5.234441229858231,1.1102230246251565e-16,0.0030973292191431856,0.003097329219143005,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,lama,lama
p001_loss_large,p001,p001_loss_large,loss_large,masked_region,48997.8046875,981.8536376953124,48015.95104980469,219.8046112060547,19.00289535522461,200.80171585083008,1.229037386651714,18.210336073770225,16.981298687118507,,,,48997.8046875,294.1728515625,48703.6318359375,219.8046417236328,9.788515090942385,210.01612663269043,1.229037386651714,23.44477770520706,22.215740318555344,,,,0.0,-687.6807861328124,687.6807861328125,3.0517578125e-05,-9.214380264282225,9.214410781860352,0.0,5.234441631436834,5.234441631436837,,,,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,missing,missing
p001_loss_large,p001,p001_loss_large,loss_large,mask_bbox_crop,25993.7734375,520.882080078125,25472.891357421875,116.60829162597656,10.081204414367676,106.52708721160889,3.9821103157352695,20.9634094422434,16.981299126508127,0.5126608186735168,0.819824780456469,0.3071639617829522,25993.767578125,156.0613250732422,25837.70625305176,116.60829162597656,5.192893981933594,111.41539764404295,3.982111294698374,26.197850707992608,22.215739413294237,0.5126608186735168,0.8324821441902358,0.319821325516719,-0.005859375,-364.8207550048828,364.81489562988645,0.0,-4.888310432434082,4.888310432434068,9.789631043588543e-07,5.234441265749208,5.234440286786111,0.0,0.012657363733766802,0.012657363733766802,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,lama,lama
p001_loss_small,p001,p001_loss_small,loss_small,full_image,1928.0279541015625,1.3411017656326294,1926.6868523359296,8.864421844482422,0.1458446383476257,8.718577206134796,15.279670345043948,46.85618626583945,31.5765159207955,0.953799774354965,0.9945746108161494,0.0407748364611844,1928.028076171875,0.630126953125,1927.39794921875,8.864421844482422,0.1185302734375,8.745891571044922,15.27967007007666,50.13652304291816,34.856852972841494,0.9537997743549652,0.9940267699542495,0.0402269955992844,0.0001220703125,-0.7109748125076294,0.7110968828203568,0.0,-0.027314364910125705,0.027314364910125732,-2.7496728804976556e-07,3.280336777078709,3.2803370520459936,2.220446049250313e-16,-0.0005478408618998509,-0.0005478408618999966,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_loss_small,p001,p001_loss_small,loss_small,content_region,2233.371826171875,1.5534933805465698,2231.8183327913284,10.26828956604004,0.1689421981573104,10.099347367882729,14.64119327625564,46.21770953806832,31.57651626181268,0.9464161766491378,0.993707539485397,0.0472913628362592,2233.37109375,0.7299208045005798,2232.6411729454994,10.26828956604004,0.1373020410537719,10.130987524986269,14.641194700500485,49.49804618602502,34.85685148552454,0.946416176649138,0.9930721441478508,0.0466559674987128,-0.000732421875,-0.82357257604599,0.82284015417099,0.0,-0.03164015710353851,0.03164015710354029,1.4242448447276956e-06,3.2803366479567018,3.2803352237118553,2.220446049250313e-16,-0.0006353953375461963,-0.0006353953375463975,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_loss_small,p001,p001_loss_small,loss_small,masked_region,46995.5,32.689231872558594,46962.81076812744,216.0694580078125,3.5549495220184326,212.51450848579407,1.4102408630948342,32.986756451645235,31.5765155885504,,,,46995.5,15.359286308288574,46980.14071369171,216.0694580078125,2.889164447784424,213.18029356002808,1.4102408630948342,36.26709324832127,34.85685238522643,,,,0.0,-17.32994556427002,17.32994556427002,0.0,-0.6657850742340088,0.6657850742340088,0.0,3.280336796676032,3.280336796676032,,,,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,missing,missing
p001_loss_small,p001,p001_loss_small,loss_small,mask_bbox_crop,3715.3466796875,2.5843288898468018,3712.762350797653,17.081911087036133,0.2810454368591308,16.800865650177002,12.43081016781919,44.00732578341917,31.57651561559998,0.910403882917896,0.9894785404671608,0.0790746575492647,3715.3466796875,1.2142667770385742,3714.132412910461,17.081911087036133,0.2284101247787475,16.853500962257385,12.43081016781919,47.28766248208164,34.856852314262454,0.910403882917896,0.9884161124525824,0.0780122295346862,0.0,-1.3700621128082275,1.3700621128077728,0.0,-0.0526353120803833,0.0526353120803833,0.0,3.280336698662474,3.280336698662474,0.0,-0.0010624280145783427,-0.0010624280145784953,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,full_image,3818.904296875,16.540428161621094,3802.363868713379,16.894119262695312,0.5904297828674316,16.30368947982788,12.311415859352524,35.94533613461378,23.63392027526126,0.9062294725936528,0.9813925061269824,0.0751630335333293,3818.905029296875,22.293184280395508,3796.61184501648,16.89411735534668,0.6450387239456177,16.249078631401062,12.31141502642579,34.649082548535986,22.337667522110195,0.9062294725936528,0.980006679128786,0.0737772065351333,0.000732421875,5.752756118774414,-5.752023696898959,-1.9073486328125e-06,0.054608941078186035,-0.05461084842681885,-8.329267338069712e-07,-1.2962535860777962,-1.296252753151066,0.0,-0.0013858269981963378,-0.0013858269981960047,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,opencv,opencv,opencv,opencv,opencv,opencv,opencv
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,content_region,4423.7080078125,19.15995216369629,4404.548055648804,19.569658279418945,0.6839367747306824,18.885721504688263,11.672939077568111,35.30685940419157,23.63392032662346,0.8932741602462745,0.9795422425765746,0.0862680823303001,4423.70751953125,25.823776245117188,4397.883743286133,19.569652557373047,0.747194230556488,18.82245832681656,11.672939556934889,34.0106061083445,22.337666551409608,0.8932741602462747,0.9772005265315612,0.0839263662852864,-0.00048828125,6.663824081420898,-6.664312362670898,-5.7220458984375e-06,0.06325745582580566,-0.0632631778717041,4.793667773839161e-07,-1.2962532958470732,-1.2962537752138523,2.220446049250313e-16,-0.002341716045013431,-0.0023417160450137087,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,opencv,opencv,opencv,opencv,opencv,opencv,opencv
