case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,344832,159,0,608,768,8436,2.4464,1.4303,0.3921394348144531,0.24907150864601135,0.14306792616844177,alex,256,cuda,ok,
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,8436,2.4464,1.4303,0.28562024235725403,0.163702130317688,0.12191811203956604,alex,256,cuda,ok,
p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0,0,768,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_zero_control,zero_control,stable_diffusion_inpainting,content_region,344832,159,0,608,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0,0,768,768,48196,10.2207,8.1713,0.149455264210701,0.06643790006637573,0.08301736414432526,alex,256,cuda,ok,
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_large,loss_large,stable_diffusion_inpainting,content_region,471552,77,0,691,768,48196,10.2207,8.1713,0.17601603269577026,0.07934657484292984,0.09666945785284042,alex,256,cuda,ok,
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,91204,150,23,452,325,48196,10.2207,8.1713,0.635498583316803,0.29582542181015015,0.33967316150665283,alex,256,cuda,ok,
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0,0,768,768,20912,4.4347,3.5455,0.14770321547985077,0.036783650517463684,0.11091956496238708,alex,256,cuda,ok,
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_small,loss_small,stable_diffusion_inpainting,content_region,471552,77,0,691,768,20912,4.4347,3.5455,0.15828633308410645,0.0426228791475296,0.11566345393657684,alex,256,cuda,ok,
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,448900,0,74,670,744,20912,4.4347,3.5455,0.1575082540512085,0.04438057169318199,0.1131276823580265,alex,256,cuda,ok,
