dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue,ranking_group,rank
canonical,p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",,,opencv_telea,masked_region,79110,,,,,,,,5086.74462890625,1908.29736328125,3178.447265625,45.78903579711914,17.366600036621094,28.422435760498047,11.066404256821489,15.32434310641513,4.257938849593641,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,3
canonical,p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),,,opencv_telea,masked_region,59008,,,,,,,,3364.153564453125,171.8206024169922,3192.332962036133,54.81628036499024,8.966705322265625,45.84957504272461,12.862045489285912,25.78005123493995,12.918005745654035,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,4
canonical,p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,,,opencv_telea,masked_region,72688,,,,,,,,7942.7509765625,4398.11279296875,3544.63818359375,75.3409423828125,35.42403793334961,39.91690444946289,9.131094142319174,11.698139978859338,2.567045836540164,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,5
canonical,p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",,,opencv_telea,masked_region,21381,,,,,,,,5367.83251953125,1490.57275390625,3877.259765625,45.16640853881836,10.862744331359863,34.303664207458496,10.832814038146685,16.39727182345015,5.564457785303468,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,6
canonical,p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",,,opencv_telea,masked_region,8289,,,,,,,,3952.4755859375,37.00563049316406,3915.469955444336,39.75783157348633,1.7489444017410278,38.0088871717453,12.162111648507278,32.448125528529786,20.28601388002251,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,7
canonical,p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",,,opencv_telea,masked_region,52887,,,,,,,,6036.99755859375,1914.882568359375,4122.114990234375,51.52741241455078,15.988459587097168,35.53895282745361,10.32259360646287,15.30938215188489,4.986788545422019,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,8
canonical,p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),,,opencv_telea,masked_region,13032,,,,,,,,5340.49267578125,466.8401489257813,4873.652526855469,68.14042663574219,13.305248260498049,54.83517837524414,10.85499037078426,21.4391216193691,10.58413124858484,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,9
canonical,p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),,,opencv_telea,masked_region,34209,,,,,,,,5547.43603515625,431.6930541992188,5115.742980957031,63.98647689819336,9.906574249267578,54.07990264892578,10.689880575778943,21.779052998123355,11.08917242234441,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,10
damage_size,p001__loss_large__size_15pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,76373,,,,,,,,49114.56640625,461.5120239257813,48653.05438232422,220.4553985595703,12.22082805633545,208.2345705032349,1.2187004651147095,21.48897340540448,20.27027294028977,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,1
damage_size,p001__loss_large__size_20pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,101967,,,,,,,,48927.94140625,540.14599609375,48387.79541015625,219.9623565673828,13.092775344848633,206.86958122253415,1.2352341722556195,20.805691996964008,19.570457824708388,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,2
