category,cases,mean_metric_ties,mean_opencv_telea_metric_wins,mean_lama_metric_wins,mean_stable_diffusion_inpainting_metric_wins,mean_opencv_telea_mse_improvement,mean_lama_mse_improvement,mean_stable_diffusion_inpainting_mse_improvement,mean_opencv_telea_psnr_improvement,mean_lama_psnr_improvement,mean_stable_diffusion_inpainting_psnr_improvement,mean_opencv_telea_ssim_improvement,mean_lama_ssim_improvement,mean_stable_diffusion_inpainting_ssim_improvement,mean_opencv_telea_lpips_improvement,mean_lama_lpips_improvement,mean_stable_diffusion_inpainting_lpips_improvement,mean_opencv_telea_clip_improvement,mean_lama_clip_improvement,mean_stable_diffusion_inpainting_clip_improvement,mean_opencv_telea_dinov2_improvement,mean_lama_dinov2_improvement,mean_stable_diffusion_inpainting_dinov2_improvement
abstraction_surrealism,40,1.0,0.75,4.075,0.175,18899.95989923477,19484.23735319376,17876.773131370544,12.66334245562824,15.80406578765745,9.796031622652812,,,,0.13912907399935642,0.16696016799614877,0.10564357712864872,0.06508772820234295,0.08775634914636607,0.06353153288364408,0.02661066353321074,0.09115869700908656,0.01444900333881378
architecture_structured,40,1.0,0.925,4.0,0.075,25406.392617225647,25722.20298347473,24537.51464424133,17.02063151759196,18.84835204555177,12.99840261598094,,,,0.23882027713989373,0.287507217755774,0.18869357313960788,0.11136129200458522,0.15170683264732357,0.09563979208469388,0.03398034796118735,0.1031460344791412,0.008588075637817393
high_texture_brushwork,40,1.0,0.65,4.225,0.125,26778.382583999635,26948.319574451445,25769.689114189146,17.44199947258892,18.98371027296936,12.87343944183064,,,,0.23650641056738092,0.27668127285869554,0.17377737797796725,0.09135164618492123,0.1406140953302383,0.0997295960783958,0.0931305833160877,0.17513331994414325,0.10344389006495473
landscape_natural,40,1.0,0.825,4.15,0.025,21573.90408668518,21766.124514102936,20384.583746337892,15.243420065948436,16.667878813291075,10.61569621603278,,,,0.20719087005563774,0.2637045021605445,0.13646182548254726,0.09034869670867915,0.1383408427238464,0.06936403810977931,0.08718300908803937,0.22934171408414836,0.0455227769911289
portrait_figure,40,1.0,0.45,4.475,0.075,38096.48966236114,38278.73150799274,36639.39469642639,20.000236431763852,22.38336144161824,14.679807521175116,,,,0.27015824892732776,0.30426930551911935,0.2075134757906198,0.09019993394613261,0.12273619771003719,0.08933428525924678,0.07940545901656147,0.1426198117434978,0.06390277817845343
