mask_type,selected_cases,mean_mse_improvement,median_mse_improvement,mean_psnr_improvement,median_psnr_improvement,mean_ssim_improvement,median_ssim_improvement
loss_large,13,25828.537054795484,29672.559326171875,12.443215012997824,14.051405046001635,,
loss_small,14,27330.526295798165,26402.21109008789,17.804902063136534,16.856325534026332,,
mixed_damage,15,25595.716581217446,24390.736206054688,12.20397016161875,13.359440655341125,,
scratch_thin,11,23472.816184303978,26005.68798828125,7.256318263639198,9.61441887149924,,
