category,cases,mean_mask_fraction,mean_masked_std,median_masked_std,max_masked_std,mean_masked_mad,mean_bbox_std,mean_full_std
abstraction_surrealism,8,0.06348482767740886,0.07865027245134115,0.08257876709103584,0.10873526334762573,0.06869133934378624,0.026133028441108763,0.014553470769897103
landscape_natural,8,0.055473539564344615,0.07778503419831395,0.06868062354624271,0.14998354017734528,0.06799955200403929,0.02624152589123696,0.011784642876591533
portrait_figure,8,0.06511582268608941,0.0706774415448308,0.0603141188621521,0.1475362777709961,0.06145615642890334,0.02978402911685407,0.01811397902201861
high_texture_brushwork,8,0.059060414632161454,0.06172093981876969,0.06360742822289467,0.08480453491210938,0.053443587850779295,0.025813675951212645,0.015123890247195959
architecture_structured,8,0.0489713880750868,0.05643147602677345,0.05229104310274124,0.08345761895179749,0.048789262771606445,0.022710385732352734,0.012223690515384078
