case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved
p008_loss_large,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,loss_large,41299.02612304688,12.952820750477636,,0.2662034034729004,0.0469225049018859,-0.0383847951889038,True,True,False,True,True,False,4,2,False,True,False
p008_loss_small,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,loss_small,29881.909423828125,14.838174197200132,,0.109080322086811,0.0969822406768798,0.0178707838058471,True,True,False,True,True,True,5,1,False,True,False
p008_mixed_damage,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,mixed_damage,32138.03091430664,18.198458451008463,,0.247022733092308,0.1719281077384948,0.1161341667175293,True,True,False,True,True,True,5,1,False,True,False
p008_scratch_thin,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,scratch_thin,36312.1494140625,10.689926928444844,,0.1598789691925048,0.0212588310241699,0.0210705399513244,True,True,False,True,True,True,5,1,False,True,False
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,loss_large,14208.7275390625,4.9100932973564575,,0.1938725113868713,0.1394519209861755,0.1910362839698791,True,True,False,True,True,True,5,1,False,True,False
p009_loss_small,p009,portrait_figure,Madame Roulin and Her Baby,loss_small,24339.73803710937,13.158272568264312,,0.0737662240862846,0.02266126871109,0.0526787042617797,True,True,False,True,True,True,5,1,False,True,False
p009_mixed_damage,p009,portrait_figure,Madame Roulin and Her Baby,mixed_damage,25780.467529296875,11.205875655599698,,0.1466403007507324,0.0500679016113281,0.2007525563240051,True,True,False,True,True,True,5,1,False,True,False
p009_scratch_thin,p009,portrait_figure,Madame Roulin and Her Baby,scratch_thin,17224.64697265625,6.4813496088069416,,0.0703356564044952,0.0310767889022827,-0.0080227851867675,True,True,False,True,True,False,4,2,False,True,False
p010_loss_large,p010,portrait_figure,Joan of Arc,loss_large,37876.23669433594,17.4499989396261,,0.2825779616832733,0.1569653153419494,0.2559692859649658,True,True,False,True,True,True,5,1,False,True,False
p010_loss_small,p010,portrait_figure,Joan of Arc,loss_small,43180.51480102539,20.34558855020845,,0.161634162068367,0.0949597954750061,0.001774251461029,True,True,False,True,True,True,5,1,False,True,False
p010_mixed_damage,p010,portrait_figure,Joan of Arc,mixed_damage,39206.937255859375,15.686700452572396,,0.3061521053314209,0.1509695053100586,0.1639707386493683,True,True,False,True,True,True,5,1,False,True,False
p010_scratch_thin,p010,portrait_figure,Joan of Arc,scratch_thin,38657.36669921875,10.017418442118384,,0.1666091382503509,0.0787569880485534,0.0020129084587097,True,True,False,True,True,True,5,1,False,True,False
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_large,18524.33337402344,14.04316734735312,,0.0501744747161865,-0.1398811936378479,0.0464450120925903,True,True,False,True,False,True,4,2,False,True,False
