case_id,painting_id,mask_id,mask_type,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,lama_staged_input_path,lama_staged_mask_path,lama_staged_output_path,model_name,restoration_method,inference_mode,restored_filename,restored_path,device,batch_runtime_seconds,restored_width,restored_height,restored_mode,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,error_map_figure_path,selection_reason,selection_metric
p002_loss_large,p002,p002_loss_large,loss_large,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,white_fill,255,255,255,49705,14.4143,8.4271,ok,,outputs/tmp/lama_batch_full/input/p002_loss_large.png,outputs/tmp/lama_batch_full/mask/p002_loss_large.png,outputs/tmp/lama_batch_full/output/p002_loss_large.png,lama,iopaint_lama,model_inference,p002_loss_large_restored_lama.png,data/processed/restored/lama/p002_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,51229.8515625,94.77253723144533,51135.07902526856,225.61866760253903,6.4565534591674805,219.1621141433716,1.0355726334957345,28.363978532422983,27.32840589892725,0.5892032980918884,0.1409669071435928,0.4482363909482956,0.7243326306343079,0.9698851108551024,0.2455524802207946,0.7628775835037231,0.9351863265037536,0.1723087430000305,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_loss_large_lama_error_maps.png,Strongest masked-region MSE improvement,mse_improvement
p006_loss_large,p006,p006_loss_large,loss_large,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_loss_large_mask.png,p006_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_loss_large_damaged.png,white_fill,255,255,255,51891,11.7303,8.7977,ok,,outputs/tmp/lama_batch_full/input/p006_loss_large.png,outputs/tmp/lama_batch_full/mask/p006_loss_large.png,outputs/tmp/lama_batch_full/output/p006_loss_large.png,lama,iopaint_lama,model_inference,p006_loss_large_restored_lama.png,data/processed/restored/lama/p006_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,52182.8125,143.1318817138672,52039.68061828613,227.9276123046875,6.756586074829102,221.1710262298584,0.9555287827861452,26.57343980006585,25.617911017279702,0.5987578630447388,0.1588678807020187,0.43988998234272,0.902412474155426,0.9616111516952516,0.0591986775398254,0.7053844928741455,0.807793378829956,0.1024088859558105,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p006_loss_large_lama_error_maps.png,Strong category example by MSE improvement; Strongest masked-region MSE improvement,mse_improvement
p006_mixed_damage,p006,p006_mixed_damage,mixed_damage,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_mixed_damage_mask.png,p006_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_mixed_damage_damaged.png,white_fill,255,255,255,44236,9.9998,7.4999,ok,,outputs/tmp/lama_batch_full/input/p006_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p006_mixed_damage.png,outputs/tmp/lama_batch_full/output/p006_mixed_damage.png,lama,iopaint_lama,model_inference,p006_mixed_damage_restored_lama.png,data/processed/restored/lama/p006_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,51966.46875,28.328691482543945,51938.140058517456,227.11517333984372,3.1345510482788086,223.9806222915649,0.973571544259259,33.60853846179279,32.63496691753353,0.4381484985351562,0.01412935834378,0.4240191401913762,0.8322580456733704,0.995981514453888,0.1637234687805175,0.7655925750732422,0.985430896282196,0.2198383212089538,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p006_mixed_damage_lama_error_maps.png,Strongest masked-region MSE improvement,mse_improvement
p006_scratch_thin,p006,p006_scratch_thin,scratch_thin,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_scratch_thin_mask.png,p006_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_scratch_thin_damaged.png,white_fill,255,255,255,13053,2.9507,2.213,ok,,outputs/tmp/lama_batch_full/input/p006_scratch_thin.png,outputs/tmp/lama_batch_full/mask/p006_scratch_thin.png,outputs/tmp/lama_batch_full/output/p006_scratch_thin.png,lama,iopaint_lama,model_inference,p006_scratch_thin_restored_lama.png,data/processed/restored/lama/p006_scratch_thin_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,51070.07421875,32.09754943847656,51037.97666931152,224.1601104736328,2.8235654830932617,221.33654499053955,1.0491387186355186,33.06608484412355,32.01694612548803,0.4662443399429321,0.0009097993024624,0.4653345406404696,0.8714858293533325,0.9997608661651612,0.1282750368118286,0.8107290267944336,0.9993707537651062,0.1886417269706726,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p006_scratch_thin_lama_error_maps.png,Strongest mask-bbox LPIPS improvement,lpips_improvement
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,p010_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p010_clean.png,p010_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p010_mixed_damage_mask.png,p010_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p010_mixed_damage_damaged.png,white_fill,255,255,255,48195,9.0293,8.1711,ok,,outputs/tmp/lama_batch_full/input/p010_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p010_mixed_damage.png,outputs/tmp/lama_batch_full/output/p010_mixed_damage.png,lama,iopaint_lama,model_inference,p010_mixed_damage_restored_lama.png,data/processed/restored/lama/p010_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Joan of Arc,Jules Bastien-Lepage,1879,portrait_figure,19th century French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435621,Public Domain / Open Access,p010.jpg,40294.8125,261.13140869140625,40033.681091308594,198.86663818359372,11.694664001464844,187.1719741821289,2.078312216160436,23.96221249286303,21.8839002767026,0.496726781129837,0.0159071888774633,0.4808195922523737,0.762116551399231,0.9933129549026488,0.2311964035034179,0.462197870016098,0.9804537296295166,0.5182558596134186,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p010_mixed_damage_lama_error_maps.png,Strongest mask-bbox LPIPS improvement,lpips_improvement
p011_loss_large,p011,p011_loss_large,loss_large,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_loss_large_mask.png,p011_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_loss_large_damaged.png,white_fill,255,255,255,49885,12.302,8.4576,ok,,outputs/tmp/lama_batch_full/input/p011_loss_large.png,outputs/tmp/lama_batch_full/mask/p011_loss_large.png,outputs/tmp/lama_batch_full/output/p011_loss_large.png,lama,iopaint_lama,model_inference,p011_loss_large_restored_lama.png,data/processed/restored/lama/p011_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,19284.46875,107.86985778808594,19176.598892211918,138.14785766601562,8.049874305725098,130.09798336029053,5.278726814782122,27.801802546937797,22.52307573215567,0.6593158841133118,0.125665545463562,0.5336503386497498,0.8100756406784058,0.9929659366607666,0.1828902959823608,0.4884160757064819,0.9604262709617616,0.4720101952552795,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p011_loss_large_lama_error_maps.png,Strongest mask-bbox LPIPS improvement,lpips_improvement
p013_loss_large,p013,p013_loss_large,loss_large,p013_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p013_clean.png,p013_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p013_loss_large_mask.png,p013_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p013_loss_large_damaged.png,white_fill,255,255,255,44375,10.8202,7.5234,ok,,outputs/tmp/lama_batch_full/input/p013_loss_large.png,outputs/tmp/lama_batch_full/mask/p013_loss_large.png,outputs/tmp/lama_batch_full/output/p013_loss_large.png,lama,iopaint_lama,model_inference,p013_loss_large_restored_lama.png,data/processed/restored/lama/p013_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Landscape with a Village in the Distance,Jacob van Ruisdael,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437545,Public Domain / Open Access,p013.jpg,46091.91796875,701.8604125976562,45390.05755615234,212.23541259765625,17.503984451293945,194.7314281463623,1.4945558058210142,19.66829613505196,18.17374032923094,0.623293399810791,0.2044061124324798,0.4188872873783111,0.7517073154449463,0.9746569395065308,0.2229496240615844,0.6172600984573364,0.8928258419036865,0.2755657434463501,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p013_loss_large_lama_error_maps.png,Strong category example by MSE improvement,mse_improvement
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,p014_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p014_mixed_damage_mask.png,p014_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p014_mixed_damage_damaged.png,white_fill,255,255,255,45810,13.7123,7.7667,ok,,outputs/tmp/lama_batch_full/input/p014_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p014_mixed_damage.png,outputs/tmp/lama_batch_full/output/p014_mixed_damage.png,lama,iopaint_lama,model_inference,p014_mixed_damage_restored_lama.png,data/processed/restored/lama/p014_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Landscape on a River,Charles-François Daubigny,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436081,Public Domain / Open Access,p014.jpg,24712.95703125,374.4520263671875,24338.50500488281,150.3015594482422,11.102728843688965,139.19883060455322,4.201556468086173,22.396841757311915,18.19528528922574,0.4394245743751526,0.022992830723524,0.4164317436516285,0.8052594661712646,0.994938850402832,0.1896793842315673,0.3331441879272461,0.990325927734375,0.6571817398071289,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p014_mixed_damage_lama_error_maps.png,Strongest DINOv2 feature improvement,dinov2_similarity_improvement
p022_loss_small,p022,p022_loss_small,loss_small,p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,p022_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_small_mask.png,p022_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_small_damaged.png,white_fill,255,255,255,24273,5.2852,4.1153,ok,,outputs/tmp/lama_batch_full/input/p022_loss_small.png,outputs/tmp/lama_batch_full/mask/p022_loss_small.png,outputs/tmp/lama_batch_full/output/p022_loss_small.png,lama,iopaint_lama,model_inference,p022_loss_small_restored_lama.png,data/processed/restored/lama/p022_loss_small_restored_lama.png,cuda,302.6142746992409,768,768,RGB,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,architecture_structured,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-a-Protestant-Gothic-Church-with-a-Gravedigger-in-the-Choir--46eceb3566e0be6f1e30680ef03509c0,Public domain,p022.jpg,37372.19921875,379.2398681640625,36992.95935058594,189.66786193847656,10.667476654052734,179.00038528442383,2.405317056068537,22.341663739383893,19.93634668331536,0.2673954665660858,0.0179088152945041,0.2494866512715816,0.7598941326141357,0.9808399677276612,0.2209458351135254,0.9314420223236084,0.9892821907997132,0.0578401684761047,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p022_loss_small_lama_error_maps.png,Strong category example by MSE improvement,mse_improvement
p032_mixed_damage,p032,p032_mixed_damage,mixed_damage,p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,p032_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_mixed_damage_mask.png,p032_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_mixed_damage_damaged.png,white_fill,255,255,255,51647,9.0267,8.7563,ok,,outputs/tmp/lama_batch_full/input/p032_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p032_mixed_damage.png,outputs/tmp/lama_batch_full/output/p032_mixed_damage.png,lama,iopaint_lama,model_inference,p032_mixed_damage_restored_lama.png,data/processed/restored/lama/p032_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Composition (No. 1) Gray-Red,Piet Mondrian,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/65821/composition-no-1-gray-red,CC0 Public Domain Designation,p032.jpg,2763.684326171875,29.55798721313477,2734.12633895874,40.7200813293457,3.702725648880005,37.0173556804657,13.71591925360757,33.42405503945901,19.708135785851443,0.2135825008153915,0.0040077185258269,0.2095747822895646,0.9356464743614196,0.9989964962005616,0.0633500218391418,0.8520510196685791,0.9963975548744202,0.144346535205841,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p032_mixed_damage_lama_error_maps.png,Weakest masked-region MSE improvement,mse_improvement
p035_loss_small,p035,p035_loss_small,loss_small,p035_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p035_clean.png,p035_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p035_loss_small_mask.png,p035_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p035_loss_small_damaged.png,white_fill,255,255,255,13591,3.339,2.3042,ok,,outputs/tmp/lama_batch_full/input/p035_loss_small.png,outputs/tmp/lama_batch_full/mask/p035_loss_small.png,outputs/tmp/lama_batch_full/output/p035_loss_small.png,lama,iopaint_lama,model_inference,p035_loss_small_restored_lama.png,data/processed/restored/lama/p035_loss_small_restored_lama.png,cuda,302.6142746992409,768,768,RGB,The Bewitched Mill,Franz Marc,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/9021/the-bewitched-mill,CC0 Public Domain Designation,p035.jpg,25589.68359375,485.4703369140625,25104.213256835938,147.60800170898438,14.041791915893556,133.56620979309082,4.050154448258966,21.269176619649844,17.21902217139088,0.0672575756907463,0.0035048127174377,0.0637527629733085,0.9537371397018432,0.996954619884491,0.0432174801826477,0.9794147610664368,0.9942952394485474,0.0148804783821105,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p035_loss_small_lama_error_maps.png,Weakest mask-bbox LPIPS improvement,lpips_improvement
p035_scratch_thin,p035,p035_scratch_thin,scratch_thin,p035_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p035_clean.png,p035_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p035_scratch_thin_mask.png,p035_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p035_scratch_thin_damaged.png,white_fill,255,255,255,6576,1.6156,1.1149,ok,,outputs/tmp/lama_batch_full/input/p035_scratch_thin.png,outputs/tmp/lama_batch_full/mask/p035_scratch_thin.png,outputs/tmp/lama_batch_full/output/p035_scratch_thin.png,lama,iopaint_lama,model_inference,p035_scratch_thin_restored_lama.png,data/processed/restored/lama/p035_scratch_thin_restored_lama.png,cuda,302.6142746992409,768,768,RGB,The Bewitched Mill,Franz Marc,,abstraction_surrealism,,,Art Institute of Chicago,https://www.artic.edu/artworks/9021/the-bewitched-mill,CC0 Public Domain Designation,p035.jpg,19715.00390625,225.96578979492188,19489.03811645508,126.15744018554688,10.817974090576172,115.3394660949707,5.182834934093328,24.590376669766947,19.407541735673615,0.0727216377854347,0.0004558698274195,0.0722657679580152,0.9843804836273192,0.999808669090271,0.0154281854629516,0.9660708904266356,0.9988794922828674,0.0328086018562316,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p035_scratch_thin_lama_error_maps.png,Weakest mask-bbox LPIPS improvement,lpips_improvement
