case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement
p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,48015.95104980469,981.8536376953124,200.80171585083008,16.981298687118507,0.5921071767807007,0.2738807201385498,0.3182264566421509,0.8108999729156494,0.8080077767372131,-0.0028921961784362793,0.7064647078514099,0.7482913732528687,0.04182666540145874
p001_loss_small,p001,portrait_figure,Juan de Pareja,loss_small,46962.81076812744,32.689231872558594,212.51450848579407,31.5765155885504,0.3410093188285827,0.0078263469040393,0.3331829719245434,0.9106937050819397,0.999297559261322,0.08860385417938232,0.9489419460296631,0.9978883266448975,0.048946380615234375
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,mixed_damage,50520.93118286133,219.76803588867188,216.62253284454343,23.63391920787114,0.4163284003734588,0.0304844602942466,0.3858439400792122,0.8958069682121277,0.9943641424179077,0.09855717420578003,0.7951979041099548,0.9748541116714478,0.17965620756149292
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,scratch_thin,48335.43656921387,173.1220245361328,211.37976169586184,24.47466047771981,0.4253467917442322,0.0054611470550298,0.4198856446892023,0.857966423034668,0.9996324777603149,0.14166605472564697,0.9249415397644043,0.9989679455757141,0.07402640581130981
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_large,50914.55773925781,315.2899169921875,213.73927211761475,22.10812982221108,0.5892032980918884,0.2020873725414276,0.3871159255504608,0.724332869052887,0.8238481283187866,0.09951525926589966,0.7628775835037231,0.774365246295929,0.01148766279220581
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_small,45021.30486297608,73.05841827392578,206.42278003692627,27.904519937637083,0.1513971984386444,0.0136558897793293,0.1377413086593151,0.9390561580657959,0.9977714419364929,0.05871528387069702,0.942081093788147,0.99410080909729,0.052019715309143066
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),mixed_damage,45717.56604003906,281.3128662109375,202.91853427886963,22.13557651455624,0.4236736595630646,0.0505921393632888,0.3730815201997757,0.8460491895675659,0.9846564531326294,0.13860726356506348,0.8311237692832947,0.9410716891288757,0.10994791984558105
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),scratch_thin,50114.38048553467,69.27576446533203,218.87821745872495,28.59980972725987,0.285620242357254,0.0016085176030173,0.2840117247542366,0.8899277448654175,0.999643087387085,0.10971534252166748,0.874204158782959,0.999354362487793,0.12515020370483398
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_large,31275.55145263672,843.3235473632812,155.66765975952148,15.80766098306818,0.5375250577926636,0.2970004081726074,0.2405246496200561,0.8102953433990479,0.834200382232666,0.023905038833618164,0.8174824714660645,0.6743308305740356,-0.1431516408920288
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_small,35172.7975769043,452.4289855957031,172.93438148498535,18.962072140442075,0.1557527482509613,0.0260709803551435,0.1296817678958177,0.9348210096359253,0.9937570095062256,0.05893599987030029,0.9653880000114441,0.9793615937232971,0.013973593711853027
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,mixed_damage,33403.221435546875,594.505126953125,166.1173334121704,17.572942723362328,0.3579643368721008,0.0521440245211124,0.3058203123509884,0.7892764806747437,0.9700350165367126,0.180758535861969,0.7852474451065063,0.9531616568565369,0.16791421175003052
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,scratch_thin,36839.0802154541,157.76744079589844,182.3713212013245,23.70147340522485,0.2528427243232727,0.0022690342739224,0.2505736900493502,0.8120349645614624,0.9996553659439087,0.1876204013824463,0.7849439978599548,0.9988716840744019,0.21392768621444702
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_large,34788.599853515625,2166.282958984375,153.13356399536133,12.319566460668938,0.4133918583393097,0.2612385153770447,0.152153342962265,0.8696917295455933,0.8622362613677979,-0.00745546817779541,0.8860812187194824,0.7463287115097046,-0.13975250720977783
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_small,27384.215911865234,503.6512756347656,150.4992504119873,17.432853632394036,0.1360532641410827,0.0165276154875755,0.1195256486535072,0.9525346755981445,0.9983952045440674,0.04586052894592285,0.9798383116722107,0.9901309609413147,0.010292649269104004
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,mixed_damage,31829.676696777344,637.8096313476562,160.55180168151855,17.067575932353115,0.3154430389404297,0.0525133684277534,0.2629296705126762,0.8854032754898071,0.9874294996261597,0.10202622413635254,0.8302417993545532,0.9464461803436279,0.11620438098907471
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,scratch_thin,32575.33320617676,145.4011688232422,164.8181858062744,23.52255144631537,0.2398073375225067,0.0021340337116271,0.2376733038108796,0.8961696028709412,0.9998584985733032,0.10368889570236206,0.8411367535591125,0.9967936277389526,0.1556568741798401
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,loss_large,35037.200439453125,1329.151123046875,160.67140579223633,14.37125370282389,0.433108925819397,0.2737326622009277,0.1593762636184692,0.8789923191070557,0.9145702123641968,0.03557789325714111,0.8305362462997437,0.8700402975082397,0.039504051208496094
p005_loss_small,p005,portrait_figure,Self-Portrait with Two Pupils,loss_small,41530.27960205078,818.1032104492188,185.3937511444092,17.14028733325497,0.2521321773529053,0.0223056022077798,0.2298265751451254,0.9317833781242371,0.9966922998428345,0.06490892171859741,0.9724296927452087,0.9853178858757019,0.012888193130493164
p005_mixed_damage,p005,portrait_figure,Self-Portrait with Two Pupils,mixed_damage,36603.4775390625,1114.3271484375,167.23745346069336,15.295336958959552,0.2632683217525482,0.0500730611383914,0.2131952606141567,0.8915131092071533,0.9687044620513916,0.07719135284423828,0.8820450305938721,0.9596636295318604,0.07761859893798828
p005_scratch_thin,p005,portrait_figure,Self-Portrait with Two Pupils,scratch_thin,31126.06900024414,459.1712341308594,159.19976997375488,18.375095116100272,0.1556309759616851,0.0015308486763387,0.1541001272853464,0.9637832641601562,0.9997924566268921,0.03600919246673584,0.9644947648048401,0.9996200799942017,0.03512531518936157
p006_loss_large,p006,portrait_figure,Boy with a Sword,loss_large,51838.57540893555,344.2409973144531,216.12399101257324,21.80664923810936,0.5987578630447388,0.2149134427309036,0.3838444203138351,0.9024126529693604,0.9188846349716187,0.0164719820022583,0.7053844928741455,0.7214587330818176,0.01607424020767212
p006_loss_small,p006,portrait_figure,Boy with a Sword,loss_small,49780.10179138184,67.87867736816406,219.34662580490112,28.659141966841275,0.3332367539405823,0.016326243057847,0.3169105108827352,0.9276548624038696,0.9932083487510681,0.06555348634719849,0.9154367446899414,0.9870702028274536,0.07163345813751221
p006_mixed_damage,p006,portrait_figure,Boy with a Sword,mixed_damage,51841.33726501465,125.12757873535156,221.72965717315677,26.183701329077287,0.4381484985351562,0.0294257998466491,0.4087226986885071,0.8322579860687256,0.9883782863616943,0.15612030029296875,0.7655925750732422,0.9774463772773743,0.21185380220413208
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,scratch_thin,50997.089210510254,72.9850082397461,220.55552411079407,28.44932827615384,0.4662443399429321,0.0051185730844736,0.4611257668584585,0.8714858889579773,0.9982210397720337,0.1267351508140564,0.8107290267944336,0.9984546303749084,0.18772560358047485
p007_loss_large,p007,portrait_figure,Princesse de Broglie,loss_large,28616.42529296875,1517.43212890625,142.70563888549805,12.97945453845283,0.5293353199958801,0.2633135318756103,0.2660217881202698,0.7825744152069092,0.8110552430152893,0.028480827808380127,0.7576550245285034,0.7796406745910645,0.021985650062561035
p007_loss_small,p007,portrait_figure,Princesse de Broglie,loss_small,29985.666442871094,621.0171508789062,152.72441864013672,16.927126794712564,0.2175920903682708,0.0333252809941768,0.184266809374094,0.863510012626648,0.9989156723022461,0.13540565967559814,0.9169399738311768,0.9927825927734375,0.07584261894226074
p007_mixed_damage,p007,portrait_figure,Princesse de Broglie,mixed_damage,29733.355834960938,1898.9468994140625,143.93791580200195,12.21617987715552,0.3398490250110626,0.0457891933619976,0.294059831649065,0.7757822275161743,0.9816029071807861,0.20582067966461182,0.6985129117965698,0.9717574715614319,0.27324455976486206
p007_scratch_thin,p007,portrait_figure,Princesse de Broglie,scratch_thin,36727.08415222168,167.9197540283203,178.4954171180725,23.41865771248851,0.3229203522205353,0.0023112199269235,0.3206091322936117,0.8492648601531982,0.9996665716171265,0.15040171146392822,0.9090062379837036,0.9994093179702759,0.09040307998657227
p008_loss_large,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,loss_large,42649.978515625,853.185546875,184.56248092651367,17.074773553047148,0.4935872852802276,0.2661002576351166,0.227487027645111,0.8301897048950195,0.8942939043045044,0.06410419940948486,0.6870794296264648,0.6030517220497131,-0.08402770757675171
p008_loss_small,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,loss_small,30387.899505615234,508.1161193847656,159.16720294952393,17.839395034613357,0.2134264409542083,0.018182098865509,0.1952443420886993,0.8316227793693542,0.9798532724380493,0.14823049306869507,0.852601945400238,0.9476721286773682,0.09507018327713013
p008_mixed_damage,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,mixed_damage,32452.54019165039,179.57894897460938,171.41340017318726,22.593898525041052,0.3442989289760589,0.0339528732001781,0.3103460557758808,0.7980606555938721,0.9895729422569275,0.19151228666305542,0.774750292301178,0.9858614802360535,0.2111111879348755
p008_scratch_thin,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,scratch_thin,39434.62716674805,264.2908020019531,188.47154712677,21.76696620988519,0.3146711587905884,0.0038933381438255,0.3107778206467628,0.9066472053527832,0.9993413686752319,0.09269416332244873,0.7918055653572083,0.9984346628189087,0.20662909746170044
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,loss_large,18937.0322265625,2045.8681640625,94.02520561218262,10.109878746659383,0.6020157337188721,0.3247648477554321,0.2772508859634399,0.7947430610656738,0.7285798788070679,-0.06616318225860596,0.687800407409668,0.38806086778640747,-0.2997395396232605
p009_loss_small,p009,portrait_figure,Madame Roulin and Her Baby,loss_small,24999.46655273437,576.217041015625,123.52595901489258,16.472411525401853,0.1513058394193649,0.0095094116404652,0.1417964277788996,0.954608678817749,0.9974245429039001,0.04281586408615112,0.9187496900558472,0.993726909160614,0.07497721910476685
p009_mixed_damage,p009,portrait_figure,Madame Roulin and Her Baby,mixed_damage,26953.66357421875,939.88330078125,133.28788948059082,14.724298081828175,0.2458253800868988,0.0400112308561801,0.2058141492307186,0.9261281490325928,0.9892976880073547,0.06316953897476196,0.7010014057159424,0.9753690958023071,0.27436769008636475
