case_id,painting_id,mask_type,model,region,bbox_margin,crop_height,crop_width,crop_area_pixels,masked_pixels_in_crop,mask_fraction_in_crop,clean_image_path,restored_image_path,mask_path,texture_metric_status,category,title,artist,date,medium,glcm_contrast_mean_clean,glcm_contrast_mean_restored,glcm_contrast_mean_abs_diff,glcm_contrast_std_clean,glcm_contrast_std_restored,glcm_contrast_std_abs_diff,glcm_homogeneity_mean_clean,glcm_homogeneity_mean_restored,glcm_homogeneity_mean_abs_diff,glcm_homogeneity_std_clean,glcm_homogeneity_std_restored,glcm_homogeneity_std_abs_diff,glcm_energy_mean_clean,glcm_energy_mean_restored,glcm_energy_mean_abs_diff,glcm_energy_std_clean,glcm_energy_std_restored,glcm_energy_std_abs_diff,glcm_correlation_mean_clean,glcm_correlation_mean_restored,glcm_correlation_mean_abs_diff,glcm_correlation_std_clean,glcm_correlation_std_restored,glcm_correlation_std_abs_diff,glcm_texture_distance_mean,glcm_texture_distance_sum,gabor_response_mean_clean,gabor_response_mean_restored,gabor_response_mean_abs_diff,gabor_response_std_clean,gabor_response_std_restored,gabor_response_std_abs_diff,gabor_response_energy_clean,gabor_response_energy_restored,gabor_response_energy_abs_diff,gabor_response_mean_std_across_filters_clean,gabor_response_mean_std_across_filters_restored,gabor_response_mean_std_across_filters_abs_diff,gabor_response_energy_std_across_filters_clean,gabor_response_energy_std_across_filters_restored,gabor_response_energy_std_across_filters_abs_diff,gabor_texture_distance_mean,gabor_texture_distance_sum,brushstroke_gradient_magnitude_mean_clean,brushstroke_gradient_magnitude_mean_restored,brushstroke_gradient_magnitude_mean_abs_diff,brushstroke_gradient_magnitude_std_clean,brushstroke_gradient_magnitude_std_restored,brushstroke_gradient_magnitude_std_abs_diff,brushstroke_gradient_magnitude_p90_clean,brushstroke_gradient_magnitude_p90_restored,brushstroke_gradient_magnitude_p90_abs_diff,brushstroke_edge_density_clean,brushstroke_edge_density_restored,brushstroke_edge_density_abs_diff,brushstroke_orientation_coherence_clean,brushstroke_orientation_coherence_restored,brushstroke_orientation_coherence_abs_diff,brushstroke_orientation_histogram_l1_distance,brushstroke_orientation_histogram_bin_0_clean,brushstroke_orientation_histogram_bin_1_clean,brushstroke_orientation_histogram_bin_2_clean,brushstroke_orientation_histogram_bin_3_clean,brushstroke_orientation_histogram_bin_4_clean,brushstroke_orientation_histogram_bin_5_clean,brushstroke_orientation_histogram_bin_6_clean,brushstroke_orientation_histogram_bin_7_clean,brushstroke_orientation_histogram_bin_0_restored,brushstroke_orientation_histogram_bin_1_restored,brushstroke_orientation_histogram_bin_2_restored,brushstroke_orientation_histogram_bin_3_restored,brushstroke_orientation_histogram_bin_4_restored,brushstroke_orientation_histogram_bin_5_restored,brushstroke_orientation_histogram_bin_6_restored,brushstroke_orientation_histogram_bin_7_restored,brushstroke_proxy_distance_mean,brushstroke_proxy_distance_sum,texture_distance_combined_raw
p001_loss_large,p001,loss_large,lama,mask_bbox_crop,16,354,391,138414,67242,0.48580345918765444,data/processed/clean/p001_clean.png,data/processed/restored/lama/p001_loss_large_restored_lama.png,data/processed/masks/p001_loss_large_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.5395983280112864,1.1778523687585996,0.3617459592526868,0.7751710223032418,0.5256995396913328,0.249471482611909,0.7600863018488923,0.7700189912013641,0.009932689352471824,0.040450134227985345,0.037116527572282496,0.003333606655702849,0.24406484665503833,0.242627416058242,0.0014374305967963241,0.015007790368322652,0.013695196194578497,0.0013125941737441547,0.9583852897101014,0.9633724813612958,0.004987191651194434,0.02089401747197558,0.01630736925323962,0.004586648218735962,0.07960095031415516,0.6368076025132413,0.0015180391492322087,0.0013170928480879713,0.0002009463011442374,0.002498575437736387,0.0020700520156727484,0.0004285234220636385,9.478190330961903e-06,6.495928232652659e-06,2.982262098309244e-06,0.00045096638343653623,0.0003345381149147895,0.00011642826852174674,6.957265156767535e-06,3.93521430604779e-06,3.0220508507197455e-06,0.00015038046093573032,0.0007519023046786516,0.043869178742170334,0.04007848724722862,0.0037906914949417114,0.06314236670732498,0.0531756691634655,0.009966697543859482,0.08922591060400009,0.08125043660402298,0.007975473999977112,0.04267631886947852,0.03381160865230396,0.008864710217174561,0.2037227545753974,0.18211018646047078,0.021612568114926622,0.03592654892899343,0.11626418657577296,0.07994951828813954,0.08861890298367328,0.08884182471907066,0.13282921257242913,0.1529058367196978,0.19024466531672438,0.1503458528237248,0.10769877203402867,0.08013474262900286,0.09662227604892862,0.09724499161782553,0.14547601792911352,0.15959381598709105,0.17754434101673963,0.13568504273641815,0.014689448383312154,0.08813669029987292,0.09444077915840304
p001_loss_small,p001,loss_small,lama,mask_bbox_crop,16,495,655,324225,24198,0.07463335646541754,data/processed/clean/p001_clean.png,data/processed/restored/lama/p001_loss_small_restored_lama.png,data/processed/masks/p001_loss_small_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.096013163362117,1.09131194972944,0.00470121363267717,0.4640693966528158,0.46396471353351043,0.0001046831193053932,0.7968053779785834,0.7985955745835155,0.0017901966049320706,0.028684698531272684,0.028592634516443,9.206401482968196e-05,0.2502154431397247,0.25108838295005115,0.0008729398103264341,0.011582647751579783,0.011545745388290818,3.6902363288965e-05,0.9509711700657436,0.9512730781627464,0.00030190809700281207,0.0206702394579942,0.020627336376481564,4.29030815126373e-05,0.0009928513404843956,0.007942810723875164,0.0011762764625018463,0.0011713606024083372,4.915860093509085e-06,0.0021249205262089768,0.002125099078208829,1.7855199985206127e-07,6.327273789944836e-06,6.316561837138579e-06,1.0711952806256683e-08,0.00022634034729989712,0.0002229305688293636,3.409778470533513e-06,3.4484862629569685e-06,3.4455377184600224e-06,2.9485444969460997e-09,1.7035702122395727e-06,8.517851061197864e-06,0.03591572493314743,0.03577473387122154,0.00014099106192588806,0.05330035462975502,0.05330362915992737,3.2745301723480225e-06,0.06822902709245682,0.06798385828733444,0.0002451688051223755,0.0334921736448454,0.033402729585935695,8.944405890970453e-05,0.12734599173919298,0.12646368898329752,0.0008823027558954588,0.0010769738207598717,0.16190373281627535,0.10009468916119686,0.10909516163001677,0.09127565214567145,0.11835818842395843,0.11726938030765571,0.15155393003000306,0.15044926548482215,0.1615825121079265,0.09995957790905764,0.10960941541640708,0.09141511961176682,0.11817157774991997,0.11761424880465077,0.15163231410128142,0.150015234298588,0.0004063591721309411,0.0024381550327856466,0.0014009140828275762
p001_mixed_damage,p001,mixed_damage,lama,mask_bbox_crop,16,768,695,533760,44392,0.08316846522781775,data/processed/clean/p001_clean.png,data/processed/restored/lama/p001_mixed_damage_restored_lama.png,data/processed/masks/p001_mixed_damage_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.2218958943315728,1.194131022834372,0.02776487149720075,0.3540216270883169,0.3454892955953117,0.008532331493005196,0.8019178856078198,0.803449278695787,0.0015313930879671256,0.028618001706015705,0.02806075057182146,0.0005572511341942442,0.26866267021261353,0.27168856704021804,0.003025896827604513,0.01274268349993155,0.012703873950521997,3.8809549409553334e-05,0.9313815567973434,0.9320275926998934,0.0006460359025500795,0.019890089085392294,0.019670153550365232,0.0002199355350270618,0.005289565628369816,0.042316525026958526,0.0012093872792320326,0.0011897013367464144,1.9685942485618167e-05,0.0025375247156868377,0.0024945370484298715,4.298766725696623e-05,8.78561189665561e-06,8.443293059675247e-06,3.4231883698036294e-07,0.00026043557430726705,0.0002497034206350099,1.0732153672257162e-05,5.044759302781889e-06,4.706248038931412e-06,3.385112638504771e-07,1.4817318703134481e-05,7.408659351567241e-05,0.03776455298066139,0.03714156150817871,0.0006229914724826813,0.0650225430727005,0.06383360177278519,0.0011889412999153137,0.06996884942054749,0.06822902709245682,0.0017398223280906677,0.04072804256594724,0.03968824940047962,0.001039793165467623,0.07029424682539137,0.07439815685783185,0.004103910032440483,0.004449047336234656,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.1749851135792657,0.08544770471941113,0.09429654140248785,0.1252671943366563,0.14781524524419845,0.09558053643403094,0.12458434890257401,0.1520233153811406,0.0021907509391052376,0.013144505634631425,0.007495133886178187
p001_scratch_thin,p001,scratch_thin,lama,mask_bbox_crop,16,768,695,533760,8012,0.015010491606714629,data/processed/clean/p001_clean.png,data/processed/restored/lama/p001_scratch_thin_restored_lama.png,data/processed/masks/p001_scratch_thin_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.2218958943315728,1.2088866014770103,0.013009292854562426,0.3540216270883169,0.35868847894552136,0.004666851857204446,0.8019178856078198,0.8016326431954685,0.00028524241235139414,0.028618001706015705,0.02848657737270773,0.00013142433330797648,0.26866267021261353,0.2686174818183024,4.51883943111131e-05,0.01274268349993155,0.012730344896507005,1.2338603424545333e-05,0.9313815567973434,0.9321541260144297,0.0007725692170863496,0.019890089085392294,0.020129996980218303,0.00023990789482600944,0.0023953519458842828,0.019162815567074262,0.0012093872792320326,0.0012086623028153554,7.249764166772366e-07,0.0025375247156868377,0.002527299366192892,1.0225349493945494e-05,8.78561189665561e-06,8.675282079669463e-06,1.1032981698614644e-07,0.00026043557430726705,0.0002493354129824996,1.1100161324767454e-05,5.044759302781889e-06,4.847437978559208e-06,1.973213242226812e-07,4.471627675319802e-06,2.235813837659901e-05,0.03776455298066139,0.03760911896824837,0.0001554340124130249,0.0650225430727005,0.06433399766683578,0.0006885454058647156,0.06996884942054749,0.06977774202823639,0.0001911073923110962,0.04072804256594724,0.03976880995203837,0.0009592326139088725,0.07029424682539137,0.06805637407680919,0.002237872748582184,0.0050983929052872065,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.17157207091186263,0.08587123815271623,0.09547726698083167,0.12521074122523515,0.1505573703806445,0.09683827719986168,0.12417747292153515,0.15029556222708088,0.0015550975130611832,0.0093305850783671,0.003954921086620786
p001_zero_control,p001,zero_control,lama,mask_bbox_crop,16,768,768,589824,0,0.0,data/processed/clean/p001_clean.png,data/processed/restored/lama/p001_zero_control_restored_lama.png,data/processed/masks/p001_zero_control_mask.png,ok,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Oil on canvas,1.1054996989467376,1.1054996989467376,0.0,0.3201537871125026,0.3201537871125026,0.0,0.8207842483368322,0.8207842483368322,0.0,0.025867506065669888,0.025867506065669888,0.0,0.3014303653507288,0.3014303653507288,0.0,0.012132227945969347,0.012132227945969347,0.0,0.9317587399701739,0.9317587399701739,0.0,0.019781289543575952,0.019781289543575952,0.0,0.0,0.0,0.0011063552083214745,0.0011063552083214745,0.0,0.0024359059849909195,0.0024359059849909195,0.0,7.952345640660496e-06,7.952345640660496e-06,0.0,0.0002376489828869043,0.0002376489828869043,0.0,4.566081726330253e-06,4.566081726330253e-06,0.0,0.0,0.0,0.03417495638132095,0.03417495638132095,0.0,0.06283892691135406,0.06283892691135406,0.0,0.06460898369550705,0.06460898369550705,0.0,0.036856757269965276,0.036856757269965276,0.0,0.07029424682539137,0.07029424682539137,0.0,0.0,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.17504072815290997,0.08451149235546164,0.09374219486536532,0.12627728497835924,0.15112056229176077,0.095658561507358,0.12348432480207178,0.15016485104648214,0.0,0.0,0.0
p002_loss_large,p002,loss_large,lama,mask_bbox_crop,16,310,328,101680,49705,0.4888375295043273,data/processed/clean/p002_clean.png,data/processed/restored/lama/p002_loss_large_restored_lama.png,data/processed/masks/p002_loss_large_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.1600882503994374,1.0813332635284179,0.07875498687101956,0.5444233277714576,0.48256471265418494,0.0618586151172727,0.8468342872551436,0.8653494322755434,0.018515145020399748,0.041555223891468145,0.034017595059993036,0.007537628831475109,0.25426384238034033,0.26403128588081476,0.009767443500474426,0.01688755811244295,0.01396010901647171,0.0029274490959712417,0.9213257606859978,0.9265840056946796,0.005258245008681772,0.03715022010082807,0.03299571498307014,0.004154505117757931,0.02359675232038156,0.18877401856305248,0.0012083526332086574,0.0010504141779771696,0.00015793845523148775,0.0025693286928193024,0.002483505532533551,8.582316028575131e-05,1.0641128658524698e-05,9.88107011323791e-06,7.600585452867872e-07,0.0005622968043214151,0.00048644613643534276,7.585066788607238e-05,9.759112750660524e-06,9.188907111613605e-06,5.702056390469196e-07,6.418850951752903e-05,0.00032094254758764515,0.03273344784975052,0.02831069380044937,0.0044227540493011475,0.06863049417734146,0.06773409992456436,0.0008963942527770996,0.06640328466892242,0.05242123082280159,0.013982053846120834,0.031923682140047205,0.0267309205350118,0.005192761605035404,0.15429652989051115,0.07808975519386817,0.07620677469664298,0.050366646159231206,0.23269161881371447,0.1010287342281147,0.08976290365605669,0.14287870822260995,0.14129596071325656,0.05622526940593475,0.06644147087020405,0.16967533408867444,0.20999586813880175,0.07970934430455581,0.08341139809518507,0.15759554385375935,0.16195685917773678,0.06028204700225416,0.07440728385744157,0.17264165556860708,0.025177897434851448,0.15106738460910868,0.048838838264750536
p002_loss_small,p002,loss_small,lama,mask_bbox_crop,16,729,372,271188,19520,0.07197958611737983,data/processed/clean/p002_clean.png,data/processed/restored/lama/p002_loss_small_restored_lama.png,data/processed/masks/p002_loss_small_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.5569059269698802,1.5580319890297376,0.0011260620598574356,0.9685141073610375,0.9708782421416614,0.0023641347806239166,0.8479584391565332,0.8471763869543888,0.0007820522021444454,0.03947974837139883,0.03971431936353586,0.0002345709921370287,0.2825067679735395,0.2822210230863323,0.0002857448872072288,0.011599545015982335,0.011767795928416442,0.00016825091243410743,0.9509701508844522,0.9511829304776805,0.0002127795932282961,0.03055624995376442,0.030473951278339243,8.22986754251756e-05,0.0006569867628822043,0.005255894103057634,0.001360074762487784,0.0013579214428318664,2.153319655917585e-06,0.003041699092136696,0.00304646233174329,4.7632396065941905e-06,1.3442050468862968e-05,1.344427082964709e-05,2.220360784122022e-09,0.0006336926763010844,0.0006296579227228949,4.0347535781895235e-06,1.233901033921499e-05,1.2336980954161782e-05,2.0293850532075573e-09,2.191112517307726e-06,1.0955562586538628e-05,0.029634736478328705,0.029595740139484406,3.8996338844299316e-05,0.06559876352548599,0.06559337675571442,5.386769771575928e-06,0.06205611303448677,0.06201736256480217,3.875046968460083e-05,0.03542192132395239,0.035075298317034674,0.0003466230069177137,0.22186165713020473,0.22505518331467053,0.003193526184465806,0.0034719074364447378,0.22296776097244606,0.09790834639943681,0.08910640806381402,0.11036988013621281,0.11108119155514723,0.0660413930543305,0.0905437437965936,0.211981276021527,0.22317385408548532,0.09933251341669957,0.08960074736556844,0.10689797269976772,0.11156266989095683,0.06622237313954335,0.0910007530299795,0.2122091163715066,0.0011825317010214556,0.007095190206128733,0.0018417095764209678
p002_mixed_damage,p002,mixed_damage,lama,mask_bbox_crop,16,768,481,369408,42027,0.11376851611226611,data/processed/clean/p002_clean.png,data/processed/restored/lama/p002_mixed_damage_restored_lama.png,data/processed/masks/p002_mixed_damage_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.66385473061018,1.615684248207958,0.04817048240222199,1.039031850574739,1.0116241436486026,0.027407706926136255,0.8682341906313572,0.8692790255683631,0.0010448349370059118,0.037200452467576764,0.036685648860563365,0.0005148036070133991,0.30619445359795794,0.30565845067795955,0.0005360029199983907,0.011290003047910661,0.011307761510506267,1.775846259560558e-05,0.9504511522781228,0.9514167111738377,0.0009655588957149241,0.030813959946178252,0.030294067213350453,0.0005198927328277994,0.009897130110439283,0.07917704088351427,0.0014040679185806464,0.0013642962051865954,3.977171339405094e-05,0.003179883361250783,0.0031179270008578897,6.195636039289321e-05,1.609709920558089e-05,1.5538454761099274e-05,5.586444444816152e-07,0.0009524097749588504,0.0009347627627575747,1.7647012201275772e-05,1.7802242013158672e-05,1.7497490967713257e-05,3.0475104544541503e-07,2.4047696295629392e-05,0.00012023848147814695,0.028431536629796028,0.027839787304401398,0.0005917493253946304,0.0715610459446907,0.07037649303674698,0.0011845529079437256,0.05956573784351349,0.05792902037501335,0.0016367174685001373,0.04301476957726958,0.04142032657657658,0.0015944430006930022,0.31026622845269936,0.32077285668184274,0.010506628229143389,0.01945562408413823,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.2906745727830731,0.0798632948238717,0.07202344053620907,0.09614771664479507,0.10834666837254896,0.05041318724255279,0.07316339492677032,0.22936772466979452,0.005828285835968852,0.03496971501581311,0.015749463642703763
p002_scratch_thin,p002,scratch_thin,lama,mask_bbox_crop,16,768,423,324864,8436,0.025967789598108748,data/processed/clean/p002_clean.png,data/processed/restored/lama/p002_scratch_thin_restored_lama.png,data/processed/masks/p002_scratch_thin_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.7246954875760678,1.7251278141149886,0.00043232653892077977,1.0460133995345757,1.047486920486375,0.001473520951799312,0.8565724954877569,0.8552939290009124,0.0012785664868445457,0.03759135974762769,0.03759210214448256,7.423968548733728e-07,0.29402329494454443,0.2934376249168757,0.0005856700276687388,0.011425263553020351,0.011394606609441386,3.0656943578965395e-05,0.9502751210403743,0.9502760825865382,9.615461639134182e-07,0.030268911409170405,0.030303323575162702,3.441216599229732e-05,0.0004796071322279282,0.0038368570578234257,0.0013967874062169965,0.0014041694812476635,7.382075030667014e-06,0.0032615977785705277,0.00326270199730061,1.104218730082259e-06,1.6094973261715495e-05,1.6109550263839385e-05,1.4577002123889626e-08,0.0007740598027077046,0.0007722840252049278,1.775777502776763e-06,1.6201951638326256e-05,1.6188381057554337e-05,1.3570580771918669e-08,2.0580437692843687e-06,1.0290218846421845e-05,0.029690910130739212,0.02983858250081539,0.0001476723700761795,0.07158417254686356,0.07153847068548203,4.570186138153076e-05,0.06209484115242958,0.06240379214286804,0.0003089509904384627,0.039456511032308905,0.039484214933018125,2.7703900709219464e-05,0.2493775153369256,0.2475169076777485,0.0018606076591770881,0.002245635019363236,0.24019569852922298,0.08582626935597469,0.07694222744136252,0.11066695413069635,0.11796939824530699,0.05715435973726947,0.08004922314421563,0.23119586941554143,0.23978468964676725,0.08647808341961741,0.07749750670917391,0.11095638304818523,0.11779122583191681,0.057423932444012754,0.08052876320789362,0.22953941569202513,0.0007727119668576194,0.004636271801145717,0.001254377142854832
p002_zero_control,p002,zero_control,lama,mask_bbox_crop,16,768,768,589824,0,0.0,data/processed/clean/p002_clean.png,data/processed/restored/lama/p002_zero_control_restored_lama.png,data/processed/masks/p002_zero_control_mask.png,ok,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,Oil on canvas,1.040335146765606,1.040335146765606,0.0,0.648587191140807,0.648587191140807,0.0,0.9175853621434714,0.9175853621434714,0.0,0.023190730386406556,0.023190730386406556,0.0,0.4705463263323216,0.4705463263323216,0.0,0.006563368247402475,0.006563368247402475,0.0,0.950452151308991,0.950452151308991,0.0,0.030813451838608237,0.030813451838608237,0.0,0.0,0.0,0.000953485565939142,0.000953485565939142,0.0,0.002587771334219724,0.002587771334219724,0.0,1.0097384299948923e-05,1.0097384299948923e-05,0.0,0.0006005845719860809,0.0006005845719860809,0.0,1.1149812679445558e-05,1.1149812679445558e-05,0.0,0.0,0.0,0.017806733027100563,0.017806733027100563,0.0,0.05827929079532623,0.05827929079532623,0.0,0.0333973728120327,0.0333973728120327,0.0,0.026940239800347224,0.026940239800347224,0.0,0.31026622845269936,0.31026622845269936,0.0,0.0,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.3022171844175079,0.07882042070975365,0.07066156763869132,0.1016334129103729,0.10833976206055698,0.05248895365107304,0.07351494470237971,0.21232375390928807,0.0,0.0,0.0
