refined_stable_diffusion_metric_wins,cases,mean_combined_uncertainty_index,median_combined_uncertainty_index,max_combined_uncertainty_index,mean_masked_std,mean_pairwise_lpips,mean_dinov2_uncertainty_distance
0,35,0.1844930943046969,0.13268316103100822,0.9834162335148644,0.06484226563147136,0.10440513480099893,0.08971807268403825
1,1,0.5287961206693911,0.5287961206693911,0.5287961206693911,0.08840785920619965,0.28835925956567127,0.3888624260822932
2,3,0.49633786711726935,0.4116464237619671,0.719251401201778,0.10186874866485596,0.30840112020572025,0.16662023464838663
4,1,0.4290620717541782,0.4290620717541782,0.4290620717541782,0.09862791001796722,0.264517975350221,0.13146554430325827
