mask_type,model,cases,mean_glcm_texture_distance,median_glcm_texture_distance,mean_gabor_texture_distance,median_gabor_texture_distance,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_combined_texture_distance,median_combined_texture_distance
loss_large,lama,50,0.21912606392731493,0.1687455175823436,0.0002630382029798968,0.00026386781076039696,0.024205431126033974,0.02253837224591297,0.23536201898587172,0.22131893298336158
loss_large,stable_diffusion_inpainting,50,0.21510401687073988,0.16704579887884008,0.00024692671689342463,0.00015031741059221964,0.03505296810179087,0.02525687431081658,0.2558696670102245,0.18766658819259024
loss_large,opencv_telea,50,0.348786831152403,0.2885542059625105,0.0004315220268154889,0.0004165945418753427,0.03990244207513208,0.036728239906640994,0.3830029008028471,0.3448270361188751
loss_small,lama,50,0.008273927758841042,0.0035918712009016833,9.938074400219794e-06,5.871334455596792e-06,0.0020148157370955496,0.0012815047009143263,0.011723928747778379,0.007308282989666022
loss_small,opencv_telea,50,0.040831445217159874,0.03315419201456952,4.439755454539394e-05,3.720237120593399e-05,0.005522848410437658,0.004957855779236197,0.044725701074435784,0.037670193901121946
loss_small,stable_diffusion_inpainting,50,0.13466369214823615,0.09710004513070401,9.613298014972554e-05,7.805105543985097e-05,0.017664703913376226,0.015772370313944233,0.12715497890140515,0.10621635553043043
mixed_damage,lama,50,0.028607798931024785,0.02193001781484378,3.384879269985198e-05,2.9056183701514233e-05,0.00437283180712249,0.003378942371916575,0.03366496414649616,0.02967573045352271
mixed_damage,opencv_telea,50,0.07357907061619674,0.06245109248424155,8.86304196521092e-05,8.640833722977597e-05,0.00753667428205665,0.0072126032409043726,0.07762405541218767,0.07499212284047604
mixed_damage,stable_diffusion_inpainting,50,0.13015735368344714,0.09380714870464725,0.00012872492283899861,9.576015208920288e-05,0.02012341679947703,0.01752180930262425,0.1442361842196947,0.12507794855706011
scratch_thin,lama,50,0.007878589549356727,0.0028041938786564314,9.009990786254262e-06,4.276899449285964e-06,0.001430523633466191,0.0009370769592160655,0.009736446053139194,0.005154202336644846
scratch_thin,opencv_telea,50,0.022443575088665416,0.012782616004547224,2.6080248217747515e-05,1.6564164024567704e-05,0.0021194876111202848,0.001680804343261174,0.022856102469810628,0.014485877857402855
scratch_thin,stable_diffusion_inpainting,50,0.15355018442906,0.1104049363840015,0.00017239334285869463,0.00012155773230674151,0.019854993317386462,0.01719838815910346,0.16788641649644048,0.13149919917986685
zero_control,lama,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_control,opencv_telea,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_control,stable_diffusion_inpainting,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
