mask_type,cases,mean_mask_fraction,mean_masked_std,median_masked_std,max_masked_std,mean_masked_mad,mean_bbox_std,mean_full_std
loss_large,10,0.1025970458984375,0.09655909612774849,0.08660619705915451,0.14998354017734528,0.08435520827770233,0.05765569470822811,0.018631192576140165
mixed_damage,10,0.07812516954210069,0.06936805099248886,0.06883837282657623,0.09702650457620621,0.0603573989123106,0.01850373987108469,0.01588427983224392
loss_small,10,0.035211181640625,0.06293315626680851,0.06102871149778366,0.08757559210062027,0.05453232042491436,0.015573327336460352,0.011707234103232622
scratch_thin,10,0.01775139702690972,0.04735182784497738,0.04689231887459755,0.06023343279957771,0.041058991104364395,0.012813354190438987,0.011217032233253122
