case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mse_rank,lpips_rank,clip_rank,dinov2_rank,mean_rank,rank_spread
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4540.541717529297,436.2405090332031,50.75857925415039,10.572226459126258,0.2603759467601776,0.0430132374167442,0.2173627093434333,0.82358717918396,0.9845389127731323,0.16095173358917236,0.5853419303894043,0.8965532183647156,0.3112112879753113,193.0,92.0,29.0,12.0,81.5,181.0
p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,48015.95104980469,981.8536376953124,200.80171585083008,16.981298687118507,0.5921071767807007,0.2738807201385498,0.3182264566421509,0.8108999729156494,0.8080077767372131,-0.0028921961784362793,0.7064647078514099,0.7482913732528687,0.04182666540145874,9.0,30.0,189.0,112.0,85.0,180.0
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,loss_large,44703.27282714844,1388.6451416015625,187.16033172607425,15.210335012392433,0.623293399810791,0.4037644267082214,0.2195289731025695,0.7517073750495911,0.7966311573982239,0.04492378234863281,0.6172600984573364,0.4031360149383545,-0.21412408351898193,14.0,90.0,154.0,190.0,112.0,176.0
p006_loss_large,p006,portrait_figure,Boy with a Sword,loss_large,51838.57540893555,344.2409973144531,216.12399101257324,21.80664923810936,0.5987578630447388,0.2149134427309036,0.3838444203138351,0.9024126529693604,0.9188846349716187,0.0164719820022583,0.7053844928741455,0.7214587330818176,0.01607424020767212,2.0,12.0,177.0,139.0,82.5,175.0
p015_scratch_thin,p015,landscape_natural,Landscape,scratch_thin,11408.091766357422,187.24124145507807,91.53869819641112,17.918817137671727,0.1582717597484588,0.0014840950025245,0.1567876647459343,0.919958233833313,0.9998044967651367,0.07984626293182373,0.665026843547821,0.9994256496429443,0.3343988060951233,180.0,144.0,108.0,7.0,109.75,173.0
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,mixed_damage,9888.088256835938,1100.4859619140625,73.32229804992676,9.9935683887564,0.1956104636192321,0.0601286329329013,0.1354818306863308,0.9047964215278625,0.9817307591438293,0.0769343376159668,0.620887279510498,0.9050168991088867,0.28412961959838867,183.0,161.0,113.0,18.0,118.75,165.0
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_large,18997.17807006836,287.2887268066406,125.70010566711426,18.26889050769048,0.6593158841133118,0.3002504110336303,0.3590654730796814,0.8100756406784058,0.8176960945129395,0.007620453834533691,0.48841607570648193,0.40029025077819824,-0.08812582492828369,149.0,19.0,184.0,172.0,131.0,165.0
p042_loss_large,p042,high_texture_brushwork,View of Beirut,loss_large,5184.239700317383,35.87309265136719,65.61999797821045,21.62911067864953,0.4470329880714416,0.1271620839834213,0.3198709040880203,0.8143810033798218,0.9017024040222168,0.08732140064239502,0.9508149027824402,0.9615757465362549,0.010760843753814697,192.0,29.0,104.0,147.0,118.0,163.0
p016_mixed_damage,p016,landscape_natural,Wooded Landscape with a House beside a River,mixed_damage,11211.77801513672,913.8508911132812,77.88490676879883,11.22828933255893,0.198218435049057,0.0671999454498291,0.1310184895992279,0.8152158856391907,0.9820144176483154,0.16679853200912476,0.6812602877616882,0.8688318133354187,0.18757152557373047,182.0,163.0,22.0,40.0,101.75,160.0
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),scratch_thin,8513.512023925781,551.1862182617188,71.37262725830078,12.160550012637731,0.1887379437685012,0.0126977059990167,0.1760402377694845,0.8784410953521729,0.9983105659484863,0.11986947059631348,0.7769420742988586,0.9979255199432373,0.22098344564437866,188.0,128.0,64.0,28.0,102.0,160.0
