case_id,painting_id,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,category
p036_loss_large,p036,,p036_loss_large,loss_large,lama,masked_region,92174,,,,,92174,15.6274,15.6274,5263.03271484375,3578.788330078125,1684.244384765625,46.358219146728516,22.574953079223633,23.783266067504883,10.918442912815733,12.59344348367134,1.675000570855607,,,,ok,,abstraction_surrealism
p036_scratch_thin,p036,,p036_scratch_thin,scratch_thin,lama,masked_region,13905,,,,,13905,2.3575,2.3575,2009.9451904296875,23.089704513549805,1986.8554859161377,29.343353271484375,2.3825721740722656,26.96078109741211,15.098961461431877,34.49661985722753,19.397658395795652,,,,ok,,abstraction_surrealism
p032_mixed_damage,p032,,p032_mixed_damage,mixed_damage,lama,masked_region,51647,,,,,51647,9.0267,8.7563,2763.684326171875,29.557987213134766,2734.1263389587402,40.7200813293457,3.702725648880005,37.0173556804657,13.71591925360757,33.42405503945901,19.708135785851443,,,,ok,,abstraction_surrealism
p036_loss_small,p036,,p036_loss_small,loss_small,lama,masked_region,18062,,,,,18062,3.0623,3.0623,3290.943359375,7.8047099113464355,3283.1386494636536,37.02277374267578,2.0612335205078125,34.96154022216797,12.957599531777825,39.20723595204616,26.249636420268338,,,,ok,,abstraction_surrealism
p020_loss_small,p020,,p020_loss_small,loss_small,lama,masked_region,13227,,,,,13227,3.2557,2.2425,4237.94580078125,255.87461853027344,3982.0711822509766,62.286888122558594,8.786748886108398,53.500139236450195,11.859249626630596,24.05053152663184,12.191281900001243,,,,ok,,landscape_natural
p036_mixed_damage,p036,,p036_mixed_damage,mixed_damage,lama,masked_region,47780,,,,,47780,8.1007,8.1007,4701.5478515625,641.12353515625,4060.42431640625,42.42812728881836,5.871368885040283,36.556758403778076,11.408395002247481,20.061386410721806,8.652991408474325,,,,ok,,abstraction_surrealism
p020_mixed_damage,p020,,p020_mixed_damage,mixed_damage,lama,masked_region,54098,,,,,54098,13.3157,9.1719,4976.78173828125,357.96368408203125,4618.818054199219,62.75547409057617,10.060729026794434,52.69474506378174,11.161317661232012,22.592413917737225,11.431096256505214,,,,ok,,landscape_natural
p020_loss_large,p020,,p020_loss_large,loss_large,lama,masked_region,51159,,,,,51159,12.5923,8.6736,6440.3271484375,1232.7796630859375,5207.5474853515625,72.3664779663086,26.04185676574707,46.32462120056152,10.041724321490095,17.2219489956573,7.180224674167205,,,,ok,,landscape_natural
p042_loss_large,p042,,p042_loss_large,loss_large,lama,masked_region,44565,,,,,44565,11.7464,7.5556,5220.11279296875,9.283466339111328,5210.829326629639,70.19696044921875,2.365675687789917,67.83128476142883,10.95400473797698,38.45370193823428,27.4996972002573,,,,ok,,high_texture_brushwork
p032_scratch_thin,p032,,p032_scratch_thin,scratch_thin,lama,masked_region,14929,,,,,14929,2.6092,2.5311,5889.0458984375,81.82644653320312,5807.219451904297,56.945430755615234,5.12365198135376,51.821778774261475,10.43035421701841,29.001866693341242,18.57151247632283,,,,ok,,abstraction_surrealism
p032_loss_large,p032,,p032_loss_large,loss_large,lama,masked_region,88089,,,,,88089,15.3959,14.9348,7354.853515625,58.09700393676758,7296.756511688232,61.183589935302734,5.210862636566162,55.97272729873657,9.465063334290068,30.48926624472063,21.02420291043056,,,,ok,,abstraction_surrealism
p032_loss_small,p032,,p032_loss_small,loss_small,lama,masked_region,24362,,,,,24362,4.2579,4.1304,8350.02734375,37.79656982421875,8312.230773925781,67.46461486816406,3.904797077178955,63.55981779098511,8.913924632022368,32.356279730415274,23.442355098392905,,,,ok,,abstraction_surrealism
p020_scratch_thin,p020,,p020_scratch_thin,scratch_thin,lama,masked_region,11485,,,,,11485,2.8269,1.9472,9064.6982421875,480.1819763183594,8584.51626586914,83.51251983642578,12.286867141723633,71.22565269470215,8.557270095719733,21.31674506130623,12.759474965586495,,,,ok,,landscape_natural
