rank_direction,rank_metric,rank_evaluation_region,rank_position,rank_metric_value,feature_row_id,feature_case_id,restoration_case_id,source_case_id,dataset_name,painting_id,category,title,artist,style,model_name,mask_type,metric_mask_type,evaluation_region,region_pixel_count,mask_area_pixels,is_zero_control,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,status,issue
strongest,clip_similarity_improvement,full_image,11,0.1998758316040039,lama__canonical__canonical__p047_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p047_mixed_damage,lama__canonical__canonical__p047_mixed_damage,canonical__p047_mixed_damage,canonical,p047,high_texture_brushwork,The Dance Class,Edgar Degas,Impressionism,lama,mixed_damage,mixed_damage,full_image,589824,48787,False,0.7978763580322266,0.9977521896362305,0.1998758316040039,0.8563591241836548,0.9963183403015137,0.1399592161178589,0.1699175238609314,lama__canonical__canonical__p047_mixed_damage__full_image__clean,lama__canonical__canonical__p047_mixed_damage__full_image__damaged,lama__canonical__canonical__p047_mixed_damage__full_image__restored,canonical__p047__full_image,ok,
strongest,clip_similarity_improvement,full_image,12,0.19969898462295532,lama__canonical__canonical__p016_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p016_mixed_damage,lama__canonical__canonical__p016_mixed_damage,canonical__p016_mixed_damage,canonical,p016,landscape_natural,Wooded Landscape with a House beside a River,Thomas Gainsborough,,lama,mixed_damage,mixed_damage,full_image,589824,42648,False,0.7981017827987671,0.9978007674217224,0.19969898462295532,0.5591603517532349,0.9941413402557373,0.43498098850250244,0.3173399865627289,lama__canonical__canonical__p016_mixed_damage__full_image__clean,lama__canonical__canonical__p016_mixed_damage__full_image__damaged,lama__canonical__canonical__p016_mixed_damage__full_image__restored,canonical__p016__full_image,ok,
strongest,clip_similarity_improvement,full_image,13,0.19919228553771973,lama__canonical__canonical__p026_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p026_mixed_damage,lama__canonical__canonical__p026_mixed_damage,canonical__p026_mixed_damage,canonical,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,mixed_damage,mixed_damage,full_image,589824,37951,False,0.7993991374969482,0.998591423034668,0.19919228553771973,0.6276735067367554,0.9939873218536377,0.3663138151168823,0.282753050327301,lama__canonical__canonical__p026_mixed_damage__full_image__clean,lama__canonical__canonical__p026_mixed_damage__full_image__damaged,lama__canonical__canonical__p026_mixed_damage__full_image__restored,canonical__p026__full_image,ok,
strongest,clip_similarity_improvement,full_image,14,0.1977912187576294,lama__canonical__canonical__p014_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p014_mixed_damage,lama__canonical__canonical__p014_mixed_damage,canonical__p014_mixed_damage,canonical,p014,landscape_natural,Landscape on a River,Charles-François Daubigny,,lama,mixed_damage,mixed_damage,full_image,589824,41872,False,0.7950265407562256,0.992817759513855,0.1977912187576294,0.4606019854545593,0.9743915796279907,0.5137895941734314,0.3557904064655304,lama__canonical__canonical__p014_mixed_damage__full_image__clean,lama__canonical__canonical__p014_mixed_damage__full_image__damaged,lama__canonical__canonical__p014_mixed_damage__full_image__restored,canonical__p014__full_image,ok,
strongest,clip_similarity_improvement,full_image,15,0.19611018896102905,lama__canonical__canonical__p012_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p012_mixed_damage,lama__canonical__canonical__p012_mixed_damage,canonical__p012_mixed_damage,canonical,p012,landscape_natural,An Extensive Wooded Landscape,Philips Koninck,,lama,mixed_damage,mixed_damage,full_image,589824,41283,False,0.8028466105461121,0.9989567995071411,0.19611018896102905,0.5952847599983215,0.9942400455474854,0.3989552855491638,0.29753273725509644,lama__canonical__canonical__p012_mixed_damage__full_image__clean,lama__canonical__canonical__p012_mixed_damage__full_image__damaged,lama__canonical__canonical__p012_mixed_damage__full_image__restored,canonical__p012__full_image,ok,
strongest,clip_similarity_improvement,full_image,16,0.19344210624694824,lama__canonical__canonical__p002_loss_large__full_image__feature_similarity,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_large,loss_large,full_image,589824,37439,False,0.7285242080688477,0.9219663143157959,0.19344210624694824,0.7477172613143921,0.9291639924049377,0.18144673109054565,0.18744441866874695,lama__canonical__canonical__p002_loss_large__full_image__clean,lama__canonical__canonical__p002_loss_large__full_image__damaged,lama__canonical__canonical__p002_loss_large__full_image__restored,canonical__p002__full_image,ok,
strongest,clip_similarity_improvement,full_image,17,0.1927250623703003,lama__canonical__canonical__p010_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p010_mixed_damage,lama__canonical__canonical__p010_mixed_damage,canonical__p010_mixed_damage,canonical,p010,portrait_figure,Joan of Arc,Jules Bastien-Lepage,19th century French painting,lama,mixed_damage,mixed_damage,full_image,589824,43214,False,0.8004584312438965,0.9931834936141968,0.1927250623703003,0.49641287326812744,0.9691067934036255,0.47269392013549805,0.33270949125289917,lama__canonical__canonical__p010_mixed_damage__full_image__clean,lama__canonical__canonical__p010_mixed_damage__full_image__damaged,lama__canonical__canonical__p010_mixed_damage__full_image__restored,canonical__p010__full_image,ok,
strongest,clip_similarity_improvement,full_image,18,0.18975114822387695,lama__canonical__canonical__p025_scratch_thin__full_image__feature_similarity,lama__canonical__canonical__p025_scratch_thin,lama__canonical__canonical__p025_scratch_thin,canonical__p025_scratch_thin,canonical,p025,architecture_structured,The Quay de Paris in Rouen,Johannes Bosboom,,lama,scratch_thin,scratch_thin,full_image,589824,14613,False,0.8093566298484802,0.9991077780723572,0.18975114822387695,0.9156967401504517,0.9980791211128235,0.08238238096237183,0.1360667645931244,lama__canonical__canonical__p025_scratch_thin__full_image__clean,lama__canonical__canonical__p025_scratch_thin__full_image__damaged,lama__canonical__canonical__p025_scratch_thin__full_image__restored,canonical__p025__full_image,ok,
strongest,clip_similarity_improvement,full_image,19,0.18633735179901123,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03__full_image__feature_similarity,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03,mask_robustness__p001__loss_large__variant_03,mask_robustness,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,full_image,589824,63593,False,0.7534204721450806,0.9397578239440918,0.18633735179901123,0.7798135280609131,0.9824267625808716,0.2026132345199585,0.19447529315948486,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03__full_image__clean,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03__full_image__damaged,lama__mask_robustness__mask_robustness__p001__loss_large__variant_03__full_image__restored,mask_robustness__p001__full_image,ok,
strongest,clip_similarity_improvement,full_image,20,0.1857854723930359,lama__canonical__canonical__p004_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p004_mixed_damage,lama__canonical__canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,mixed_damage,mixed_damage,full_image,589824,49686,False,0.8108729720115662,0.996658444404602,0.1857854723930359,0.627126932144165,0.9689517021179199,0.3418247699737549,0.2638051211833954,lama__canonical__canonical__p004_mixed_damage__full_image__clean,lama__canonical__canonical__p004_mixed_damage__full_image__damaged,lama__canonical__canonical__p004_mixed_damage__full_image__restored,canonical__p004__full_image,ok,
weakest,clip_similarity_improvement,full_image,1,-0.3494166135787964,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe,synthetic_degradation__p001__partial_transparency__severe,synthetic_degradation,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,full_image,589824,315211,False,0.9496574401855469,0.6002408266067505,-0.3494166135787964,0.9549606442451477,0.4987563192844391,-0.4562043249607086,-0.4028104692697525,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__severe__full_image__restored,synthetic_degradation__p001__full_image,ok,
weakest,clip_similarity_improvement,full_image,2,-0.15685230493545532,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe,synthetic_degradation__p043__partial_transparency__severe,synthetic_degradation,p043,high_texture_brushwork,The Card Players,Paul Cézanne,Post-Impressionism,lama,,,full_image,589824,202937,False,0.9911192059516907,0.8342669010162354,-0.15685230493545532,0.9844615459442139,0.838578462600708,-0.14588308334350586,-0.1513676941394806,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__severe__full_image__restored,synthetic_degradation__p043__full_image,ok,
