mask_type,cases,mean_metric_ties,mean_opencv_telea_metric_wins,mean_lama_metric_wins,mean_stable_diffusion_inpainting_metric_wins,mean_opencv_telea_mse_improvement,mean_lama_mse_improvement,mean_stable_diffusion_inpainting_mse_improvement,mean_opencv_telea_psnr_improvement,mean_lama_psnr_improvement,mean_stable_diffusion_inpainting_psnr_improvement,mean_opencv_telea_ssim_improvement,mean_lama_ssim_improvement,mean_stable_diffusion_inpainting_ssim_improvement,mean_opencv_telea_lpips_improvement,mean_lama_lpips_improvement,mean_stable_diffusion_inpainting_lpips_improvement,mean_opencv_telea_clip_improvement,mean_lama_clip_improvement,mean_stable_diffusion_inpainting_clip_improvement,mean_opencv_telea_dinov2_improvement,mean_lama_dinov2_improvement,mean_stable_diffusion_inpainting_dinov2_improvement
loss_large,50,0.0,0.8,4.82,0.38,23999.733308410643,24555.375812530518,23124.429133758546,12.615486348027321,15.1582772154035,10.824049585968616,0.13600941929949056,0.1350096392614745,-0.09909665529515824,0.1858786931633949,0.30795760953798884,0.2214074910804629,0.026313624382019018,0.1581918311119079,0.1066877210140228,-0.12212902843952175,0.13550055265426633,0.03957718789577482
loss_small,50,0.0,0.82,5.18,0.0,25902.88156402588,26147.753707647324,25636.699246673583,17.393118670611674,20.167371719600418,15.503051224433277,0.044203783151658814,0.04610910114742816,-0.26309059587450906,0.16652644783258436,0.18263174679595973,0.10870031613856551,0.09881219506263729,0.10370390892028804,0.07384921908378597,0.057931647300720174,0.07884906888008113,0.0203510046005249
mixed_damage,50,0.0,0.72,5.28,0.0,26381.819261474608,26669.089760169983,25735.03314880371,15.39599067672843,17.582774875202862,12.518475084455808,0.073761216261636,0.07380719496723609,-0.2359540891048191,0.26445190139114855,0.2905104105919599,0.18833400614559648,0.1323954331874847,0.14979566693305965,0.10492381572723385,0.17279791474342343,0.23191774725913997,0.11075930476188658
scratch_thin,50,0.0,2.8,3.2,0.0,28319.66894569397,28387.47346622467,25670.202736816405,20.491108259449696,21.24147087866354,9.925126039280126,0.06014042353451834,0.05857138487148814,-0.2747275831620212,0.2565868621645495,0.2581982061063172,0.13123005025088783,0.10115818500518793,0.10123204708099359,0.048618639707565275,0.14764751672744747,0.14685229301452632,0.01803772211074829
