case_id,painting_id,mask_id,mask_type,evaluation_region,damaged_lpips_opencv,restored_lpips_opencv,lpips_improvement_opencv,damaged_lpips_lama,restored_lpips_lama,lpips_improvement_lama,damaged_lpips_delta_lama_minus_opencv,restored_lpips_delta_lama_minus_opencv,lpips_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_restored_lpips,winner_lpips_improvement
p002_loss_large,p002,p002_loss_large,loss_large,full_image,0.17036934196949,0.0414003729820251,0.1289689689874649,0.17036934196949,0.0276478677988052,0.1427214741706848,0.0,-0.0137525051832199,0.013752505183219882,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,content_region,0.2480290681123733,0.0748703032732009,0.1731587648391723,0.2480290681123733,0.0490943007171154,0.1989347673952579,0.0,-0.025776002556085503,0.025776002556085587,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,mask_bbox_crop,0.5892032980918884,0.2020873725414276,0.3871159255504608,0.5892032980918884,0.1409669071435928,0.4482363909482956,0.0,-0.061120465397834806,0.06112046539783478,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,full_image,0.1489289551973343,0.013435399159789,0.1354935560375452,0.1489289551973343,0.004376505035907,0.1445524501614272,0.0,-0.009058894123882,0.009058894123882,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,content_region,0.2280691266059875,0.0192110035568475,0.2088581230491399,0.2280691266059875,0.006710925605148,0.2213582010008394,0.0,-0.012500077951699499,0.012500077951699495,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,mask_bbox_crop,0.1513971984386444,0.0136558897793293,0.1377413086593151,0.1513971984386444,0.0045071067288517,0.1468900917097926,0.0,-0.0091487830504776,0.009148783050477477,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,full_image,0.4236736595630646,0.0505921393632888,0.3730815201997757,0.4236736595630646,0.0218506455421447,0.4018230140209198,0.0,-0.028741493821144104,0.028741493821144104,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,content_region,0.4855086803436279,0.0710482001304626,0.4144604802131653,0.4855086803436279,0.0331749841570854,0.4523336961865425,0.0,-0.03787321597337721,0.03787321597337723,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,mask_bbox_crop,0.4236736595630646,0.0505921393632888,0.3730815201997757,0.4236736595630646,0.0218506455421447,0.4018230140209198,0.0,-0.028741493821144104,0.028741493821144104,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,full_image,0.285620242357254,0.0016085176030173,0.2840117247542366,0.285620242357254,0.0003634991589933,0.2852567431982606,0.0,-0.001245018444024,0.0012450184440240264,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
