case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,distance_from_median_mse_improvement,mse_improved,mae_improved,psnr_improved,ssim_improved,num_classical_metrics_improved,num_classical_metrics_worsened_or_tied,selection_reason,clean_path,damaged_path,restored_path,mask_path
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,14929,,,,,14929,2.6092,2.5311,5889.0458984375,6026.02734375,-136.9814453125,56.945430755615234,66.25721740722656,-9.311786651611328,10.43035421701841,10.330492628679773,-0.0998615883386389,,,,ok,,,,,,,,,worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p032_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,13905,,,,,13905,2.3575,2.3575,2009.9451904296875,9849.736328125,-7839.791137695312,29.34335327148437,90.69157409667967,-61.34822082519531,15.098961461431877,8.196557560325354,-6.902403901106522,,,,ok,,,,,,,,,worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p036_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_scratch_thin_mask.png
p040_scratch_thin,p040,abstraction_surrealism,Houses at Murnau,p040_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,12885,,,,,12885,2.834,2.1845,29196.3984375,3190.71044921875,26005.68798828125,159.99632263183594,42.94758605957031,117.04873657226562,3.477510791177547,13.091929662676788,9.61441887149924,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p040_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_scratch_thin_mask.png
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",p029_loss_large,loss_large,stable_diffusion_inpainting,masked_region,39135,,,,,39135,10.2118,6.635,25465.892578125,984.3470458984376,24481.54553222656,157.1780548095703,23.248523712158203,133.9295310974121,4.071214580913952,18.199321185887555,14.128106604973604,,,,ok,,45.65023803711301,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p029_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p029_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p029_loss_large_mask.png
p030_loss_large,p030,architecture_structured,Interior with Five Women,p030_loss_large,loss_large,stable_diffusion_inpainting,masked_region,49329,,,,,49329,12.7189,8.3633,30887.75390625,1215.194580078125,29672.559326171875,173.4069061279297,24.96295547485352,148.44395065307617,3.2329403241714108,17.284345370173046,14.051405046001635,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p030_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_loss_large_mask.png
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24273,,,,,24273,5.2852,4.1153,37372.19921875,1078.51220703125,36293.68701171875,189.66786193847656,20.53844451904297,169.1294174194336,2.405317056068537,17.802552958833935,15.3972359027654,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p022_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_small_mask.png
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,50041,,,,,50041,10.0397,8.4841,25224.640625,1163.806884765625,24060.83374023437,150.0067138671875,21.98494529724121,128.0217685699463,4.11255373300537,17.471994388346495,13.359440655341125,,,,ok,,466.3620300293005,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p021_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p021_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p021_mixed_damage_mask.png
p024_mixed_damage,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,50443,,,,,50443,10.9834,8.5522,36625.9296875,744.553466796875,35881.376220703125,186.20074462890625,17.136524200439453,169.0642204284668,2.4929170353231807,19.41184470732576,16.918927672002578,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p024_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p024_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p024_mixed_damage_mask.png
p028_mixed_damage,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,41078,,,,,41078,10.0729,6.9645,24707.541015625,700.902587890625,24006.63842773437,151.71751403808594,18.16761589050293,133.549898147583,4.20250835882067,19.674226973681105,15.471718614860436,,,,ok,,520.5573425293005,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p028_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p028_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p028_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p028_mixed_damage_mask.png
p024_scratch_thin,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,8821,,,,,8821,1.9207,1.4955,35586.66015625,1610.8016357421875,33975.85852050781,183.5314178466797,25.84956359863281,157.68185424804688,2.6179312992428394,16.060382989134915,13.442451689892076,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p024_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p024_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p024_scratch_thin_mask.png
