category,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
abstraction_surrealism,140,50,0.15709,0.02828,0.12881,0.16623,0.00725,0.13008,0.85714,524982.7
architecture_structured,140,50,0.24875,0.02989,0.21886,0.23516,0.00977,0.215,0.85714,482446.84286
high_texture_brushwork,140,50,0.24115,0.02934,0.21181,0.24249,0.00949,0.23148,0.85714,496638.98571
landscape_natural,140,50,0.2284,0.02766,0.20074,0.21585,0.01011,0.18682,0.85714,480574.62143
portrait_figure,140,50,0.25981,0.02547,0.23434,0.25284,0.00609,0.23976,0.85714,501749.97857
