case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p024_mixed_damage,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p024_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p024_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,50443,15.924281120300293,6.741487979888916,9.182794570922852,248.6666717529297,176.0,-155.3333282470703,240.6666717529297,186.20074462890625,17.13652229309082,169.06422424316406,32,50411,0,0.06343793985290329,99.9365620601471,ok,
p028_mixed_damage,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p028_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p028_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,41078,10.566290855407715,5.8152289390563965,4.751063346862793,223.6666717529297,147.3333282470703,-108.0,213.0,151.717529296875,18.16761589050293,133.54991149902344,180,40895,3,0.4381907590437704,99.55450606163883,ok,
p024_scratch_thin,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p024_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p024_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,8821,2.7447688579559326,5.777121067047119,-3.0323524475097656,247.0,162.6666717529297,-146.6666717529297,240.3333282470703,183.5314178466797,25.849565505981445,157.68185424804688,51,8770,0,0.5781657408457092,99.4218342591543,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,,p042_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p042_loss_large_stable_diffusion_inpainting_error_maps.png,589824,44565,5.3038330078125,6.709376811981201,-1.4055453538894653,91.66666412353516,149.6666717529297,-149.6666717529297,87.33333587646484,70.19696807861328,6.136676788330078,64.0602798461914,54,44511,0,0.12117132278694043,99.87882867721306,ok,
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,,p050_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p050_loss_large_stable_diffusion_inpainting_error_maps.png,589824,51958,16.700716018676758,8.587952613830566,8.11275863647461,236.3333282470703,167.3333282470703,-109.0,229.0,189.58544921875,27.350852966308594,162.234619140625,0,51958,0,0.0,100.0,ok,
p048_loss_small,p048,high_texture_brushwork,A Farm in Brittany,p048_loss_small,loss_small,stable_diffusion_inpainting,,p048_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p048_loss_small_stable_diffusion_inpainting_error_maps.png,589824,24841,6.299430847167969,6.967583179473877,-0.6681522727012634,220.0,139.3333282470703,-135.6666717529297,208.0,149.57351684570312,16.481918334960938,133.0915985107422,61,24777,3,0.24556177287548808,99.74236141862244,ok,
p050_loss_small,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_small,loss_small,stable_diffusion_inpainting,,p050_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p050_loss_small_stable_diffusion_inpainting_error_maps.png,589824,14760,4.587161064147949,7.15083646774292,-2.5636749267578125,234.6666717529297,99.33333587646484,-99.33333587646484,228.33334350585938,183.3074493408203,17.132904052734375,166.17454528808594,0,14760,0,0.0,100.0,ok,
p041_mixed_damage,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p041_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p041_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,41902,10.846080780029297,12.509896278381348,-1.6638156175613403,255.0,200.3333282470703,-194.3333282470703,255.0,152.67237854003906,27.810876846313477,124.86151885986328,390,41508,4,0.9307431626175361,99.05971075366331,ok,
p044_mixed_damage,p044,high_texture_brushwork,Versailles,p044_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p044_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p044_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,49669,12.801214218139648,7.003357887268066,5.797858238220215,255.0,196.0,-162.3333282470703,255.0,152.01564025878906,17.86580467224121,134.1498260498047,84,49584,1,0.16911957156375204,99.82886710020334,ok,
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p050_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p050_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,39368,12.798150062561035,8.329690933227539,4.468459606170654,255.0,165.0,-128.0,255.0,191.74598693847656,23.058626174926758,168.68736267089844,0,39368,0,0.0,100.0,ok,
