feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,feature_input_size,clip_model_name,clip_model_revision,dinov2_model_name,dinov2_model_revision,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,metric_runtime_seconds,case_runtime_seconds,feature_similarity_schema_version,feature_similarity_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,torchvision_version,transformers_version,status,issue
lama__canonical__canonical__p001_scratch_thin__content_region__feature_similarity,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,content_region,509184,52,0,715,768,12058,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_scratch_thin__content_region__clean,lama__canonical__canonical__p001_scratch_thin__content_region__damaged,lama__canonical__canonical__p001_scratch_thin__content_region__restored,canonical__p001__content_region,0.8692002296447754,0.9996028542518616,0.13040262460708618,0.9204961061477661,0.9996647834777832,0.07916867733001709,0.10478565096855164,0.17501759994775057,0.6381484000012279,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,mask_bbox_crop,589824,0,0,768,768,12058,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__clean,lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__damaged,lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.7972686290740967,0.9994229674339294,0.20215433835983276,0.8988736867904663,0.9995550513267517,0.1006813645362854,0.15141785144805908,0.19189010001718998,0.6381484000012279,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_zero_control__full_image__feature_similarity,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,canonical__p001_zero_control,p001_zero_control,canonical__p001_zero_control,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_zero_control,zero_control,p001_zero_control,zero_control,full_image,589824,0,0,768,768,0,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_zero_control__full_image__clean,lama__canonical__canonical__p001_zero_control__full_image__damaged,lama__canonical__canonical__p001_zero_control__full_image__restored,canonical__p001__full_image,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.17460679996293038,0.4308260000543669,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p001_zero_control__content_region__feature_similarity,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,canonical__p001_zero_control,p001_zero_control,canonical__p001_zero_control,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_zero_control,zero_control,p001_zero_control,zero_control,content_region,509184,52,0,715,768,0,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p001_zero_control__content_region__clean,lama__canonical__canonical__p001_zero_control__content_region__damaged,lama__canonical__canonical__p001_zero_control__content_region__restored,canonical__p001__content_region,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16830490005668253,0.4308260000543669,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_large__full_image__feature_similarity,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,p002_loss_large,canonical__p002_loss_large,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_large,loss_large,p002_loss_large,loss_large,full_image,589824,0,0,768,768,37439,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_large__full_image__clean,lama__canonical__canonical__p002_loss_large__full_image__damaged,lama__canonical__canonical__p002_loss_large__full_image__restored,canonical__p002__full_image,0.7285242080688477,0.9219663143157959,0.19344210624694824,0.7477172613143921,0.9291639924049377,0.18144673109054565,0.18744441866874695,0.1733576999977231,0.5725858999649063,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_large__content_region__feature_similarity,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,p002_loss_large,canonical__p002_loss_large,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_large,loss_large,p002_loss_large,loss_large,content_region,344832,159,0,608,768,37439,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_large__content_region__clean,lama__canonical__canonical__p002_loss_large__content_region__damaged,lama__canonical__canonical__p002_loss_large__content_region__restored,canonical__p002__content_region,0.7428953647613525,0.9450424313545227,0.20214706659317017,0.7636585235595703,0.8927119970321655,0.12905347347259521,0.1656002700328827,0.16513189999386668,0.5725858999649063,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_large__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,p002_loss_large,canonical__p002_loss_large,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_large,loss_large,p002_loss_large,loss_large,mask_bbox_crop,91204,173,61,475,363,37439,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_large__mask_bbox_crop__clean,lama__canonical__canonical__p002_loss_large__mask_bbox_crop__damaged,lama__canonical__canonical__p002_loss_large__mask_bbox_crop__restored,canonical__p002__mask_bbox_crop,0.5955724716186523,0.8702566623687744,0.27468419075012207,0.5497581958770752,0.8334699273109436,0.2837117314338684,0.27919796109199524,0.16101909999269992,0.5725858999649063,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_small__full_image__feature_similarity,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,p002_loss_small,canonical__p002_loss_small,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_small,loss_small,p002_loss_small,loss_small,full_image,589824,0,0,768,768,18776,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_small__full_image__clean,lama__canonical__canonical__p002_loss_small__full_image__damaged,lama__canonical__canonical__p002_loss_small__full_image__restored,canonical__p002__full_image,0.9261919260025024,0.999302327632904,0.07311040163040161,0.9102822542190552,0.9990552067756653,0.08877295255661011,0.08094167709350586,0.1678533999947831,0.5873188999248669,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_small__content_region__feature_similarity,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,p002_loss_small,canonical__p002_loss_small,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_small,loss_small,p002_loss_small,loss_small,content_region,344832,159,0,608,768,18776,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_small__content_region__clean,lama__canonical__canonical__p002_loss_small__content_region__damaged,lama__canonical__canonical__p002_loss_small__content_region__restored,canonical__p002__content_region,0.9221912622451782,0.999274492263794,0.07708323001861572,0.9465309381484985,0.9989491105079651,0.05241817235946655,0.06475070118904114,0.1606877000303939,0.5873188999248669,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
lama__canonical__canonical__p002_loss_small__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,p002_loss_small,canonical__p002_loss_small,canonical,primary,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,p002_loss_small,loss_small,p002_loss_small,loss_small,mask_bbox_crop,343396,82,43,668,629,18776,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,lama__canonical__canonical__p002_loss_small__mask_bbox_crop__clean,lama__canonical__canonical__p002_loss_small__mask_bbox_crop__damaged,lama__canonical__canonical__p002_loss_small__mask_bbox_crop__restored,canonical__p002__mask_bbox_crop,0.9470783472061157,0.9994034767150879,0.05232512950897217,0.9390333890914917,0.9982912540435791,0.0592578649520874,0.055791497230529785,0.18653109995648265,0.5873188999248669,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.20.1+cu121,4.49.0,ok,
