mask_type,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
loss_large,150,50,0.28864,0.16491,0.12373,0.224,0.12082,0.10408,1.0,406007.07333
loss_small,150,50,0.17794,0.02138,0.15657,0.16297,0.01894,0.14182,1.0,489403.76
mixed_damage,150,50,0.32552,0.05246,0.27306,0.32162,0.05059,0.27859,1.0,538795.30667
scratch_thin,150,50,0.26742,0.00338,0.26404,0.26032,0.00197,0.2566,1.0,538267.44667
zero_control,100,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522240.0
