original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,lpips_net,lpips_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_lpips_distance
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,167,142,527,683,360,541,0.31866616010665894
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,167,142,527,683,360,541,0.33197182416915894
p010_loss_large,p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,167,142,527,683,360,541,0.36212339997291565
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,18,92,738,691,720,599,0.05970163643360138
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,18,92,738,691,720,599,0.06168389692902565
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,18,92,738,691,720,599,0.06405973434448242
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,18,92,738,691,720,599,0.06051602214574814
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,18,92,738,691,720,599,0.05490515008568764
p010_loss_small,p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,18,92,738,691,720,599,0.06445517390966415
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,20,768,747,768,727,0.1052141785621643
