dataset_name,case_id,painting_id,mask_id,mask_type,category,model_name,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,improvement_std_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
canonical,p001_loss_large,p001,,,portrait_figure,opencv_telea,589824,69018,25.746440887451172,1.2979121208190918,24.448530197143555,254.0,143.6666717529297,-56.333335876464844,248.0,220.0276641845703,11.09188461303711,208.93577575683594,31.118331909179688,26,68991,1,0.037671332116259525,99.96087977049466
canonical,p001_loss_small,p001,,,portrait_figure,opencv_telea,589824,18239,7.1887383460998535,0.14046111702919006,7.048277854919434,252.0,65.33333587646484,0.0,247.0,232.47381591796875,4.542317867279053,227.93150329589844,18.35050392150879,0,18239,0,0.0,100.0
canonical,p001_mixed_damage,p001,,,portrait_figure,opencv_telea,589824,45733,17.357267379760742,1.0336556434631348,16.323612213134766,255.0,108.66666412353516,0.0,254.3333282470703,223.85874938964844,13.331174850463867,210.527587890625,34.03352355957031,0,45733,0,0.0,100.0
canonical,p001_scratch_thin,p001,,,portrait_figure,opencv_telea,589824,12058,4.526925563812256,0.0869733989238739,4.439952373504639,255.0,95.66666412353516,0.0,253.0,221.43716430664062,4.254354000091553,217.18280029296875,28.250825881958008,0,12058,0,0.0,100.0
canonical,p001_zero_control,p001,,,portrait_figure,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p002_loss_large,p002,,,portrait_figure,opencv_telea,589824,37439,11.456361770629883,1.3658976554870605,10.09046459197998,246.0,186.0,-141.3333282470703,241.33334350585938,180.486572265625,21.518718719482422,158.9678497314453,71.35555267333984,2264,35164,11,6.047170063302973,93.92344881006437
canonical,p002_loss_small,p002,,,portrait_figure,opencv_telea,589824,18776,6.632436752319336,0.17778073251247406,6.454656600952148,255.0,133.0,-11.0,255.0,208.34951782226562,5.584753513336182,202.7647705078125,21.459068298339844,3,18773,0,0.015977844056242013,99.98402215594376
canonical,p002_mixed_damage,p002,,,portrait_figure,opencv_telea,589824,34546,12.076332092285156,0.3974665403366089,11.678863525390625,255.0,125.33333587646484,0.0,255.0,206.18624877929688,6.7861785888671875,199.40003967285156,31.605579376220703,0,34546,0,0.0,100.0
canonical,p002_scratch_thin,p002,,,portrait_figure,opencv_telea,589824,9599,3.5371804237365723,0.0729353129863739,3.464245080947876,255.0,74.33333587646484,0.0,255.0,217.34701538085938,4.481612682342529,212.86538696289062,30.146835327148438,0,9599,0,0.0,100.0
canonical,p002_zero_control,p002,,,portrait_figure,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p003_loss_large,p003,,,portrait_figure,opencv_telea,589824,61056,19.12736701965332,2.181410074234009,16.945959091186523,237.6666717529297,153.6666717529297,-122.66666412353516,232.3333282470703,184.77760314941406,21.073244094848633,163.70437622070312,49.482666015625,694,60360,2,1.13666142557652,98.86006289308176
canonical,p003_loss_small,p003,,,portrait_figure,opencv_telea,589824,21602,6.794864177703857,0.4480862021446228,6.346779823303223,234.6666717529297,134.6666717529297,-82.33332824707031,231.0,185.5279541015625,12.234607696533203,173.2933349609375,49.05537414550781,195,21404,3,0.9026941949819461,99.08341820201834
canonical,p003_mixed_damage,p003,,,portrait_figure,opencv_telea,589824,43486,15.02254581451416,0.7135958671569824,14.308951377868652,255.0,134.0,-97.0,231.3333282470703,203.7588653564453,9.678885459899902,194.07998657226562,33.63204574584961,64,43422,0,0.14717380306305478,99.85282619693695
canonical,p003_scratch_thin,p003,,,portrait_figure,opencv_telea,589824,7403,2.491366386413574,0.0640648752450943,2.4273018836975098,255.0,75.0,0.0,231.0,198.4962921142578,5.104281902313232,193.39199829101562,28.902713775634766,0,7403,0,0.0,100.0
