case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement
p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,48015.95104980469,981.8536376953124,200.80171585083008,16.981298687118507,0.5921071767807007,0.2738807201385498,0.3182264566421509
p001_loss_small,p001,portrait_figure,Juan de Pareja,loss_small,46962.81076812744,32.689231872558594,212.51450848579407,31.5765155885504,0.34100931882858276,0.007826346904039383,0.3331829719245434
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,mixed_damage,50520.93118286133,219.76803588867188,216.62253284454343,23.63391920787114,0.41632840037345886,0.030484460294246674,0.3858439400792122
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,scratch_thin,48335.43656921387,173.1220245361328,211.37976169586184,24.47466047771981,0.4253467917442322,0.005461147055029869,0.4198856446892023
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_large,50914.55773925781,315.2899169921875,213.73927211761475,22.10812982221108,0.5892032980918884,0.2020873725414276,0.3871159255504608
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_small,45021.30486297608,73.05841827392578,206.42278003692627,27.904519937637083,0.1513971984386444,0.0136558897793293,0.1377413086593151
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),mixed_damage,45717.56604003906,281.3128662109375,202.91853427886963,22.13557651455624,0.4236736595630646,0.05059213936328888,0.3730815201997757
p002_scratch_thin,p002,portrait_figure,Madame X (Madame Pierre Gautreau),scratch_thin,50114.38048553467,69.27576446533203,218.87821745872495,28.59980972725987,0.28562024235725403,0.0016085176030173898,0.28401172475423664
p003_loss_large,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_large,31275.55145263672,843.3235473632812,155.66765975952148,15.80766098306818,0.5375250577926636,0.2970004081726074,0.24052464962005615
p003_loss_small,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,loss_small,35172.7975769043,452.4289855957031,172.93438148498535,18.962072140442075,0.1557527482509613,0.026070980355143547,0.12968176789581776
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,mixed_damage,33403.221435546875,594.505126953125,166.1173334121704,17.572942723362328,0.35796433687210083,0.05214402452111244,0.3058203123509884
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,scratch_thin,36839.0802154541,157.76744079589844,182.3713212013245,23.70147340522485,0.2528427243232727,0.0022690342739224434,0.25057369004935026
