mask_type,rows,cases,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,improvement_rate,mean_region_pixel_count
loss_large,150,50,0.28864,0.09568,0.19297,0.224,0.06758,0.16213,1.0,406007.07333
loss_small,150,50,0.17794,0.00831,0.16963,0.16297,0.00747,0.15413,1.0,489403.76
mixed_damage,150,50,0.32552,0.02521,0.30031,0.32162,0.02388,0.30188,1.0,538795.30667
scratch_thin,150,50,0.26742,0.00207,0.26535,0.26032,0.00168,0.25864,1.0,538267.44667
zero_control,100,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522240.0
