dataset_name,evaluation_region,mask_type,category,inference_mode,source_mask_semantics,lama_applicability,metric,row_count,valid_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,zero_improvement_count,negative_improvement_count,positive_improvement_share
canonical,outside_mask_region,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,9704.587353515624,9908.412109375,5168.307840270796,1808.93017578125,17468.73046875,,,,
canonical,full_image,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,633.5193473815918,636.2691955566406,298.569897744345,117.9967269897461,1139.4671630859375,,,,
canonical,content_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,896.3080078125,933.9259948730469,381.70381933247575,171.30715942382812,1300.313232421875,,,,
canonical,masked_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,21102.413525390624,21371.01171875,9491.741974848243,5340.49267578125,39360.7734375,,,,
canonical,boundary_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,10424.630419921876,10627.306640625,4709.47444860418,2542.6337890625,19184.396484375,,,,
canonical,outside_mask_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,1621.0963134765625,1483.46240234375,770.0000979254016,575.8124389648438,3163.88525390625,,,,
canonical,full_image,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,1568.823782348633,1384.7871704101562,859.0173285993758,321.7438659667969,2833.8173828125,,,,
canonical,content_region,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,2254.7229736328127,1943.4375610351562,1231.1329533623025,467.1064453125,4015.318359375,,,,
canonical,masked_region,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,22116.914794921875,20960.7294921875,11571.63016757182,5547.43603515625,39053.0546875,,,,
canonical,boundary_region,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,9776.471997070312,9417.94775390625,4900.192374226094,3129.123779296875,16431.6484375,,,,
canonical,outside_mask_region,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,2239.8619171142577,1946.6014404296875,1187.4431192472186,453.3932189941406,4023.25439453125,,,,
canonical,full_image,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,367.89428863525393,331.717041015625,173.07735088803827,150.35494995117188,621.8952026367188,,,,
canonical,content_region,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,539.2238098144531,433.68263244628906,290.70025794709187,218.28472900390625,1097.9666748046875,,,,
canonical,masked_region,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,25822.5419921875,24352.5625,13691.711040255228,10076.22265625,43906.1015625,,,,
canonical,boundary_region,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,9458.994775390625,9299.09326171875,4955.431261530876,3506.958740234375,17593.298828125,,,,
canonical,outside_mask_region,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,scratch_thin,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,548.9714218139649,421.82867431640625,290.6331293547407,211.87632751464844,1059.0142822265625,,,,
canonical,full_image,zero_control,landscape_natural,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,content_region,zero_control,landscape_natural,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,full_image,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,2286.5278930664062,2523.3524169921875,861.6420085239536,627.170166015625,3690.8466796875,,,,
canonical,content_region,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,3041.166607666016,3297.555908203125,1020.9111638479977,907.0933227539062,4740.0830078125,,,,
canonical,masked_region,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,25694.99677734375,27328.0693359375,8810.893535923364,7792.2177734375,40395.421875,,,,
canonical,boundary_region,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,12913.533642578124,13449.64990234375,4469.885117828399,4264.57958984375,20055.865234375,,,,
canonical,outside_mask_region,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,14820.39326171875,15284.69580078125,4962.408708565997,4225.1455078125,21320.068359375,,,,
canonical,full_image,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,866.6896667480469,773.6041259765625,371.38785391730704,331.9775390625,1466.5634765625,,,,
canonical,content_region,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,1154.3955078125,1150.7088623046875,445.0025829117408,480.148193359375,1883.47900390625,,,,
canonical,masked_region,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,28223.64677734375,26476.419921875,9416.403422000923,12110.8544921875,42134.15234375,,,,
canonical,boundary_region,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,13339.91318359375,12431.046875,4439.766199751305,5721.5146484375,20006.8515625,,,,
canonical,outside_mask_region,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,2032.4931396484376,2047.6160278320312,830.9065442584093,796.9405517578125,3398.3427734375,,,,
canonical,full_image,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,2011.9960571289062,1941.1663818359375,623.9306000162816,1131.31884765625,3058.92529296875,,,,
canonical,content_region,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,2714.8740844726562,2727.3709716796875,784.034726563734,1357.58251953125,3928.5205078125,,,,
canonical,masked_region,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,27761.29150390625,26807.5283203125,8620.796111602316,14978.8798828125,40136.76953125,,,,
canonical,boundary_region,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,11842.78154296875,12094.09619140625,3056.7644465334956,7001.78076171875,15483.408203125,,,,
canonical,outside_mask_region,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,mixed_damage,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,2684.789196777344,2702.49267578125,808.3465135123549,1324.4708251953125,3985.606201171875,,,,
canonical,full_image,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,439.3841979980469,482.41221618652344,155.37904466671088,213.25021362304688,624.265869140625,,,,
canonical,content_region,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,587.7606964111328,622.4833374023438,199.23019076995655,308.4295349121094,909.3739013671875,,,,
canonical,masked_region,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,28125.6955078125,29332.1865234375,8365.736108405663,18328.73046875,37931.671875,,,,
canonical,boundary_region,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,10224.444873046876,11624.39599609375,3088.6125525755197,6180.06103515625,13696.9580078125,,,,
canonical,outside_mask_region,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,scratch_thin,architecture_structured,model_inference,binary_missing_content,primary,damaged_mse,10,10,600.9475524902343,666.4213562011719,207.67856940597426,312.42578125,881.4470825195312,,,,
canonical,full_image,zero_control,architecture_structured,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,content_region,zero_control,architecture_structured,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,full_image,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,2131.20341796875,2259.14306640625,1119.91658655083,682.2582397460938,3773.205810546875,,,,
canonical,content_region,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,2512.874639892578,2649.700927734375,1317.7980388192855,682.2582397460938,4894.970703125,,,,
canonical,masked_region,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,19515.435986328124,21625.548828125,9745.646590120567,5086.74462890625,35649.50390625,,,,
canonical,boundary_region,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,9759.470654296874,10485.3564453125,4164.206633302516,2999.1240234375,16191.02734375,,,,
canonical,outside_mask_region,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,8858.383129882812,7937.375,4812.244195117193,1818.410400390625,17968.81640625,,,,
canonical,full_image,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,620.1690948486328,640.9749145507812,324.3224088077788,171.56410217285156,992.20703125,,,,
canonical,content_region,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,743.0135498046875,794.1980895996094,401.09777067832573,176.86070251464844,1322.0050048828125,,,,
canonical,masked_region,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,19669.84052734375,21973.427734375,9225.786878645546,5367.83251953125,29890.8671875,,,,
canonical,boundary_region,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,9208.290161132812,10749.40234375,4273.2073355946895,2505.384765625,14066.083984375,,,,
canonical,outside_mask_region,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,1158.9688201904296,1196.0307006835938,581.248735263372,276.04180908203125,2009.9742431640625,,,,
canonical,full_image,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,1496.6748046875,1600.57861328125,596.4375942978481,541.311767578125,2259.625,,,,
canonical,content_region,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,1831.8076538085938,1707.1448974609375,867.4456726177693,541.311767578125,2997.223876953125,,,,
canonical,masked_region,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,20021.375146484374,19867.654296875,8655.54993874083,6036.99755859375,30144.560546875,,,,
canonical,boundary_region,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,8679.859033203125,8519.347412109375,4005.636386629946,2063.90673828125,13902.33984375,,,,
canonical,outside_mask_region,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,mixed_damage,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,1862.7695068359376,1715.7072143554688,895.7899719201885,545.5740966796875,2936.962890625,,,,
canonical,full_image,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,327.01330986022947,311.0370178222656,194.44499440171538,55.54550552368164,676.8971557617188,,,,
canonical,content_region,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,393.8270450592041,379.09153747558594,228.2489759903396,55.54550552368164,736.2138061523438,,,,
canonical,masked_region,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,19321.26083984375,20666.046875,8284.15224303502,3952.4755859375,29982.44921875,,,,
canonical,boundary_region,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,7045.940759277344,7832.203369140625,2930.0729366759906,1586.1375732421875,10458.7109375,,,,
canonical,outside_mask_region,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,scratch_thin,abstraction_surrealism,model_inference,binary_missing_content,primary,damaged_mse,10,10,400.78908462524413,385.6537170410156,221.2773257089531,56.056434631347656,743.9635009765625,,,,
canonical,full_image,zero_control,abstraction_surrealism,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,content_region,zero_control,abstraction_surrealism,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,full_image,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,2427.22294921875,2074.2657470703125,1185.100426307289,406.389892578125,3801.044921875,,,,
canonical,content_region,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,3073.8079833984375,2995.0062255859375,1429.506883984089,631.7965087890625,4777.74609375,,,,
canonical,masked_region,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,24704.796875,26377.8564453125,9952.635717615669,5818.2080078125,37926.26953125,,,,
canonical,boundary_region,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,12466.1560546875,13362.17822265625,4567.922565029376,3730.0,19623.58203125,,,,
