model,cases,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_brushstroke_orientation_histogram_l1_distance,mean_brushstroke_orientation_coherence_difference
lama,250,0.006404720460743642,0.001644907887461298,0.00871912972517559,0.00746980669084093
opencv_telea,250,0.011016290475749336,0.004183814695191395,0.014872996885722365,0.012220261354567611
stable_diffusion_inpainting,250,0.01853921642640612,0.01530259588472263,0.029881523688094914,0.031497385463290554
