mask_type,cases,mean_global_uncertainty,mean_masked_uncertainty,median_masked_uncertainty,mean_bbox_uncertainty,mean_boundary_uncertainty,mean_outside_mask_uncertainty,mean_masked_vs_global_ratio,mean_boundary_vs_global_ratio,dashboard_section,category
loss_large,10,4.750953722000122,24.622568130493164,22.084580421447757,14.70220069885254,6.614203262329101,2.5469935536384583,5.362492239101655,1.41911193215172,uncertainty_by_mask_type,
mixed_damage,10,4.050491309165954,17.688852882385255,17.553786277770996,4.718453526496887,6.0241361379623415,2.8964453101158143,4.499372065070934,1.461297348910916,uncertainty_by_mask_type,
loss_small,10,2.985344409942627,16.047954654693605,15.56232213973999,3.9711985111236574,6.301782464981079,2.49419219493866,5.500481212753523,2.095952237442849,uncertainty_by_mask_type,
scratch_thin,10,2.860343170166016,12.07471523284912,11.95754051208496,3.26740517616272,5.300037741661072,2.692349946498871,4.432005572829649,1.887867493955512,uncertainty_by_mask_type,
,8,3.711134791374207,20.055819272994995,21.05758476257324,6.663922309875488,5.623687207698822,2.446154937148094,5.68290990719318,1.5943313962588934,uncertainty_by_category,abstraction_surrealism
,8,3.00508388876915,19.835182905197144,17.513558387756348,6.691588342189789,4.645025610923767,1.845033377408981,6.4421902089293495,1.6563020267511694,uncertainty_by_category,landscape_natural
,8,4.619064480066299,18.022746086120605,15.380099773406982,7.594926923513412,7.170385539531708,3.5378298163414,3.8358111442633,1.6326197683853878,uncertainty_by_category,portrait_figure
,8,3.856591910123825,15.738839507102966,16.21989345550537,6.582486867904663,7.371399462223053,3.011359423398972,4.160744025135715,1.9014016543220225,uncertainty_by_category,high_texture_brushwork
,8,3.117040693759918,14.390025854110718,13.334216594696043,5.791147947311401,5.489701688289642,2.4470987021923065,4.621283576673156,1.7956314198587726,uncertainty_by_category,architecture_structured
