full_lpips_run_id,full_input_case_count,full_expected_lpips_rows,lpips_row_id,lpips_case_id,metric_case_id,candidate_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,lpips_net,lpips_input_size,damaged_lpips,restored_lpips,lpips_improvement,metric_runtime_seconds,case_runtime_seconds,lpips_schema_version,lpips_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,lpips_package_version,status,issue,candidate_index,candidate_seed,effective_candidate_seed,prompt_policy_id,prompt_variant_id,prompt_template_name,prompt_variant_family,prompt_variant_order,prompt_ablation_subset,inference_mode,execution_device,scheduler_name,num_inference_steps,guidance_scale,strength
sd_lpips_full_20260808T071919Z,945,2724,sd24_0406__content_region__lpips,sd24_0406,sd24_0406,sd__can__p044__zero__p02_artist__s2026__fc99e6269b,sd__can__p044__zero__p02_artist__s2026__fc99e6269b,p044_zero_control,p044_zero_control,p044_zero_control,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_zero_control,zero_control,p044_zero_control,zero_control,content_region,492288,0,63,768,704,0,True,> 127,8,alex,256,0.0,0.0,0.0,0.06638899998506531,0.26240980002330616,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,406,2026,2026,sd_inpaint_prompt_ablation_v1,p02_artist,artist_context,contextual,2,True,copied_zero_control,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0407__full_image__lpips,sd24_0407,sd24_0407,sd__can__p044__zero__p03_artist_style_p__s2026__883ee89681,sd__can__p044__zero__p03_artist_style_p__s2026__883ee89681,p044_zero_control,p044_zero_control,p044_zero_control,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_zero_control,zero_control,p044_zero_control,zero_control,full_image,589824,0,0,768,768,0,True,> 127,8,alex,256,0.0,0.0,0.0,0.08290180002222769,0.27027609999640845,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,407,2026,2026,sd_inpaint_prompt_ablation_v1,p03_artist_style_period,artist_style_period_context,contextual,3,True,copied_zero_control,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0407__content_region__lpips,sd24_0407,sd24_0407,sd__can__p044__zero__p03_artist_style_p__s2026__883ee89681,sd__can__p044__zero__p03_artist_style_p__s2026__883ee89681,p044_zero_control,p044_zero_control,p044_zero_control,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_zero_control,zero_control,p044_zero_control,zero_control,content_region,492288,0,63,768,704,0,True,> 127,8,alex,256,0.0,0.0,0.0,0.06966869998723269,0.27027609999640845,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,407,2026,2026,sd_inpaint_prompt_ablation_v1,p03_artist_style_period,artist_style_period_context,contextual,3,True,copied_zero_control,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0408__full_image__lpips,sd24_0408,sd24_0408,sd__can__p044__zero__p04_full_context__s2026__4325a0fe99,sd__can__p044__zero__p04_full_context__s2026__4325a0fe99,p044_zero_control,p044_zero_control,p044_zero_control,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_zero_control,zero_control,p044_zero_control,zero_control,full_image,589824,0,0,768,768,0,True,> 127,8,alex,256,0.0,0.0,0.0,0.07335389999207109,0.27124770000227727,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,408,2026,2026,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,4,True,copied_zero_control,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0408__content_region__lpips,sd24_0408,sd24_0408,sd__can__p044__zero__p04_full_context__s2026__4325a0fe99,sd__can__p044__zero__p04_full_context__s2026__4325a0fe99,p044_zero_control,p044_zero_control,p044_zero_control,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_zero_control,zero_control,p044_zero_control,zero_control,content_region,492288,0,63,768,704,0,True,> 127,8,alex,256,0.0,0.0,0.0,0.06666010001208633,0.27124770000227727,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,408,2026,2026,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,4,True,copied_zero_control,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0409__full_image__lpips,sd24_0409,sd24_0409,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,p045_loss_large,p045_loss_large,p045_loss_large,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_large,loss_large,p045_loss_large,loss_large,full_image,589824,0,0,768,768,53249,False,> 127,8,alex,256,0.13705340027809143,0.06506624817848206,0.07198715209960938,0.09316089999629185,0.40256280000903644,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,409,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0409__content_region__lpips,sd24_0409,sd24_0409,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,p045_loss_large,p045_loss_large,p045_loss_large,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_large,loss_large,p045_loss_large,loss_large,content_region,492288,63,0,704,768,53249,False,> 127,8,alex,256,0.1678803265094757,0.08189576864242554,0.08598455786705017,0.07011230001808144,0.40256280000903644,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,409,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0409__mask_bbox_crop__lpips,sd24_0409,sd24_0409,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,sd__can__p045__loss_large__p00_generic__s2026__f0d8cab85a,p045_loss_large,p045_loss_large,p045_loss_large,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_large,loss_large,p045_loss_large,loss_large,mask_bbox_crop,107584,209,187,537,515,53249,False,> 127,8,alex,256,0.5448774099349976,0.3090941309928894,0.23578327894210815,0.049563499982468784,0.40256280000903644,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,409,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0410__full_image__lpips,sd24_0410,sd24_0410,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,p045_loss_small,p045_loss_small,p045_loss_small,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_small,loss_small,p045_loss_small,loss_small,full_image,589824,0,0,768,768,21737,False,> 127,8,alex,256,0.12679177522659302,0.035837892442941666,0.09095388278365135,0.0737094999931287,0.37800999998580664,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,410,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0410__content_region__lpips,sd24_0410,sd24_0410,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,p045_loss_small,p045_loss_small,p045_loss_small,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_small,loss_small,p045_loss_small,loss_small,content_region,492288,63,0,704,768,21737,False,> 127,8,alex,256,0.1496124565601349,0.044104620814323425,0.10550783574581146,0.08189959998708218,0.37800999998580664,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,410,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0410__mask_bbox_crop__lpips,sd24_0410,sd24_0410,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,sd__can__p045__loss_small__p00_generic__s2026__9a96b1adef,p045_loss_small,p045_loss_small,p045_loss_small,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_loss_small,loss_small,p045_loss_small,loss_small,mask_bbox_crop,292681,18,52,559,593,21737,False,> 127,8,alex,256,0.20848016440868378,0.06569083780050278,0.142789326608181,0.05261869999230839,0.37800999998580664,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,410,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0411__full_image__lpips,sd24_0411,sd24_0411,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,p045_mixed_damage,p045_mixed_damage,p045_mixed_damage,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_mixed_damage,mixed_damage,p045_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,40681,False,> 127,8,alex,256,0.27234670519828796,0.047962307929992676,0.2243843972682953,0.07416329998522997,0.37636759999440983,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,411,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0411__content_region__lpips,sd24_0411,sd24_0411,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,p045_mixed_damage,p045_mixed_damage,p045_mixed_damage,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_mixed_damage,mixed_damage,p045_mixed_damage,mixed_damage,content_region,492288,63,0,704,768,40681,False,> 127,8,alex,256,0.2970864772796631,0.054311323910951614,0.24277515336871147,0.07137470002635382,0.37636759999440983,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,411,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0411__mask_bbox_crop__lpips,sd24_0411,sd24_0411,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,sd__can__p045__mixed_damage__p00_generic__s2026__9755c46f44,p045_mixed_damage,p045_mixed_damage,p045_mixed_damage,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_mixed_damage,mixed_damage,p045_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,40681,False,> 127,8,alex,256,0.27234670519828796,0.047962307929992676,0.2243843972682953,0.0737063999986276,0.37636759999440983,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,411,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0412__full_image__lpips,sd24_0412,sd24_0412,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,p045_scratch_thin,p045_scratch_thin,p045_scratch_thin,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_scratch_thin,scratch_thin,p045_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,11850,False,> 127,8,alex,256,0.2739654779434204,0.0595054104924202,0.2144600674510002,0.07287259999429807,0.3730345999938436,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,412,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0412__content_region__lpips,sd24_0412,sd24_0412,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,p045_scratch_thin,p045_scratch_thin,p045_scratch_thin,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_scratch_thin,scratch_thin,p045_scratch_thin,scratch_thin,content_region,492288,63,0,704,768,11850,False,> 127,8,alex,256,0.287299782037735,0.07032476365566254,0.21697501838207245,0.06472759999451227,0.3730345999938436,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,412,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
sd_lpips_full_20260808T071919Z,945,2724,sd24_0412__mask_bbox_crop__lpips,sd24_0412,sd24_0412,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,sd__can__p045__scratch_thin__p00_generic__s2026__be86916ebc,p045_scratch_thin,p045_scratch_thin,p045_scratch_thin,canonical,primary,p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,,stable_diffusion_inpainting,p045_scratch_thin,scratch_thin,p045_scratch_thin,scratch_thin,mask_bbox_crop,589824,0,0,768,768,11850,False,> 127,8,alex,256,0.2739654779434204,0.0595054104924202,0.2144600674510002,0.0681717999977991,0.3730345999938436,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,412,2026,2026,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
