dataset_name,mask_type,category,source_mask_semantics,lama_applicability,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
canonical,loss_large,portrait_figure,binary_missing_content,primary,full_image,mse_improvement,10,10,3485.571466875076,3629.7519035339355,1410.0390875696787,1193.0232849121094,5660.389976501465
canonical,loss_large,portrait_figure,binary_missing_content,primary,content_region,mse_improvement,10,10,4449.000858688354,4720.424942016602,1584.920150128975,1484.9956665039062,6591.247646331787
canonical,loss_large,portrait_figure,binary_missing_content,primary,masked_region,mse_improvement,10,10,35574.786293029785,36926.63864135742,10370.531991325086,12809.67431640625,48485.23036193848
canonical,loss_large,portrait_figure,binary_missing_content,primary,boundary_region,mse_improvement,10,10,18875.948886060716,19124.839203834534,4942.664349214742,8445.865013122559,25396.024811267853
canonical,loss_large,portrait_figure,binary_missing_content,primary,outside_mask_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_large,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mse_improvement,10,10,18145.699474334717,19031.992599487305,6523.4983458413835,6398.896728515625,26794.820190429688
canonical,loss_small,portrait_figure,binary_missing_content,primary,full_image,mse_improvement,10,10,1239.3892830252648,1338.4914088249207,329.502473034939,603.6282329559326,1677.8632332086563
canonical,loss_small,portrait_figure,binary_missing_content,primary,content_region,mse_improvement,10,10,1623.12766264081,1594.9072661399841,490.00222185693974,751.3557224273682,2387.366075158119
canonical,loss_small,portrait_figure,binary_missing_content,primary,masked_region,mse_improvement,10,10,37865.912203598025,39178.709732055664,10517.431534873627,19712.88800048828,54259.773040771484
canonical,loss_small,portrait_figure,binary_missing_content,primary,boundary_region,mse_improvement,10,10,18562.27258710861,19110.840332984924,4822.632732336139,9581.001136779785,26222.200209617615
canonical,loss_small,portrait_figure,binary_missing_content,primary,outside_mask_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_small,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mse_improvement,10,10,2668.010609960556,2692.461691379547,719.1429517545505,1575.5244331359863,3683.2368087768555
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,full_image,mse_improvement,10,10,2778.140971493721,2642.437680244446,674.9801748345108,1859.5608177185059,3922.0059185028076
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,content_region,mse_improvement,10,10,3603.0062931060793,3716.3676142692566,844.1125804794264,2314.6554260253906,4819.084020614624
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,masked_region,mse_improvement,10,10,39570.5113822937,40084.50845336914,7647.548468921277,27134.07305908203,50582.5751953125
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,boundary_region,mse_improvement,10,10,17180.41100254059,16952.084482192993,2722.5313752537136,13597.551233291626,21385.885131835938
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,outside_mask_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,mixed_damage,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mse_improvement,10,10,3612.5893038272857,3654.4782304763794,749.435285172525,2454.280532836914,4704.733589172363
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,full_image,mse_improvement,10,10,745.6103767096996,697.4693951010704,240.5252118326077,428.75275230407715,1144.4733745455742
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,content_region,mse_improvement,10,10,971.1515384316444,931.8360930681229,320.3960359944062,533.6830673217773,1525.9644587039948
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,masked_region,mse_improvement,10,10,41254.05193405152,42532.173961639404,9168.363221010652,20944.91326904297,53519.212226867676
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,boundary_region,mse_improvement,10,10,15114.274297237396,15026.921264648438,3430.065283431734,7467.202621459961,20618.384669303894
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,outside_mask_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,scratch_thin,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mse_improvement,10,10,968.7533288121224,975.4243833422661,305.4094850259426,524.9783630371094,1484.722030878067
canonical,zero_control,portrait_figure,binary_missing_content,primary,full_image,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,zero_control,portrait_figure,binary_missing_content,primary,content_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_large,landscape_natural,binary_missing_content,primary,full_image,mse_improvement,10,10,1670.3005808353423,1499.6618919372559,1003.4547505159512,318.55257987976074,3460.833053588867
canonical,loss_large,landscape_natural,binary_missing_content,primary,content_region,mse_improvement,10,10,2375.683704471588,2151.035183429718,1370.4686415090773,462.47342681884766,4644.807243347168
canonical,loss_large,landscape_natural,binary_missing_content,primary,masked_region,mse_improvement,10,10,19290.772298431395,19223.941020965576,10578.620934348748,3184.1441040039062,35055.609375
canonical,loss_large,landscape_natural,binary_missing_content,primary,boundary_region,mse_improvement,10,10,9906.261259460449,10786.90072631836,4889.41517743811,2145.061851501465,15270.061611175537
canonical,loss_large,landscape_natural,binary_missing_content,primary,outside_mask_region,mse_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_large,landscape_natural,binary_missing_content,primary,mask_bbox_crop,mse_improvement,10,10,9342.22391014099,9676.832113265991,5186.285511868772,1712.1377716064453,17169.793579101562
canonical,loss_small,landscape_natural,binary_missing_content,primary,full_image,mse_improvement,10,10,617.6649138212204,624.0670861005783,302.1087595496896,105.65953826904297,1116.8719310760498
