dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
canonical,full_image,mse_improvement,250,250,1129.005844201207,734.4340972900391,1133.8384589055609,0.0,5660.389976501465
canonical,content_region,mse_improvement,250,250,1472.340113278985,993.818837761879,1453.7979543651074,0.0,6591.247646331787
canonical,masked_region,mse_improvement,200,200,26852.89803720951,27161.07144165039,11433.246336046237,3184.1441040039062,54259.773040771484
canonical,boundary_region,mse_improvement,200,200,12082.73992918253,12674.22061920166,5026.038291107121,1573.23375415802,26222.200209617615
canonical,outside_mask_region,mse_improvement,200,200,0.0,0.0,0.0,0.0,0.0
canonical,mask_bbox_crop,mse_improvement,200,200,4421.290370770544,2117.3094935417175,5710.572143815582,55.60041460394859,26794.820190429688
damage_size,full_image,mse_improvement,35,35,1954.5404281812055,1414.1417770385742,1834.3634526329245,179.63721323013306,8393.367767333984
damage_size,content_region,mse_improvement,35,35,2519.8208989858626,1893.7807159423828,2171.2237641053275,244.61231863498688,9722.631950378418
damage_size,masked_region,mse_improvement,35,35,26667.04751118251,23642.714782714844,12611.081364078884,12202.500091552734,48584.8349609375
damage_size,boundary_region,mse_improvement,35,35,13799.297495378767,12661.80404663086,6423.197734495719,5903.557159423828,25581.062441825867
damage_size,outside_mask_region,mse_improvement,35,35,0.0,0.0,0.0,0.0,0.0
damage_size,mask_bbox_crop,mse_improvement,35,35,14342.895186451504,11799.982116699219,7092.858423737201,5456.499496459961,27356.119201660156
mask_robustness,full_image,mse_improvement,75,75,1459.0553007014591,916.6734240055084,1257.9325685292804,181.75601720809937,5389.894889831543
mask_robustness,content_region,mse_improvement,75,75,1908.689247344335,1307.449625968933,1528.9354146553094,247.49754810333252,6243.49885559082
mask_robustness,masked_region,mse_improvement,75,75,30922.26896095276,28711.128631591797,10846.379788028333,11830.683288574219,54879.52777671814
mask_robustness,boundary_region,mse_improvement,75,75,14273.036650664011,12926.803199768066,5284.364610108821,6716.0950927734375,27746.510957717896
mask_robustness,outside_mask_region,mse_improvement,75,75,0.0,0.0,0.0,0.0,0.0
mask_robustness,mask_bbox_crop,mse_improvement,75,75,6105.2011565176645,2130.669994354248,7180.294844716431,454.9153890609741,29448.972702026367
synthetic_degradation,full_image,mse_improvement,50,50,-66.42368109917065,-2.83966326713562,154.27269237695066,-783.637451171875,0.0
synthetic_degradation,content_region,mse_improvement,50,50,-86.87361662611045,-3.7125496566295624,194.63358934777435,-907.7430419921875,0.0
synthetic_degradation,masked_region,mse_improvement,50,50,-153.85157576849102,-12.607728958129883,253.9468281082602,-971.97314453125,0.0
synthetic_degradation,boundary_region,mse_improvement,50,50,-3.305940652755089,0.0,6.026227017829168,-24.38812017440796,0.0
