artifact_type,source_stage,artifact_id,artifact_path,filename,extension,exists,file_size_bytes,row_count,json_key_count,expected_to_exist
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0669__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0670__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0671__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0672__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0673__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0674__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0675__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__content_region__sd24_0679__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0669__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0670__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0671__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0672__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0673__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0674__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0675__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__full_image__sd24_0679__full_image__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0670__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0671__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0672__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0673__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0674__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0675__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0677__mask_bbox_crop__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,weakest_or_regressed__mask_bbox_crop__sd24_0864__mask_bbox_crop__lpips,data/processed/clean/p039_clean.png,p039_clean.png,.png,True,717874,,,True
